column,form,quantile,files_seen,cumulative_tokens
family,RAW,0.1,36,28
family,RAW,0.25,89,74
family,RAW,0.5,178,166
family,RAW,0.75,268,202
family,RAW,1.0,357,255
family,NORM,0.1,36,28
family,NORM,0.25,89,68
family,NORM,0.5,178,155
family,NORM,0.75,268,188
family,NORM,1.0,357,240
family,STEM,0.1,36,27
family,STEM,0.25,89,64
family,STEM,0.5,178,141
family,STEM,0.75,268,172
family,STEM,1.0,357,222
dial,RAW,0.1,26,27
dial,RAW,0.25,66,110
dial,RAW,0.5,132,306
dial,RAW,0.75,199,345
dial,RAW,1.0,265,380
dial,NORM,0.1,26,27
dial,NORM,0.25,66,100
dial,NORM,0.5,132,288
dial,NORM,0.75,199,321
dial,NORM,1.0,265,353
dial,STEM,0.1,26,7
dial,STEM,0.25,66,66
dial,STEM,0.5,132,217
dial,STEM,0.75,199,238
dial,STEM,1.0,265,258
panel,RAW,0.1,167,13
panel,RAW,0.25,418,857
panel,RAW,0.5,836,954
panel,RAW,0.75,1253,1775
panel,RAW,1.0,1671,3071
panel,NORM,0.1,167,11
panel,NORM,0.25,418,853
panel,NORM,0.5,836,949
panel,NORM,0.75,1253,1769
panel,NORM,1.0,1671,3065
panel,STEM,0.1,167,8
panel,STEM,0.25,418,62
panel,STEM,0.5,836,77
panel,STEM,0.75,1253,104
panel,STEM,1.0,1671,160
