trigger,threshold,TP,FP,FN,TN,precision,recall,accuracy,fires
ratio,1.1,34,96,0,8,0.26153846153846155,1.0,0.30434782608695654,130
ratio,1.2,34,89,0,15,0.2764227642276423,1.0,0.35507246376811596,123
ratio,1.4,29,76,5,28,0.2761904761904762,0.8529411764705882,0.41304347826086957,105
ratio,1.5,29,70,5,34,0.29292929292929293,0.8529411764705882,0.45652173913043476,99
ratio,2.0,28,43,6,61,0.39436619718309857,0.8235294117647058,0.644927536231884,71
ratio,2.5,18,24,16,80,0.42857142857142855,0.5294117647058824,0.7101449275362319,42
ratio,3.0,17,17,17,87,0.5,0.5,0.7536231884057971,34
ratio,4.0,13,12,21,92,0.52,0.38235294117647056,0.7608695652173914,25
abs_gap,0.5,33,95,1,9,0.2578125,0.9705882352941176,0.30434782608695654,128
abs_gap,1.0,33,87,1,17,0.275,0.9705882352941176,0.36231884057971014,120
abs_gap,2.0,33,80,1,24,0.2920353982300885,0.9705882352941176,0.41304347826086957,113
abs_gap,3.0,33,79,1,25,0.29464285714285715,0.9705882352941176,0.42028985507246375,112
abs_gap,5.0,33,77,1,27,0.3,0.9705882352941176,0.43478260869565216,110
abs_gap,8.0,32,71,2,33,0.3106796116504854,0.9411764705882353,0.47101449275362317,103
abs_gap,12.0,29,65,5,39,0.30851063829787234,0.8529411764705882,0.4927536231884058,94
abs_gap,20.0,29,52,5,52,0.35802469135802467,0.8529411764705882,0.5869565217391305,81
law_c_star_in_0_25,25.0,34,0,0,104,1.0,1.0,1.0,34
