instr,spy200,spy200_neg,breadth20,breadth20_neg,hivol80,hivol80_neg,L_always_med
g200-dg,-2.3952779797411985,16/18,-3.1943436927240603,16/18,-2.1627924744106104,16/18,-0.433167321844409
band3-dg,-1.7396096360192759,18/18,-3.6345966824542195,16/18,-1.9405108772630726,18/18,-0.3246091273325451
abs12-dg,-1.1989087020588958,16/18,-0.7245364227307002,16/18,-0.873297037792244,18/18,-0.3645674221999773
vol60-dg,-2.3941232793999916,14/18,-3.7761203643722188,14/18,-3.8316564488778644,14/18,-1.8289996729197187
stop15,-3.663481933097069,18/18,-4.150844641063033,16/18,-3.583574061765636,18/18,-1.2266001209424076
stop25,-1.637695349960675,14/18,-1.5345368506045332,14/18,-1.4392728058666195,14/18,-0.37298444321556445
ddctl8,-4.593034036565456,12/18,-4.138391472378303,15/18,-3.9816422541081087,15/18,-3.6403147370136644
gross50,-2.4269009526551484,14/18,-2.9471445423462255,16/18,-4.500685378057223,16/18,-6.514937895033718
