book,family,panel,freq,label,full_CAGR,full_Sharpe,full_MaxDD,full_Vol,full_Sortino,full_WinRate,full_H1,full_H2,turn_yr,IS_CAGR,IS_Sharpe,IS_MaxDD,IS_Vol,IS_Sortino,IS_WinRate,IS_H1,IS_H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4b,fail4b,keep4a,fail4a,keep4b_OOSlocal,memo833,share_3y,n_3y,share_3y_OOS,n_3y_OOS,cost_surv,cost_surv_OOS,gross_band,gross_band_OOS,_CALMAR_full,_CALMAR_IS,_NEGVOL_full,_NEGVOL_IS,_NEGTURN
TOPN-n10,TOPN,U56,W,"u56 top10 composite, W, g0.75",0.1309675977223279,0.932033466327814,-0.17538205535337614,0.14308295334591062,1.2425831729776613,0.5606572135944182,0.9084513807657875,0.9580180450133774,13.968748331029659,0.1091029670484227,0.8514675093099926,-0.13937899213759564,0.13185868202984444,1.1771584494640501,0.5565520677628301,0.535240259100169,1.1958270252090888,0.14930516690322904,0.9934323919603396,-0.17538205535337648,FAIL,H1,FAIL,H1+H2+DD,PASS,-,0.11931818181818182,176.0,0.2625,80.0,5.0,15.0,0.0,0.375,0.7467559748826194,0.7827791360459524,-0.14308295334591062,-0.13185868202984444,-13.968748331029659
TOPN-n20,TOPN,U56,W,"u56 top20 composite, W, g0.75",0.12778534248203832,1.0632204595128434,-0.1830834144627017,0.11991040460640608,1.3727422808690841,0.5602070672968715,1.0761247650202286,1.0590655981379316,10.447126802965489,0.10810124581844649,0.9765495035428563,-0.11846710934713856,0.11150696660974824,1.3243774882266617,0.5535625311410065,0.7300250213815767,1.2581216461685116,0.14426535084279468,1.129600365408191,-0.18308341446270193,PASS,-none-,FAIL,H1+H2+DD,PASS,K1,0.11363636363636363,176.0,0.25,80.0,20.0,30.0,0.25,0.375,0.6979624170602909,0.9125000720806189,-0.11991040460640608,-0.11150696660974824,-10.447126802965489
TOPN-n30,TOPN,U56,W,"u56 top30 composite, W, g0.75",0.11488102483363827,1.0508055189870094,-0.1746788191986055,0.10919941869674483,1.3482974127490077,0.5642583839747918,1.028260622012765,1.074996166934926,8.827479270152265,0.09471103549083981,0.9231755169310052,-0.11689975197184366,0.10389042854130423,1.2415209344681633,0.5610363726955655,0.753992436711657,1.1179573634203117,0.13177783261391696,1.1487608656155242,-0.1746788191986054,PASS,-none-,FAIL,H1+H2+DD,PASS,-,0.09659090909090909,176.0,0.2125,80.0,15.0,30.0,0.125,0.25,0.6576700332684375,0.810190217628963,-0.10919941869674483,-0.10389042854130423,-8.827479270152265
TOPN-n40,TOPN,U56,W,"u56 top40 composite, W, g0.75",0.10693445113214817,1.0477800209785486,-0.16663444458906895,0.10195278478985667,1.336252081149636,0.5608822867431915,1.057627717793502,1.0427183983224464,8.018833544387626,0.09166500795673005,0.9415619662037976,-0.11065309036041915,0.09830004637143698,1.2616959053350199,0.5560538116591929,0.7956090227700805,1.111543944903441,0.11967515711170984,1.1306127040939262,-0.16663444458906884,PASS,-none-,FAIL,H1+H2+DD,PASS,-,0.10795454545454546,176.0,0.2375,80.0,10.0,20.0,0.125,0.125,0.6417307741857049,0.8283998906687456,-0.10195278478985667,-0.09830004637143698,-8.018833544387626
BUF-m10,BUF,U56,W,"u56 top20 + rank buffer m=10, W, g0.75",0.12703887823851967,1.0697580567739555,-0.1865794716378819,0.11838799005672002,1.3756910156467335,0.5674094080576187,1.04068950709471,1.1015222782147776,6.062047718021161,0.09926356170917727,0.9181846614718348,-0.12010728728672415,0.1096481036250257,1.2247490630563715,0.5585450921773791,0.6675668549534287,1.2008096511843758,0.15044924958535444,1.183040276048946,-0.18657947163788213,PASS,-none-,FAIL,H1+H2+DD,PASS,-,0.125,176.0,0.275,80.0,20.0,50.0,0.25,0.375,0.6808834708519268,0.8264574444364226,-0.11838799005672002,-0.1096481036250257,-6.062047718021161
BUF-m20,BUF,U56,W,"u56 top20 + rank buffer m=20, W, g0.75",0.1282413390173136,1.1168305185683665,-0.17244981000039827,0.11387987725713934,1.4552454379557465,0.5622327256358316,1.1236591040999195,1.1192578792140804,5.028642119445499,0.09983917846477852,0.9577757995151831,-0.11085656910319397,0.10515700450579318,1.2723983879060825,0.5605381165919282,0.7983086727761063,1.133097029761831,0.15219188963648755,1.23543913426136,-0.1724498100003985,PASS,-none-,FAIL,H1+H2+DD,PASS,K2,0.10795454545454546,176.0,0.2375,80.0,40.0,75.0,0.25,0.375,0.7436444204665544,0.9006158071863148,-0.11387987725713934,-0.10515700450579318,-5.028642119445499
BUF-m50,BUF,U56,W,"u56 top20 + rank buffer m=50, W, g0.75",0.12428920357802342,1.1422465715073455,-0.15188688419202856,0.10766778737972353,1.4966302295816976,0.5649336034211119,1.1426032770325525,1.148990577624185,4.685656498343165,0.10087100588992937,1.004800750389571,-0.10833795604635221,0.10071318876074417,1.3396229686562184,0.5635276532137519,0.9044532783669489,1.1093843886200652,0.14395708724705125,1.246258466690956,-0.1518868841920289,PASS,-none-,FAIL,H1+H2+DD,PASS,-,0.125,176.0,0.2625,80.0,40.0,75.0,0.25,0.375,0.8183010945229888,0.9310772472647709,-0.10766778737972353,-0.10071318876074417,-4.685656498343165
TOPND-m20,TOPND,U56,D,"u56 top20 DAILY + buffer m=20 (fixed g/n), D, g0.75",0.12310108575407286,1.140761808055022,-0.15745874431555962,0.10679998964002288,1.4714423162821315,0.5638082376772451,1.1301482180343971,1.1559290382535672,5.842808503523151,0.09573006830678965,0.9655738345222267,-0.12022241625937302,0.09986777072879828,1.2659837992949865,0.5615346287992028,0.84054021110234,1.1048034078758582,0.14616479929164772,1.272475571163083,-0.1574587443155595,PASS,-none-,FAIL,H1+H2+DD,PASS,-,0.26136363636363635,176.0,0.5,80.0,30.0,50.0,0.25,0.375,0.7817989803562048,0.7962746988902425,-0.10679998964002288,-0.09986777072879828,-5.842808503523151
TOPND-m50,TOPND,U56,D,"u56 top20 DAILY + buffer m=50 (fixed g/n), D, g0.75",0.11783458915117473,1.1582316284744965,-0.1237392928843456,0.10056935307200392,1.5050965769547564,0.566284042313752,1.137343884468843,1.1811423571925674,5.478328032519784,0.09424974321521362,0.990643960461853,-0.11906598004704683,0.09554902546996061,1.2985030769184667,0.5640259093173892,0.9013433692608089,1.0844758402023824,0.13764740038429513,1.2863820666290864,-0.12373929288434582,PASS,-none-,FAIL,H1+DD,PASS,K3,0.36363636363636365,176.0,0.675,80.0,25.0,50.0,0.125,0.25,0.9522810936159966,0.7915757563829106,-0.10056935307200392,-0.09554902546996061,-5.478328032519784
BANDW-b0.00,BANDW,U56,W,"u56 EW-all 200d-MA gate (band 0), W, g1.00",0.10928064852267316,1.1675941380508466,-0.15838542115080956,0.09251787398829922,1.4547965748468226,0.566959261760072,1.1903665813800621,1.1496851089051694,3.9551621607211063,0.09496380678397842,1.0552140650364803,-0.11500952589961144,0.08981723820955187,1.3656912008968738,0.5655206776283009,0.8701201207193021,1.3013937801621327,0.12121671507431775,1.255966149576692,-0.15838542115080978,PASS,-none-,FAIL,H1+H2+DD,PASS,-,0.3522727272727273,176.0,0.5,80.0,15.0,30.0,0.125,0.125,0.6899665873831885,0.8257038366271472,-0.09251787398829922,-0.08981723820955187,-3.9551621607211063
