panel,cost,N,H,gross,cadence,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,KEEP_4a,KEEP_4b,KEEP_4b_OOS
U56,0.0,5,21,0.3,W,0.08425565673235424,1.1234142366785624,-0.10097221843285464,1.3764837914057773,0.9230761923719917,0.07638402089969842,0.9663777133003937,-0.1009722184328542,False,False,False
U56,0.0,5,21,0.35,W,0.09841629375135841,1.1237023034414366,-0.11707918345248347,1.3766118766794058,0.9235402539190548,0.08905861488532185,0.9668333883163535,-0.11707918345248369,False,False,False
U56,0.0,5,21,0.4,W,0.11260136190515291,1.1239901509547534,-0.13298430335985922,1.3767378381078867,0.9240079818549843,0.10170647078258943,0.9672920288290325,-0.1329843033598589,False,True,False
U56,0.0,5,21,0.45,W,0.12680723717562103,1.124277796633226,-0.1486891960407556,1.3768616831806415,0.924479452346734,0.11432347610483462,0.9677536948729955,-0.14868919604075592,False,True,True
U56,0.0,5,21,0.5,M,0.14195034690128172,1.1233732105884002,-0.1668555736569518,1.3820617931920371,0.9282980400931126,0.12921720226902322,0.9662319282928916,-0.1668555736569517,False,True,True
U56,0.0,5,21,0.5,W,0.14103023481242216,1.1245652569006035,-0.16419547091840103,1.376983419042622,0.9249547423037624,0.12690547957042164,0.9682184466847921,-0.16419547091840103,False,True,True
U56,0.0,5,21,0.55,W,0.15526661012788745,1.1248525471288437,-0.1795047290044054,1.3771030525011603,0.9254339293694992,0.13944829263296654,0.9686863446727475,-0.17950472900440573,False,True,True
U56,0.0,5,21,0.6,W,0.16951255933339326,1.1251396815709929,-0.19461856294919966,1.3772205900325745,0.925917091908267,0.1519476910481683,0.9691574493811679,-0.19461856294919933,False,True,True
U56,0.0,5,21,0.65,W,0.18376422041720408,1.12542667328728,-0.20953855709196234,1.3773360377885506,0.9264043089872378,0.16439941647655032,0.969631821448467,-0.20953855709196256,False,False,False
U56,0.0,5,21,0.7,W,0.19801767406376847,1.1257135340638889,-0.22426628751006905,1.3774494016022982,0.9268956603529361,0.17679917812141532,0.9701095215586695,-0.22426628751006905,False,False,False
