leg,n5,n10,n15,n20,n30,n40,n50,n60,EWall
L1_H1,0.03571428571428571,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.39285714285714285,0.42857142857142855,0.35714285714285715,0.5
L2_H2,0.0,0.0,0.0,0.03571428571428571,0.07142857142857142,0.10714285714285714,0.14285714285714285,0.10714285714285714,0.07142857142857142
L3_OOS,0.0,0.0,0.03571428571428571,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
L4_DD,0.0,0.0,0.0,0.07142857142857142,0.25,0.32142857142857145,0.42857142857142855,0.5714285714285714,0.0
L5_CAGR,0.25,0.2857142857142857,0.32142857142857145,0.25,0.25,0.21428571428571427,0.17857142857142858,0.03571428571428571,0.17857142857142858
