trunc_rule,subtape_fraction,n_tape_lengths,n_trunc_rungs,med_b_gap_trunc,med_b_sd_trunc,verdict
QUANT,1/1,2,6,,,nan (degenerate fit)
QUANT,1/2,5,6,-0.008461536402819037,-0.038351549048542405,LIKE ULCER
QUANT,1/3,7,6,-0.02723079626298777,-0.03653031429330052,LIKE ULCER
KDAY,1/1,2,5,,,nan (degenerate fit)
KDAY,1/2,5,5,0.2759233749530993,0.2620227266255388,LIKE MAXDD
KDAY,1/3,7,5,0.2619673506598869,0.17892884787470087,LIKE MAXDD
BOTH,1/1,2,11,,,nan (degenerate fit)
BOTH,1/2,5,11,0.09677568847377736,0.0881742280278446,LIKE MAXDD
BOTH,1/3,7,11,0.09782430219927579,0.07145230439993935,LIKE MAXDD
