tag,k,n_elig,breadth,disp,corr,evol,days,panel,source,kind,seed,etf_share,n_etf,n_elig_grid
FULL,56,41.0,0.6687800527377075,0.09366953737861075,0.3327819409089491,0.19729143439133345,921,U56,U56,NAMED,-1,,,41.0
IS,56,39.0,0.6473643543956045,0.0915437066268574,0.3180734630043806,0.19238696341370815,416,U56,U56,NAMED,-1,,,41.0
FULL,136,99.0,0.672343041451108,0.09502947143516048,0.34446852066282024,0.21676960356545938,921,B136,B136,NAMED,-1,,,99.0
IS,136,99.5,0.6637796945701357,0.09178672632396578,0.3578629773311574,0.20994284848874623,416,B136,B136,NAMED,-1,,,99.0
FULL,100,72.0,0.6713897937024972,0.10030245683507795,0.3513272381763732,0.2401637905733874,921,BSTK100,BSTK100,NAMED,-1,,,72.0
IS,100,73.0,0.6664663461538461,0.09585543328662542,0.37792706849477475,0.23395576444650515,416,BSTK100,BSTK100,NAMED,-1,,,72.0
FULL,439,148.0,0.3220795008127406,0.16785170123992899,0.1760659276513338,0.3394419453599911,817,SMALL439,SMALL439,NAMED,-1,,,148.0
IS,439,137.5,0.3047500146019508,0.1506989666242754,0.17103823398728002,0.31805578930520695,312,SMALL439,SMALL439,NAMED,-1,,,148.0
FULL,36,27.0,0.6749909518639161,0.06203052121331122,0.343583685263719,0.1578663742872465,921,ETF36,ETF36,NAMED,-1,1.0,,27.0
IS,36,26.0,0.6563167735042735,0.05727465225609399,0.322113426259558,0.15178978886361422,416,ETF36,ETF36,NAMED,-1,1.0,,27.0
FULL,36,27.0,0.6891663650621305,0.08540504091077712,0.37270352909745136,0.2280291484138781,921,MIX~s0.000~0,MIX,MIX,0,0.0,0.0,27.0
IS,36,27.0,0.6806223290598291,0.07621284132191067,0.4073288278186674,0.2175113827352866,416,MIX~s0.000~0,MIX,MIX,0,0.0,0.0,27.0
FULL,36,26.0,0.6680238870792616,0.0975052842355079,0.352467857035765,0.24807361184492235,921,MIX~s0.000~1,MIX,MIX,1,0.0,0.0,26.0
IS,36,26.0,0.6533119658119658,0.09544613786846182,0.37904547339301936,0.24639242142719334,416,MIX~s0.000~1,MIX,MIX,1,0.0,0.0,26.0
FULL,36,27.0,0.6894679695982627,0.10299574542053733,0.361875952579306,0.2463780601481074,921,MIX~s0.000~2,MIX,MIX,2,0.0,0.0,27.0
