panel,pair,A,B,mean_d,se,t,involves_gross,D_TIGHT,D_LOOSE
U56,GROSS-N,GROSS,N,-0.377539534824417,0.0799232010610316,-4.723778950446657,True,True,True
U56,GROSS-H,GROSS,H,-0.4889156425542774,0.05569270513675135,-8.778809385426033,True,True,True
U56,GROSS-MAXVOL,GROSS,MAXVOL,-0.23435553674042442,0.02782519164240499,-8.422423096028984,True,True,True
U56,N-H,N,H,-0.11137610772986047,0.1067594322847095,-1.0432437241970252,False,False,False
U56,N-MAXVOL,N,MAXVOL,0.14318399808399254,0.09158607988046671,1.5633816653236898,False,False,False
U56,H-MAXVOL,H,MAXVOL,0.25456010581385297,0.056496861247256766,4.505738906446122,False,True,True
B135,GROSS-N,GROSS,N,-0.3697597701427435,0.07827132164130335,-4.724077253189287,True,True,True
B135,GROSS-H,GROSS,H,-0.5181576563841866,0.055223777860513475,-9.382872314403606,True,True,True
B135,GROSS-MAXVOL,GROSS,MAXVOL,-0.30288827319604306,0.03041471083257558,-9.958610978199259,True,True,True
B135,N-H,N,H,-0.14839788624144296,0.09884084409420277,-1.501382223122342,False,False,False
B135,N-MAXVOL,N,MAXVOL,0.06687149694670055,0.07261819866448081,0.9208641659602181,False,False,False
B135,H-MAXVOL,H,MAXVOL,0.2152693831881435,0.03836252752729859,5.61144942900227,False,True,True
SMALL663,GROSS-N,GROSS,N,-0.4641476096798445,0.04758660944395579,-9.753744070093612,True,True,True
SMALL663,GROSS-H,GROSS,H,-0.9420603866596959,0.09654334943313718,-9.757900385589343,True,True,True
SMALL663,GROSS-MAXVOL,GROSS,MAXVOL,-0.468380135335786,0.05150992165240538,-9.093008110097054,True,True,True
SMALL663,N-H,N,H,-0.47791277697985146,0.10023105014421879,-4.768111042358633,False,True,True
SMALL663,N-MAXVOL,N,MAXVOL,-0.0042325256559414826,0.07190821091650056,-0.058860116278741374,False,False,False
SMALL663,H-MAXVOL,H,MAXVOL,0.47368025132390995,0.12879299077145603,3.677841849052628,False,True,True
