universe,book,conv,f,gap_full,gap_contango,gap_post,gap_oos,dCAGR,dMaxDD,dTurnover
broad,ewall,g1.00,0.25,0.02016189782383382,0.05156964670125763,0.0077425987773047655,-0.0023689171731797742,-0.0006672366346303082,0.005930114607568537,-0.11054066203252333
broad,ewall,g1.00,0.5,0.04224579138925311,0.12355694120220861,0.008290253431888273,-0.01582736425247977,-0.0013338800259024008,0.00816799795026546,-0.1604809027828722
broad,ewall,g1.00,0.75,0.018053825266017176,0.1351494502941586,-0.03860540422404357,-0.08018141779682653,-0.0023756165374426708,0.00024389163193561103,-0.2608768841041975
broad,ewall,g1.00,1.0,-0.09778066238737748,0.08528678715335117,-0.19168782211869162,-0.3091764485291933,-0.006780036940437606,0.011337542798552813,-0.7538157810929853
broad,ewall,natural,0.25,0.02458406581367356,0.04928123244671245,0.014838978237198708,0.01087714983166821,0.00031671634617702615,-4.251463365334551e-05,-0.031048757734509103
broad,ewall,natural,0.5,0.06282786449475108,0.11475813199293272,0.04078171130892416,0.03475575207164905,0.0005368117549879869,-0.0004265475425445642,-0.07321343461727814
broad,ewall,natural,0.75,0.048957394089139905,0.06308424497462128,0.04258761626873153,0.046903525096120724,0.0006597886519894569,-0.0029959050978121127,-0.12126801715675839
broad,ewall,natural,1.0,-0.024114744128442833,0.006787770002738391,-0.024245130154947336,-0.04248311582377551,0.0006931852215512624,0.00026610384464920145,-0.1772596810790299
broad,top20,g1.00,0.25,0.006070580099513556,0.03183420688107286,-0.002648231239004928,-0.009502855618827799,-0.0012283483770001435,0.006300234904372148,-0.0643856749225975
broad,top20,g1.00,0.5,0.009450264549335508,0.08233985458739812,-0.017084355000640983,-0.03497068077347765,-0.0022253968540721925,0.009940874173821945,-0.09779205073000163
broad,top20,g1.00,0.75,-0.007219964707694038,0.1206242537711455,-0.06478193005134303,-0.10179533418196862,-0.003129591616990446,-0.0031839568744205238,-0.17770393567078635
broad,top20,g1.00,1.0,-0.09778066238737748,0.08528678715335117,-0.19168782211869162,-0.3091764485291933,-0.006780036940437606,0.011337542798552813,-0.7538157810929853
broad,top20,natural,0.25,0.015286370968848217,0.038384912823120176,0.008278276647510019,0.005124427524345498,0.0003496657017134641,0.0007000487977745218,-0.038479051011067966
broad,top20,natural,0.5,0.041024761804378196,0.09529415799854091,0.02364738161376634,0.017153947903032263,0.0005773019074779562,0.001487711113326462,-0.08164689541616887
broad,top20,natural,0.75,0.04811811110290898,0.0755632165710376,0.03584016753899211,0.03409509205002692,0.0006871343312395695,-0.0062619480891484836,-0.12606072498816
broad,top20,natural,1.0,-0.024114744128442833,0.006787770002738391,-0.024245130154947336,-0.04248311582377551,0.0006931852215512624,0.00026610384464920145,-0.1772596810790299
u56,ewall,g1.00,0.25,0.01889404114501758,0.047676325073331416,0.007677329167223856,-0.0030498302892689733,-0.0007912147644475453,0.005538640613655943,-0.10379221035169373
u56,ewall,g1.00,0.5,0.03690353417656267,0.10076611750196984,0.009724267881851878,-0.013971472430812648,-0.0015634700605502427,0.008240724375747632,-0.145277079872983
u56,ewall,g1.00,0.75,0.008375117501622453,0.10489252605449761,-0.035823476144909217,-0.07516388190114043,-0.002774038078814378,-0.0038927224543865435,-0.23635625058268417
u56,ewall,g1.00,1.0,-0.0996396894229184,0.08014329025623013,-0.1913389614405644,-0.3087106049011907,-0.006926680891930603,0.011141597984579255,-0.7453227404290175
u56,ewall,natural,0.25,0.026386587584473098,0.043709567923868375,0.01953655670773613,0.017276603001113777,0.000305510174814172,0.0007402988533585786,-0.020165940355756362
u56,ewall,natural,0.5,0.06167618830469879,0.08314419589574795,0.051556740809613144,0.04995426611592424,0.0005236947775233425,-0.00021690324473977451,-0.0643697655935993
u56,ewall,natural,0.75,0.04381185715410418,0.03706445163697136,0.054193504654858726,0.062499092813006474,0.0006360116044168418,-0.0064515318916830156,-0.11065159941293246
u56,ewall,natural,1.0,-0.02441611597568749,0.00520507436202472,-0.023538548437288198,-0.041571458842937115,0.0006653823370401657,0.00028173433134304204,-0.17563465652661847
u56,top20,g1.00,0.25,0.01118255584224137,0.028951159780503888,0.004317641654724369,-0.0026730490383779504,-0.001144106685018631,0.005970547735509535,-0.0555476065021594
u56,top20,g1.00,0.5,0.018218024752224116,0.0702230178309502,-0.0034824889707765205,-0.021080445554722216,-0.0020370003180951723,0.009328782677465841,-0.07403102027746122
u56,top20,g1.00,0.75,-0.006382825984180496,0.0927181109132712,-0.0519041354836447,-0.08655831240130163,-0.0031825014681778896,-0.0037935603489545056,-0.16971604815613262
u56,top20,g1.00,1.0,-0.0996396894229184,0.08014329025623013,-0.1913389614405644,-0.3087106049011907,-0.006926680891930603,0.011141597984579255,-0.7453227404290175
u56,top20,natural,0.25,0.021608322160786342,0.03777413515948824,0.015304017505060274,0.01271115757629837,0.00034011175813475347,0.0007296296498601196,-0.03697424050121434
u56,top20,natural,0.5,0.05205275245096086,0.07803238746306729,0.04039027451543187,0.03702728825897128,0.0005562288540039706,0.0015289667996729595,-0.07591403206321967
u56,top20,natural,0.75,0.04477978773910096,0.04365884908859019,0.04894357440203456,0.05561520287266131,0.000661127685994467,-0.006440165609212123,-0.12125402469178415
u56,top20,natural,1.0,-0.02441611597568749,0.00520507436202472,-0.023538548437288198,-0.041571458842937115,0.0006653823370401657,0.00028173433134304204,-0.17563465652661847
