statistic,share,k,jaccard,overlap,spearman,earlycore_DATA,latecore_DATA,leg,acted,cells,picks,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,CAGR,Sharpe,MaxDD,keep4a,fail4b,keep4b
NAMED,0.02,7.0,0.16666666666666666,2.0,0.3758358851955675,0.5,0.9142857142857143,WF-A,,,,,,,,,,,,
NAMED,0.05,17.0,0.13333333333333333,4.0,0.3758358851955675,0.8026202756651222,0.9468224115951389,WF-A,,,,,,,,,,,,
NAMED,0.1,35.0,0.20689655172413793,12.0,0.3758358851955675,0.7976145978709962,0.9245864289974808,WF-A,,,,,,,,,,,,
NAMED,0.2,69.0,0.2777777777777778,30.0,0.3758358851955675,0.8456405199550718,0.9241944047117233,WF-A,,,,,,,,,,,,
NAMED,0.25,87.0,0.3181818181818182,42.0,0.3758358851955675,0.8614021924399802,0.8812678857343457,WF-A,,,,,,,,,,,,
ECHOED,0.02,7.0,0.07692307692307693,1.0,0.8942829691295456,0.959588120539201,0.9879378881987577,WF-A,,,,,,,,,,,,
ECHOED,0.05,17.0,0.25925925925925924,7.0,0.8942829691295456,0.9609486744765952,0.9477746278261218,WF-A,,,,,,,,,,,,
ECHOED,0.1,35.0,0.34615384615384615,18.0,0.8942829691295456,0.9622519008000306,0.9471337819349241,WF-A,,,,,,,,,,,,
ECHOED,0.2,69.0,0.4375,42.0,0.8942829691295456,0.9590356896460682,0.9547543100820214,WF-A,,,,,,,,,,,,
ECHOED,0.25,87.0,0.4745762711864407,56.0,0.8942829691295456,0.9579950568105736,0.9498388041410357,WF-A,,,,,,,,,,,,
SUM,0.02,7.0,0.07692307692307693,1.0,0.883968592450859,0.959588120539201,0.9846156290625451,WF-A,,,,,,,,,,,,
SUM,0.05,17.0,0.21428571428571427,6.0,0.883968592450859,0.96326348929141,0.9496721610329528,WF-A,,,,,,,,,,,,
SUM,0.1,35.0,0.34615384615384615,18.0,0.883968592450859,0.9642812566588532,0.9556417769641911,WF-A,,,,,,,,,,,,
SUM,0.2,69.0,0.422680412371134,41.0,0.883968592450859,0.9433137930944934,0.9546426798064057,WF-A,,,,,,,,,,,,
SUM,0.25,87.0,0.45,54.0,0.883968592450859,0.9442964266735873,0.9507386372557287,WF-A,,,,,,,,,,,,
MAXLEG,0.02,7.0,0.07692307692307693,1.0,0.8932081892347997,0.959588120539201,0.9879378881987577,WF-A,,,,,,,,,,,,
MAXLEG,0.05,17.0,0.25925925925925924,7.0,0.8932081892347997,0.9609486744765952,0.9477746278261218,WF-A,,,,,,,,,,,,
MAXLEG,0.1,35.0,0.34615384615384615,18.0,0.8932081892347997,0.9622519008000306,0.9471337819349241,WF-A,,,,,,,,,,,,
MAXLEG,0.2,69.0,0.4375,42.0,0.8932081892347997,0.9590356896460682,0.9547543100820214,WF-A,,,,,,,,,,,,
MAXLEG,0.25,87.0,0.4745762711864407,56.0,0.8932081892347997,0.9579950568105736,0.9498388041410357,WF-A,,,,,,,,,,,,
CTRL,0.02,7.0,1.0,7.0,,,,WF-A,,,,,,,,,,,,
CTRL,0.05,17.0,1.0,17.0,,0.75,0.75,WF-A,,,,,,,,,,,,
CTRL,0.1,35.0,1.0,35.0,,0.6083916083916084,0.6083916083916084,WF-A,,,,,,,,,,,,
CTRL,0.2,69.0,1.0,69.0,,0.6677017667374409,0.6677017667374409,WF-A,,,,,,,,,,,,
CTRL,0.25,87.0,1.0,87.0,,0.7468404328644507,0.7468404328644507,WF-A,,,,,,,,,,,,
NAMED,0.02,,,,,,,WF-B_OOS,0.0,6.0,STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN,0.09447597045404743,1.2746660728287855,-0.12054945176473153,,,,,,
NAMED,0.05,,,,,,,WF-B_OOS,6.0,6.0,U56/U56/U56/U56/U56/U56,0.13000863466229462,1.1567155016017368,-0.18404883377059167,,,,,,
NAMED,0.1,,,,,,,WF-B_OOS,6.0,6.0,U56/U56/U56/U56/U56/U56,0.13000863466229462,1.1567155016017368,-0.18404883377059167,,,,,,
NAMED,0.2,,,,,,,WF-B_OOS,6.0,6.0,U56/U56/U56/U56/U56/U56,0.13000863466229462,1.1567155016017368,-0.18404883377059167,,,,,,
NAMED,0.25,,,,,,,WF-B_OOS,6.0,6.0,U56/U56/U56/U56/U56/U56,0.13000863466229462,1.1567155016017368,-0.18404883377059167,,,,,,
ECHOED,0.02,,,,,,,WF-B_OOS,0.0,6.0,STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN,0.09447597045404743,1.2746660728287855,-0.12054945176473153,,,,,,
ECHOED,0.05,,,,,,,WF-B_OOS,6.0,6.0,U56/U56/U56/U56/U56/U56,0.13000863466229462,1.1567155016017368,-0.18404883377059167,,,,,,
ECHOED,0.1,,,,,,,WF-B_OOS,6.0,6.0,U56/U56/U56/U56/U56/U56,0.13000863466229462,1.1567155016017368,-0.18404883377059167,,,,,,
ECHOED,0.2,,,,,,,WF-B_OOS,6.0,6.0,U56/U56/U56/U56/U56/U56,0.13000863466229462,1.1567155016017368,-0.18404883377059167,,,,,,
ECHOED,0.25,,,,,,,WF-B_OOS,6.0,6.0,U56/U56/U56/U56/U56/U56,0.13000863466229462,1.1567155016017368,-0.18404883377059167,,,,,,
SUM,0.02,,,,,,,WF-B_OOS,0.0,6.0,STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN,0.09447597045404743,1.2746660728287855,-0.12054945176473153,,,,,,
SUM,0.05,,,,,,,WF-B_OOS,0.0,6.0,STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN,0.09447597045404743,1.2746660728287855,-0.12054945176473153,,,,,,
SUM,0.1,,,,,,,WF-B_OOS,6.0,6.0,U56/U56/U56/U56/U56/U56,0.13000863466229462,1.1567155016017368,-0.18404883377059167,,,,,,
SUM,0.2,,,,,,,WF-B_OOS,6.0,6.0,U56/U56/U56/U56/U56/U56,0.13000863466229462,1.1567155016017368,-0.18404883377059167,,,,,,
SUM,0.25,,,,,,,WF-B_OOS,6.0,6.0,U56/U56/U56/U56/U56/U56,0.13000863466229462,1.1567155016017368,-0.18404883377059167,,,,,,
MAXLEG,0.02,,,,,,,WF-B_OOS,0.0,6.0,STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN,0.09447597045404743,1.2746660728287855,-0.12054945176473153,,,,,,
MAXLEG,0.05,,,,,,,WF-B_OOS,6.0,6.0,U56/U56/U56/U56/U56/U56,0.13000863466229462,1.1567155016017368,-0.18404883377059167,,,,,,
MAXLEG,0.1,,,,,,,WF-B_OOS,6.0,6.0,U56/U56/U56/U56/U56/U56,0.13000863466229462,1.1567155016017368,-0.18404883377059167,,,,,,
MAXLEG,0.2,,,,,,,WF-B_OOS,6.0,6.0,U56/U56/U56/U56/U56/U56,0.13000863466229462,1.1567155016017368,-0.18404883377059167,,,,,,
MAXLEG,0.25,,,,,,,WF-B_OOS,6.0,6.0,U56/U56/U56/U56/U56/U56,0.13000863466229462,1.1567155016017368,-0.18404883377059167,,,,,,
CTRL,0.02,,,,,,,WF-B_OOS,0.0,6.0,STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN,0.09447597045404743,1.2746660728287855,-0.12054945176473153,,,,,,
CTRL,0.05,,,,,,,WF-B_OOS,0.0,6.0,STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN,0.09447597045404743,1.2746660728287855,-0.12054945176473153,,,,,,
CTRL,0.1,,,,,,,WF-B_OOS,0.0,6.0,STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN,0.09447597045404743,1.2746660728287855,-0.12054945176473153,,,,,,
CTRL,0.2,,,,,,,WF-B_OOS,0.0,6.0,STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN,0.09447597045404743,1.2746660728287855,-0.12054945176473153,,,,,,
