panel,p,window,d_mean_bp,se_bp,t,sharpe_p,sharpe_anchor,d_sharpe,dd_p,dd_anchor,d_dd_pp
U56,0.25,FULL,-0.34716485865994,0.0804767671900224,-4.313851944875116,1.1441610758509109,1.1536628182453899,-0.009501742394478985,-0.1835602111319784,-0.19127562163086154,0.7715410498883135
U56,0.25,OOS,-0.2930377749347908,0.12458932368424906,-2.35202958222525,1.1974357054676406,1.1856777042016957,0.01175800126594484,-0.18356021113197818,-0.19127562163086176,0.7715410498883579
U56,0.5,FULL,-0.6879486711569861,0.1557305309924453,-4.417558116400178,1.1311295647624153,1.1536628182453899,-0.022533253482974525,-0.1767888298396063,-0.19127562163086154,1.4486791791255227
U56,0.5,OOS,-0.5984821870323088,0.24566235678597542,-2.436198182181062,1.2038262627651024,1.1856777042016957,0.01814855856340669,-0.1767888298396071,-0.19127562163086176,1.4486791791254672
U56,0.75,FULL,-1.0071128100385143,0.22550965106332974,-4.465941059683017,1.1168001143551927,1.1536628182453899,-0.03686270389019719,-0.1705823201737776,-0.19127562163086154,2.0693301457083924
U56,0.75,OOS,-0.8957643546647397,0.3608855539973933,-2.4821285993376443,1.2067411611231078,1.1856777042016957,0.021063456921412094,-0.17058232017377806,-0.19127562163086176,2.06933014570837
U56,1.0,FULL,-1.2996748730855485,0.2894628612835242,-4.489953796913995,1.101666022325472,1.1536628182453899,-0.051996795919917904,-0.16486285004155932,-0.19127562163086154,2.641277158930222
U56,1.0,OOS,-1.1744082042217203,0.46775686637559233,-2.5107236016044108,1.206577582729795,1.1856777042016957,0.02089987852809938,-0.16486285004155954,-0.19127562163086176,2.641277158930222
U56,1.5,FULL,-1.7953490967978118,0.39954084297346004,-4.493530832633974,1.0710464122145917,1.1536628182453899,-0.08261640603079812,-0.15467672088641915,-0.19127562163086154,3.6598900744442386
U56,1.5,OOS,-1.6472923386120204,0.6505706211820487,-2.5320730524519948,1.2004595457317278,1.1856777042016957,0.014781841530032036,-0.15467672088641948,-0.19127562163086176,3.6598900744442275
B136,0.25,FULL,-0.2500372131260469,0.06426196826754332,-3.890904991970697,1.0542197856220545,1.0653720113403453,-0.011152225718290776,-0.19638775009223808,-0.2074018763117902,1.1014126219552112
