universe,book,conv,f,n,rho_conv_raw,rho_conv_delta,rho_raw_delta,argmax_conv,argmax_raw,argmax_delta,agree_cr,agree_cd,agree_rd
u56,v1,natural,0.25,19,-0.056140350877192984,-0.5263157894736842,0.49473684210526314,X_DBC,S6f,X_QQQ,0,0,0
u56,v1,natural,0.5,20,0.3203007518796992,-0.05864661654135337,0.6360902255639098,X_HYG,S6f,X_QQQ,0,0,0
u56,v1,natural,0.75,20,0.4947368421052631,0.33533834586466166,0.8736842105263156,X_HYG,S6f,S6f,0,0,1
u56,v1,matched,0.25,18,0.4943240454076367,0.1455108359133127,0.3622291021671827,S9,S9,X_QQQ,1,0,0
u56,v1,matched,0.5,20,0.5172932330827067,0.3082706766917293,0.5383458646616541,S9,S7f,X_QQQ,0,0,0
u56,v1,matched,0.75,20,0.631578947368421,0.6195488721804511,0.6932330827067669,S7f,S7f,S6f,1,0,0
u56,top20,natural,0.25,20,0.28721804511278193,0.5624060150375939,0.825563909774436,X_GLD,X_QQQ,X_GLD,0,1,0
u56,top20,natural,0.5,20,0.21052631578947367,0.4842105263157894,0.837593984962406,X_GLD,X_QQQ,S4,0,0,0
u56,top20,natural,0.75,20,0.42105263157894735,0.6120300751879698,0.8766917293233082,S4,X_QQQ,X_SHY,0,0,0
u56,top20,matched,0.25,19,0.22280701754385965,0.23859649122807017,0.987719298245614,X_DBC,X_GLD,S4,0,0,0
u56,top20,matched,0.5,20,0.009022556390977442,0.26165413533834586,0.8917293233082706,X_DBC,X_QQQ,S4,0,0,0
u56,top20,matched,0.75,20,-0.05563909774436089,0.0781954887218045,0.9458646616541352,X_DBC,X_QQQ,S6f,0,0,0
u56,ewall,natural,0.25,20,0.5488721804511278,0.6375939849624059,0.9714285714285714,X_GLD,X_GLD,X_GLD,1,1,1
u56,ewall,natural,0.5,20,0.3654135338345864,0.5353383458646617,0.8887218045112781,X_GLD,S6f,S4,0,0,0
u56,ewall,natural,0.75,20,0.5458646616541353,0.7127819548872181,0.875187969924812,S4,X_SHY,X_SHY,0,0,1
u56,ewall,matched,0.25,20,0.5022556390977443,0.6481203007518795,0.9353383458646616,X_GLD,X_GLD,S4,1,0,0
u56,ewall,matched,0.5,20,0.4195488721804511,0.5263157894736841,0.9639097744360902,X_DBC,S6f,S4,0,0,0
u56,ewall,matched,0.75,20,0.24812030075187969,0.4060150375939849,0.9112781954887217,S4,S6f,S6f,0,0,1
broad,v1,natural,0.25,20,-0.09172932330827067,-0.3924812030075188,0.4646616541353384,X_DBC,S7f,X_QQQ,0,0,0
broad,v1,natural,0.5,20,0.18496240601503755,-0.16842105263157892,0.613533834586466,X_SLV,S6f,X_QQQ,0,0,0
broad,v1,natural,0.75,20,0.6526315789473683,0.4030075187969925,0.8345864661654135,S4,S6f,S6f,0,0,1
broad,v1,matched,0.25,20,0.025563909774436087,-0.393984962406015,0.40751879699248117,X_DBC,S6f,X_QQQ,0,0,0
broad,v1,matched,0.5,20,0.08270676691729321,-0.04060150375939849,0.5804511278195488,X_DBC,S7f,X_QQQ,0,0,0
broad,v1,matched,0.75,20,0.4781954887218045,0.47218045112781953,0.6827067669172932,S9,S7f,S6f,0,0,0
broad,top20,natural,0.25,20,0.20300751879699244,0.19097744360902258,0.9127819548872179,X_GLD,X_GLD,X_GLD,1,1,1
broad,top20,natural,0.5,20,0.4827067669172932,0.4421052631578947,0.9488721804511278,X_GLD,X_GLD,S4,1,0,0
broad,top20,natural,0.75,20,0.312781954887218,0.45714285714285713,0.9473684210526315,S4,S6f,X_SHY,0,0,0
broad,top20,matched,0.25,19,-0.0912280701754386,-0.06842105263157894,0.9929824561403509,X_DBC,X_GLD,X_GLD,0,0,1
broad,top20,matched,0.5,20,0.06766917293233082,-0.030075187969924807,0.837593984962406,X_DBC,S6f,S4,0,0,0
broad,top20,matched,0.75,20,0.13533834586466165,-0.003007518796992481,0.8526315789473683,X_DBC,S6f,S6f,0,0,1
broad,ewall,natural,0.25,20,0.4090225563909774,0.5112781954887218,0.9789473684210527,X_GLD,X_GLD,X_GLD,1,1,1
broad,ewall,natural,0.5,20,0.45714285714285713,0.5503759398496241,0.9368421052631578,X_GLD,S6f,S4,0,0,0
broad,ewall,natural,0.75,20,0.5624060150375939,0.7172932330827068,0.8872180451127819,S4,X_SHY,X_SHY,0,0,1
broad,ewall,matched,0.25,20,0.27669172932330827,0.39999999999999997,0.9789473684210527,X_GLD,X_GLD,X_GLD,1,1,1
broad,ewall,matched,0.5,20,0.5413533834586466,0.58796992481203,0.9639097744360902,X_GLD,S6f,S4,0,0,0
broad,ewall,matched,0.75,20,0.1413533834586466,0.3383458646616541,0.9488721804511278,S4,S6f,S6f,0,0,1
