arm,char,transform,direction,selector,q,draw,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,anchor_OOS_S,pct,beats_anchor,v2_OOS_S,v2_OOS_CAGR,v2_OOS_DD,beats_v2,beats_spy,pass4a,pass4b
EWall,-,-,-,ANCHOR (arm mean),,-1,0.7746110884251083,0.07970361990876171,0.6572426538692143,-0.28589963252982387,0.6572426538692143,,False,0.817526539421167,0.06330782677382762,-0.13499460920490458,False,False,False,False
EWall,-,-,+,SEL-S argmax IS Sharpe,0.15,2,1.1837718970195836,0.1212964704494576,0.9843722836431054,-0.1932794605898545,0.6572426538692143,0.8988095238095238,True,1.0615700306445304,0.0791704182114025,-0.1141386488411339,False,True,False,True
EWall,breadth,none,+,SEL-breadth+|none,0.05,2,0.961883941680305,0.1057675569859561,0.9330115873576128,-0.2052687985470422,0.6572426538692143,0.8273809523809523,True,0.9229794953628384,0.0690682529076536,-0.142926435055271,True,True,False,False
EWall,breadth,none,-,SEL-breadth-|none,1.0,4,-0.1821899646432284,0.0039456511444517,0.1153180733493333,-0.4978864604959756,0.6572426538692143,0.041666666666666664,False,0.5451196009768277,0.0464326559564325,-0.1609892635340025,False,False,False,False
EWall,breadth,dm,+,SEL-breadth+|dm,0.7,2,0.4938599431396168,0.0287186621769452,0.2804904410912066,-0.3907765538722921,0.6572426538692143,0.10714285714285714,False,0.6122099365560828,0.0440836984212258,-0.1713508256359354,False,False,False,False
EWall,breadth,dm,-,SEL-breadth-|dm,0.4,7,1.0088590477139283,0.1012822062750036,0.7855254948948452,-0.2864586471057578,0.6572426538692143,0.6547619047619048,True,1.066253490370068,0.0878694872627099,-0.1342152139074198,False,False,False,False
EWall,breadth,residx,+,SEL-breadth+|residx,0.7,2,0.4938599431396168,0.0287186621769452,0.2804904410912066,-0.3907765538722921,0.6572426538692143,0.10714285714285714,False,0.6122099365560828,0.0440836984212258,-0.1713508256359354,False,False,False,False
EWall,breadth,residx,-,SEL-breadth-|residx,0.4,7,1.0088590477139283,0.1012822062750036,0.7855254948948452,-0.2864586471057578,0.6572426538692143,0.6547619047619048,True,1.066253490370068,0.0878694872627099,-0.1342152139074198,False,False,False,False
EWall,breadth,ratio,+,SEL-breadth+|ratio,0.05,2,0.961883941680305,0.1057675569859561,0.9330115873576128,-0.2052687985470422,0.6572426538692143,0.8273809523809523,True,0.9229794953628384,0.0690682529076536,-0.142926435055271,True,True,False,False
EWall,breadth,ratio,-,SEL-breadth-|ratio,1.0,4,-0.1821899646432284,0.0039456511444517,0.1153180733493333,-0.4978864604959756,0.6572426538692143,0.041666666666666664,False,0.5451196009768277,0.0464326559564325,-0.1609892635340025,False,False,False,False
EWall,disp,none,+,SEL-disp+|none,0.9,2,0.3809504517610376,0.1027687986861962,0.6788300100482391,-0.3329217288998671,0.6572426538692143,0.49404761904761907,True,0.8225096347889486,0.0684497821391318,-0.1464229695525148,False,False,False,False
EWall,disp,none,-,SEL-disp-|none,0.0,7,1.001858927208433,0.1129316717810098,0.971946206670566,-0.2122363848816076,0.6572426538692143,0.8809523809523809,True,1.054247639935105,0.0838097777721391,-0.1297158830035739,False,True,False,False
EWall,disp,dm,+,SEL-disp+|dm,0.25,3,1.159808757363259,0.0974401170782144,0.7682724831365769,-0.2707197966184628,0.6572426538692143,0.625,True,1.0918877921899843,0.0916695002161351,-0.1145549589341923,False,False,False,False
EWall,disp,dm,-,SEL-disp-|dm,0.9,5,-0.0137001220451346,-0.0217891495893881,-0.0439173246992801,-0.4410567404223376,0.6572426538692143,0.005952380952380952,False,0.5098471150007668,0.0396590824163924,-0.1758178267800305,False,False,False,False
EWall,disp,residx,+,SEL-disp+|residx,0.9,2,0.3809504517610376,0.1027687986861962,0.6788300100482391,-0.3329217288998671,0.6572426538692143,0.49404761904761907,True,0.8225096347889486,0.0684497821391318,-0.1464229695525148,False,False,False,False
EWall,disp,residx,-,SEL-disp-|residx,0.9,5,-0.0137001220451346,-0.0217891495893881,-0.0439173246992801,-0.4410567404223376,0.6572426538692143,0.005952380952380952,False,0.5098471150007668,0.0396590824163924,-0.1758178267800305,False,False,False,False
EWall,disp,ratio,+,SEL-disp+|ratio,0.9,2,0.3809504517610376,0.1027687986861962,0.6788300100482391,-0.3329217288998671,0.6572426538692143,0.49404761904761907,True,0.8225096347889486,0.0684497821391318,-0.1464229695525148,False,False,False,False
EWall,disp,ratio,-,SEL-disp-|ratio,0.0,7,1.001858927208433,0.1129316717810098,0.971946206670566,-0.2122363848816076,0.6572426538692143,0.8809523809523809,True,1.054247639935105,0.0838097777721391,-0.1297158830035739,False,True,False,False
EWall,corr,none,+,SEL-corr+|none,0.05,2,0.961883941680305,0.1057675569859561,0.9330115873576128,-0.2052687985470422,0.6572426538692143,0.8273809523809523,True,0.9229794953628384,0.0690682529076536,-0.142926435055271,True,True,False,False
EWall,corr,none,-,SEL-corr-|none,0.95,2,0.4285158229294817,-0.0002195047817267,0.0821494714150806,-0.4177523269986918,0.6572426538692143,0.023809523809523808,False,0.6744246809461364,0.0556292310019519,-0.1305118017991421,False,False,False,False
