conv,rule,picks,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,S_U56,S_ETF36,S_ETF24,S_STK20,S_B136,S_BSTK100,S_SMALL484
FIXED,WIDEST20,U56:20;ETF36:20;ETF24:20;STK20:20;B136:20;BSTK100:20;SMALL484:20,0.969270405046562,0.11072499266260794,-0.18232111322653646,1.167991233806965,0.9418936547049168,0.888571103209948,1.4458357630694096,0.8919165372280256,0.9383178038128173,0.5103667394938518
FIXED,WIDEST60,U56:60;ETF36:60;ETF24:60;STK20:60;B136:60;BSTK100:60;SMALL484:60,1.0301479710366035,0.06903706714759347,-0.12452978025522499,1.2549831331338466,0.920287224739271,0.8840008474882023,1.4444555552138598,1.0264095330336584,1.1285294917837687,0.5523700118636177
FIXED,ISARGMAX,U56:20;ETF36:20;ETF24:20;STK20:20;B136:30;BSTK100:30;SMALL484:20,0.9763044987055051,0.10839169186244067,-0.1811890615490324,1.167991233806965,0.9418936547049168,0.888571103209948,1.4458357630694096,0.9031992549593698,0.9762737416940748,0.5103667394938518
FIXED,RANDOM,mean over n,0.9936601352247318,0.08832851125800789,-0.15252819863818104,1.2318661715958954,0.9245740744826143,0.8847070577616633,1.4450916277753572,0.950138291705223,1.0190943269789785,0.5001493962733923
FIXED,NOTHING,U56:20,1.167991233806965,0.14360571273280298,-0.18308348697878107,1.167991233806965,,,,,,
NORM,WIDEST20,U56:20;ETF36:20;ETF24:20;STK20:20;B136:20;BSTK100:20;SMALL484:20,0.8996003457427438,0.12120577797451361,-0.23975032705176855,1.1306969416161394,0.7430861921157712,0.727572078382332,1.4356760444375725,0.8836022780725372,0.8910729150865583,0.48549597048829646
NORM,WIDEST60,U56:60;ETF36:60;ETF24:60;STK20:60;B136:60;BSTK100:60;SMALL484:60,0.9330642625902881,0.11352858816582742,-0.23288671904048444,1.1132841948586054,0.6657212560768846,0.7267326083633888,1.4356760444375725,1.0052150948644978,1.0209480694852155,0.5638725700458519
NORM,ISARGMAX,U56:20;ETF36:20;ETF24:20;STK20:20;B136:30;BSTK100:30;SMALL484:20,0.9066084567973033,0.11941965964094219,-0.23932011868053968,1.1306969416161394,0.7430861921157712,0.727572078382332,1.4356760444375725,0.8951694506747754,0.9285625198662371,0.48549597048829646
NORM,RANDOM,mean over n,0.9081879219423372,0.1153107395222651,-0.23699041106435068,1.1332111376130625,0.6843001897145473,0.7269424758681245,1.4356760444375725,0.9388698626864368,0.9541063286444169,0.48420941463220046
NORM,NOTHING,U56:20,1.1306969416161394,0.14453585654383216,-0.1830834869787813,1.1306969416161394,,,,,,
