q,k,n,char,book,stat,picks,pick_OOS_Sharpe,pick_OOS_CAGR,pick_OOS_MaxDD,pick_MaxDD,anchor_OOS_Sharpe,edge,beat_anchor,v2_OOS_Sharpe,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,keep4a,keep4b
0.5,40,30,breadth,CAND10,MARGINAL,50,0.6839819432418516,0.09786624858344291,-0.28047869838658923,-0.2829818784171066,0.6741988346687223,0.009783108573129251,0.48,0.8520765707677707,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0,0
0.5,40,30,breadth,CAND10,PARTIAL,50,0.6871218606331962,0.09804492023184475,-0.27811978070133764,-0.28062296073185494,0.6741988346687223,0.012923025964473922,0.48,0.8520765707677707,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0,1
0.5,40,30,breadth,CAND20,MARGINAL,50,0.7467473397648837,0.09501573715207526,-0.2603171565573948,-0.2630009561730857,0.7063838543492619,0.04036348541562185,0.72,0.8520765707677707,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0,0
0.5,40,30,breadth,CAND20,PARTIAL,50,0.7532366728451294,0.09568196610615579,-0.25902917735116415,-0.2617129769668551,0.7063838543492619,0.04685281849586753,0.74,0.8520765707677707,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0,0
0.5,40,30,breadth,EWall,MARGINAL,50,0.7537587503832768,0.09418288679231089,-0.2593617646636758,-0.26226667444970486,0.7040595210801367,0.04969922930314008,0.78,0.8520765707677707,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0,1
0.5,40,30,breadth,EWall,PARTIAL,50,0.7513658540525572,0.09328254622459511,-0.25637836256425234,-0.2592832723502814,0.7040595210801367,0.047306332972420484,0.76,0.8520765707677707,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0,1
0.5,40,30,disp,CAND10,MARGINAL,50,0.6713497829024879,0.09624910439058652,-0.27931224988823194,-0.2793122498882318,0.6741988346687223,-0.0028490517662344006,0.48,0.8520765707677707,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0,3
0.5,40,30,disp,CAND10,PARTIAL,50,0.6674947719094511,0.09407792961648934,-0.28378171530606333,-0.28378171530606333,0.6741988346687223,-0.006704062759271268,0.5,0.8520765707677707,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0,2
0.5,40,30,disp,CAND20,MARGINAL,50,0.6978757416770793,0.08918698323172397,-0.2727373598462521,-0.27273735984625214,0.7063838543492619,-0.008508112672182544,0.4,0.8520765707677707,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0,3
0.5,40,30,disp,CAND20,PARTIAL,50,0.6836013407046119,0.08531095197197962,-0.26705653308279403,-0.2686148829913259,0.7063838543492619,-0.022782513644650004,0.32,0.8520765707677707,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0,1
