panel,IS_pick_exit,IS_pick_H,IS_Sharpe,ANCHOR_IS_Sharpe,IS_margin_over_anchor,is_the_incumbent,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,ANCHOR_OOS_CAGR,ANCHOR_OOS_Sharpe,ANCHOR_OOS_MaxDD,dOOS_Sharpe_vs_anchor,dOOS_CAGR_vs_anchor,dOOS_MaxDD_vs_anchor,SPY_OOS_CAGR,SPY_OOS_Sharpe,SPY_OOS_MaxDD,LIVE_OOS_CAGR,LIVE_OOS_Sharpe,LIVE_OOS_MaxDD,keep4b_oos_all,anchor_keep4b_oos_all,oos_fail_legs,best_OOS_exit,best_OOS_H,best_OOS_Sharpe
U56,HOLD,189,1.1877731777703537,1.1481941605273667,0.03957901724298707,False,0.15210170482459717,1.1570592298248912,-0.17578281477568758,1.2569723266389583,1.0637826955715641,0.15147424801121967,1.1964884282955432,-0.16381481251547625,-0.03942919847065207,0.0006274568133775027,-0.01196800226021133,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.09455179369762767,1.2768823974588255,-0.12054956914840886,True,True,-,HOLD,126,1.1964884282955432
B136,MA,126,1.3306400087665997,1.1072271217299616,0.22341288703663809,False,0.1441589259978424,1.0581578580058053,-0.192017585352955,1.054021882095982,1.0626233923330892,0.14031312750474934,1.0387406949495885,-0.15970515323140955,0.01941716305621677,0.0038457984930930778,-0.03231243212154544,0.15257181383948715,0.8738511437360154,-0.3371595330739301,0.07847283605551292,1.1019125044197382,-0.12241069123223403,True,True,-,MA,126,1.0581578580058053
SMALL,ELIG,189,1.157672840345381,0.7118347281875332,0.44583811215784785,False,0.08592812641315617,0.6540130048874354,-0.27508270500777665,1.238383486634604,0.07266433048096549,0.06379973021262897,0.4727580973987608,-0.3263346826561887,0.18125490748867462,0.0221283962005272,0.05125197764841205,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.044142357735165394,0.6473415936678043,-0.12480015905893527,False,False,"OOS_Sharpe_vs_SPY,DD,CAGR",MA,63,0.7733197126776515
