panel,bps,cells,pass4a,pass4b,fail4b
U56,0,78,0,30,"{'DD': 44, 'CAGR': 4}"
B136,0,78,0,10,"{'DD': 62, 'OOS': 16, 'H2': 9, 'CAGR': 4, 'H1': 2}"
SMALL439,0,78,0,0,"{'H2': 78, 'OOS': 78, 'DD': 72, 'H1': 52, 'CAGR': 25}"
U56,10,78,1,29,"{'DD': 44, 'CAGR': 5, 'OOS': 1}"
B136,10,78,0,6,"{'DD': 64, 'H2': 32, 'OOS': 31, 'H1': 4, 'CAGR': 4}"
SMALL439,10,78,0,0,"{'H1': 78, 'H2': 78, 'OOS': 78, 'DD': 72, 'CAGR': 37}"
U56,25,78,1,18,"{'DD': 47, 'OOS': 10, 'CAGR': 10, 'H1': 8, 'H2': 4}"
B136,25,78,0,3,"{'DD': 65, 'H2': 60, 'OOS': 53, 'H1': 22, 'CAGR': 17}"
SMALL439,25,78,0,0,"{'H1': 78, 'H2': 78, 'OOS': 78, 'DD': 72, 'CAGR': 45}"
