sample,vintage,n_requested,n_reached,n_unreached,n_absent,n_capped,n_rc_nonzero,share_move_step,share_move_exact,share_panel_drift,share_corpus,share_reproduces,worst_finite,n_structural,note
"S36 (idea 516, read)",TODAY,36,36,0,0,0,0,0.9722222222222222,1.0,0.8611111111111112,0.1111111111111111,0.027777777777777776,7.531713471739287,4,the published 97.2%
"R24 (fresh, unsampled)",TODAY,24,24,0,0,0,0,0.9166666666666666,0.9583333333333334,0.7916666666666666,0.16666666666666666,0.041666666666666664,5353591.879190745,5,the hold-out idea 516 never ran
ALL60,TODAY,60,60,0,0,0,0,0.95,0.9833333333333333,0.8333333333333334,0.13333333333333333,0.03333333333333333,5353591.879190745,9,the whole rc=0 population
NESTED12,TODAY,12,12,0,0,0,0,0.9166666666666666,1.0,0.9166666666666666,0.0,0.08333333333333333,3.0,0,matched to the frozen arms
NESTED12,PANEL-FROZEN,12,12,0,0,0,0,0.9166666666666666,1.0,0.9166666666666666,0.08333333333333333,0.0,3.0,0,
NESTED12,FULL-FREEZE,12,12,0,0,0,0,0.9166666666666666,1.0,0.9166666666666666,0.08333333333333333,0.0,3.0,0,
NESTED12,OWN-VINTAGE,12,10,0,0,2,0,0.3,0.3,0.3,0.0,0.7,0.9134199134199136,1,each script at its OWN commit
NESTED24,TODAY,24,24,0,0,0,0,0.9583333333333334,1.0,0.8333333333333334,0.125,0.041666666666666664,7.531713471739287,3,matched to the frozen arms
NESTED24,PANEL-FROZEN,24,24,0,0,0,0,0.9583333333333334,1.0,0.8333333333333334,0.16666666666666666,0.0,10.101589736808853,3,
NESTED24,FULL-FREEZE,24,24,0,0,0,0,0.9583333333333334,1.0,0.8333333333333334,0.16666666666666666,0.0,10.101589736808853,3,
NESTED24,OWN-VINTAGE,24,22,0,0,2,0,0.3181818181818182,0.3181818181818182,0.22727272727272727,0.09090909090909091,0.6363636363636364,0.9134199134199136,2,each script at its OWN commit
