scope,norm,q,tau,incumbent,n,mean,t,p,W,L,Z,abstain,sel_mean,argmax_mean,inc_mean
RECORD/all,raw,0.0,0.0,ctl,1834,0.0,,,0,0,1834,0.0,0.9014662646279856,0.9014662646279856,0.9072164455860492
RECORD/all,raw,0.0,0.0,med,4925,0.0,,,0,0,4925,0.0,0.8841882154314782,0.8841882154314782,0.8540493430444559
RECORD/all,raw,0.0,0.0,mean,4925,0.0,,,0,0,4925,0.0,0.8841882154314782,0.8841882154314782,0.851703947195702
RECORD/all,raw,0.1,0.0001082178818384462,ctl,1834,6.885461327280088e-05,0.22369806244438578,0.8229922536921539,17,19,1798,0.14176663031624864,0.9015351192412583,0.9014662646279856,0.9072164455860492
RECORD/all,raw,0.1,0.0001082178818384462,med,4925,-0.0027468848834719074,-5.619829979246366,1.911454705627591e-08,149,238,4538,0.1001015228426396,0.8814413305480061,0.8841882154314782,0.8540493430444559
RECORD/all,raw,0.1,0.0001082178818384462,mean,4925,-0.0028984570979192336,-9.86422039490016,0.0,122,371,4432,0.1001015228426396,0.881289758333559,0.8841882154314782,0.851703947195702
RECORD/all,raw,0.2,0.002247313241805715,ctl,1834,0.0003338724780085266,0.5508803450553492,0.5817157019582277,77,63,1694,0.257360959651036,0.9018001371059942,0.9014662646279856,0.9072164455860492
RECORD/all,raw,0.2,0.002247313241805715,med,4925,-0.0028989775278812913,-4.943494438754211,7.673454009982095e-07,401,473,4051,0.2,0.8812892379035968,0.8841882154314782,0.8540493430444559
RECORD/all,raw,0.2,0.002247313241805715,mean,4925,-0.0037803117720550217,-9.969307560412734,0.0,301,682,3942,0.2,0.880407903659423,0.8841882154314782,0.851703947195702
RECORD/all,raw,0.3,0.006515402392779991,ctl,1834,0.0019133768907402455,1.9229940740044196,0.05448079409078743,162,147,1525,0.37295528898582336,0.9033796415187257,0.9014662646279856,0.9072164455860492
RECORD/all,raw,0.3,0.006515402392779991,med,4925,-0.003693228439280643,-4.907059142099251,9.245216148201507e-07,599,756,3570,0.3001015228426396,0.8804949869921974,0.8841882154314782,0.8540493430444559
RECORD/all,raw,0.3,0.006515402392779991,mean,4925,-0.00526375007135579,-9.38409873200445,0.0,470,999,3456,0.3001015228426396,0.8789244653601221,0.8841882154314782,0.851703947195702
RECORD/all,raw,0.4,0.012715494981417042,ctl,1834,0.003020116912470226,2.859957449454847,0.004236978533129765,266,200,1368,0.48146128680479827,0.9044863815404558,0.9014662646279856,0.9072164455860492
RECORD/all,raw,0.4,0.012715494981417042,med,4925,-0.004562075979336769,-5.47527621354023,4.3682969241842784e-08,812,1031,3082,0.4,0.8796261394521412,0.8841882154314782,0.8540493430444559
