panel,k,n,form,n_elig,share,gross,nmin
B136,20,5,NOM,13.4611335504886,0.048,0.7163228013029316,5.0
B136,20,5,MATCH,13.4611335504886,0.038,0.75,5.0
B136,20,10,NOM,13.4611335504886,0.247,0.6904295602605862,10.0
B136,20,10,MATCH,13.4611335504886,0.131,0.75,10.0
B136,20,15,NOM,13.4611335504886,0.093,0.6283903908794789,13.4611335504886
B136,20,15,MATCH,13.4611335504886,0.17,0.75,13.4611335504886
B136,20,20,NOM,13.4611335504886,0.001,0.5042948289902279,13.4611335504886
B136,20,20,MATCH,13.4611335504886,0.173,0.75,13.4611335504886
B136,20,30,NOM,13.4611335504886,0.0,0.3361965526601521,13.4611335504886
B136,20,30,MATCH,13.4611335504886,0.173,0.75,13.4611335504886
B136,20,40,NOM,13.4611335504886,0.0,0.2521474144951139,13.4611335504886
B136,20,40,MATCH,13.4611335504886,0.173,0.75,13.4611335504886
B136,40,5,NOM,26.92559609120521,0.009,0.7318591205211726,5.0
B136,40,5,MATCH,26.92559609120521,0.008,0.75,5.0
B136,40,10,NOM,26.92559609120521,0.155,0.7255735342019544,10.0
B136,40,10,MATCH,26.92559609120521,0.107,0.75,10.0
B136,40,15,NOM,26.92559609120521,0.399,0.7134530944625408,15.0
B136,40,15,MATCH,26.92559609120521,0.233,0.75,15.0
B136,40,20,NOM,26.92559609120521,0.402,0.6969036237785015,20.0
B136,40,20,MATCH,26.92559609120521,0.278,0.75,20.0
B136,40,30,NOM,26.92559609120521,0.039,0.6353085776330079,26.92559609120521
B136,40,30,MATCH,26.92559609120521,0.274,0.75,26.92559609120521
B136,40,40,NOM,26.92559609120521,0.0,0.5043644340390879,26.92559609120521
B136,40,40,MATCH,26.92559609120521,0.264,0.75,26.92559609120521
B136,80,5,NOM,53.823579804560254,0.004,0.7396908794788274,5.0
B136,80,5,MATCH,53.823579804560254,0.002,0.75,5.0
B136,80,10,NOM,53.823579804560254,0.031,0.7382182410423452,10.0
B136,80,10,MATCH,53.823579804560254,0.022,0.75,10.0
B136,80,15,NOM,53.823579804560254,0.136,0.7352622692725299,15.0
B136,80,15,MATCH,53.823579804560254,0.094,0.75,15.0
B136,80,20,NOM,53.823579804560254,0.344,0.730790309446254,20.0
B136,80,20,MATCH,53.823579804560254,0.229,0.75,20.0
B136,80,30,NOM,53.823579804560254,0.716,0.7167003800217158,30.0
B136,80,30,MATCH,53.823579804560254,0.494,0.75,30.0
B136,80,40,NOM,53.823579804560254,0.5,0.6999335301302934,40.0
B136,80,40,MATCH,53.823579804560254,0.535,0.75,40.0
SMALL484,20,5,NOM,6.131784577723378,0.0,0.641635924112607,5.0
SMALL484,20,5,MATCH,6.131784577723378,0.0,0.75,5.0
SMALL484,20,10,NOM,6.131784577723378,0.0,0.4473408506731946,6.131784577723378
SMALL484,20,10,MATCH,6.131784577723378,0.0,0.75,6.131784577723378
SMALL484,20,15,NOM,6.131784577723378,0.0,0.3042747246022032,6.131784577723378
SMALL484,20,15,MATCH,6.131784577723378,0.0,0.75,6.131784577723378
SMALL484,20,20,NOM,6.131784577723378,0.0,0.2282309210526315,6.131784577723378
SMALL484,20,20,MATCH,6.131784577723378,0.0,0.75,6.131784577723378
SMALL484,20,30,NOM,6.131784577723378,0.0,0.152153947368421,6.131784577723378
SMALL484,20,30,MATCH,6.131784577723378,0.0,0.75,6.131784577723378
SMALL484,20,40,NOM,6.131784577723378,0.0,0.1141154605263157,6.131784577723378
SMALL484,20,40,MATCH,6.131784577723378,0.0,0.75,6.131784577723378
SMALL484,40,5,NOM,12.266015911872708,0.0,0.7177817625458998,5.0
SMALL484,40,5,MATCH,12.266015911872708,0.0,0.75,5.0
SMALL484,40,10,NOM,12.266015911872708,0.0,0.6623176560587515,10.0
SMALL484,40,10,MATCH,12.266015911872708,0.0,0.75,10.0
SMALL484,40,15,NOM,12.266015911872708,0.0,0.5643276009791921,12.266015911872708
SMALL484,40,15,MATCH,12.266015911872708,0.0,0.75,12.266015911872708
SMALL484,40,20,NOM,12.266015911872708,0.0,0.4522731334149326,12.266015911872708
SMALL484,40,20,MATCH,12.266015911872708,0.0,0.75,12.266015911872708
SMALL484,40,30,NOM,12.266015911872708,0.0,0.3043363831089351,12.266015911872708
SMALL484,40,30,MATCH,12.266015911872708,0.0,0.75,12.266015911872708
SMALL484,40,40,NOM,12.266015911872708,0.0,0.2282535495716034,12.266015911872708
SMALL484,40,40,MATCH,12.266015911872708,0.0,0.75,12.266015911872708
SMALL484,80,5,NOM,24.63462545899633,0.0,0.7395332313341494,5.0
SMALL484,80,5,MATCH,24.63462545899633,0.0,0.75,5.0
SMALL484,80,10,NOM,24.63462545899633,0.0,0.7267432986536108,10.0
SMALL484,80,10,MATCH,24.63462545899633,0.0,0.75,10.0
SMALL484,80,15,NOM,24.63462545899633,0.0,0.7049017747858018,15.0
SMALL484,80,15,MATCH,24.63462545899633,0.0,0.75,15.0
SMALL484,80,20,NOM,24.63462545899633,0.0,0.6738257955936351,20.0
SMALL484,80,20,MATCH,24.63462545899633,0.0,0.75,20.0
SMALL484,80,30,NOM,24.63462545899633,0.0,0.5752009485924113,24.63462545899633
SMALL484,80,30,MATCH,24.63462545899633,0.0,0.75,24.63462545899633
SMALL484,80,40,NOM,24.63462545899633,0.0,0.4559779222766217,24.63462545899633
SMALL484,80,40,MATCH,24.63462545899633,0.0,0.75,24.63462545899633
