corpus,cost_bps,dial,group,n_books,share,sd_hat,arm,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,pass4a,pass4b
A,5,GROSS,ALL,53,0.9433760683760684,7.52343335204339e-05,MODE,0.9994063591641913,0.13837638000456115,-0.22403836886807005,14,3
A,5,GROSS,ALL,53,0.9433760683760684,7.52343335204339e-05,FIT,0.9995319820932119,0.1341500917841541,-0.21827729398876036,15,4
A,5,GROSS,ALL,53,0.9433760683760684,7.52343335204339e-05,INCUMBENT,1.0001338921890242,0.10411269846109,-0.17087038452875886,29,14
A,5,GROSS,ALL,53,0.9433760683760684,7.52343335204339e-05,ORACLE,1.0018910971462518,0.06189456328844716,-0.09815834579022108,40,1
A,5,GROSS,ALL,53,0.9433760683760684,7.52343335204339e-05,SHRUNK,0.9994063591641913,0.13837638000456115,-0.22403836886807005,14,3
A,5,GROSS,B136,48,0.9583333333333333,6.37372196822763e-05,MODE,1.005735011037357,0.1363877682114725,-0.22067503293050972,14,3
A,5,GROSS,B136,48,0.9583333333333333,6.37372196822763e-05,FIT,1.0058807736456439,0.13300030109046287,-0.21572741821638244,15,3
A,5,GROSS,B136,48,0.9583333333333333,6.37372196822763e-05,INCUMBENT,1.0066045040961553,0.10255198473319509,-0.1682820185943957,29,12
A,5,GROSS,B136,48,0.9583333333333333,6.37372196822763e-05,ORACLE,1.0083930166194872,0.05380552203346661,-0.08496245550932584,39,1
A,5,GROSS,B136,48,0.9583333333333333,6.37372196822763e-05,SHRUNK,1.005735011037357,0.1363877682114725,-0.22067503293050972,14,3
A,5,GROSS,B136k20,16,0.9375,8.029093433524712e-05,MODE,1.025491816527174,0.09896285085022466,-0.16187901119796178,14,3
A,5,GROSS,B136k20,16,0.9375,8.029093433524712e-05,FIT,1.0255811182010126,0.0974961363793364,-0.15910631416922782,14,3
A,5,GROSS,B136k20,16,0.9375,8.029093433524712e-05,INCUMBENT,1.0266095133105746,0.0742717035122887,-0.12286203522604215,14,0
A,5,GROSS,B136k20,16,0.9375,8.029093433524712e-05,ORACLE,1.0287927328234328,0.026612878255063744,-0.04308126572360042,14,0
A,5,GROSS,B136k20,16,0.9375,8.029093433524712e-05,SHRUNK,1.025491816527174,0.09896285085022466,-0.16187901119796178,14,3
A,5,GROSS,B136k40,16,0.9375,8.029093433524712e-05,MODE,1.0248117517613702,0.1459528784142306,-0.23852736572407524,0,0
A,5,GROSS,B136k40,16,0.9375,8.029093433524712e-05,FIT,1.025159737912392,0.13725719152208987,-0.2264572186104274,1,0
A,5,GROSS,B136k40,16,0.9375,8.029093433524712e-05,INCUMBENT,1.0261637997952038,0.10962254225039494,-0.18196423516865617,13,5
A,5,GROSS,B136k40,16,0.9375,8.029093433524712e-05,ORACLE,1.0286530212669367,0.03484413656708346,-0.057681127257168126,16,1
A,5,GROSS,B136k40,16,0.9375,8.029093433524712e-05,SHRUNK,1.0248117517613702,0.1459528784142306,-0.23852736572407524,0,0
A,5,GROSS,B136k80,16,1.0,4.0056119616742324e-05,MODE,0.9669014648235269,0.16424757536996232,-0.26161872186949214,0,0
A,5,GROSS,B136k80,16,1.0,4.0056119616742324e-05,FIT,0.9669014648235269,0.16424757536996232,-0.26161872186949214,0,0
A,5,GROSS,B136k80,16,1.0,4.0056119616742324e-05,INCUMBENT,0.9670401991826874,0.1237617084369016,-0.20001978538848886,2,7
A,5,GROSS,B136k80,16,1.0,4.0056119616742324e-05,ORACLE,0.9677332957680923,0.09995955127825262,-0.1541249735472089,9,0
A,5,GROSS,B136k80,16,1.0,4.0056119616742324e-05,SHRUNK,0.9669014648235269,0.16424757536996232,-0.26161872186949214,0,0
A,5,N,ALL,53,0.22918447293447297,0.1871327130416978,MODE,1.0001338921890242,0.10411269846109,-0.17087038452875886,29,14
A,5,N,ALL,53,0.22918447293447297,0.1871327130416978,FIT,0.9727730060036353,0.11747465546818868,-0.18583301777178662,23,11
A,5,N,ALL,53,0.22918447293447297,0.1871327130416978,INCUMBENT,0.8398293197290748,0.13563618406290517,-0.22316543055548282,3,3
A,5,N,ALL,53,0.22918447293447297,0.1871327130416978,ORACLE,1.0864610269861803,0.1037374470620568,-0.15696010707026772,46,15
A,5,N,ALL,53,0.22918447293447297,0.1871327130416978,SHRUNK,0.8398293197290748,0.13563618406290517,-0.22316543055548282,3,3
A,5,N,B136,48,0.228125,0.1893122268457284,MODE,1.0066045040961553,0.10255198473319509,-0.1682820185943957,29,12
A,5,N,B136,48,0.228125,0.1893122268457284,FIT,0.9781224560531476,0.11523741195848587,-0.18271976218099095,23,11
A,5,N,B136,48,0.228125,0.1893122268457284,INCUMBENT,0.8474915627991759,0.1352240450056721,-0.21795557305545302,3,3
A,5,N,B136,48,0.228125,0.1893122268457284,ORACLE,1.0941541231928,0.10314703948651405,-0.15387590016848612,44,13
A,5,N,B136,48,0.228125,0.1893122268457284,SHRUNK,0.8474915627991759,0.1352240450056721,-0.21795557305545302,3,3
A,5,N,B136k20,16,0.475,0.012744512638104053,MODE,1.043180957440035,0.09684961546852912,-0.15126038108765444,13,2
A,5,N,B136k20,16,0.475,0.012744512638104053,FIT,1.0078988617043618,0.09788600719774879,-0.15745163185421585,11,4
A,5,N,B136k20,16,0.475,0.012744512638104053,INCUMBENT,0.8866591233079892,0.12617199440586174,-0.21191058025416204,2,2
A,5,N,B136k20,16,0.475,0.012744512638104053,ORACLE,1.0896143120689246,0.09698219008517056,-0.1341275896742637,13,6
A,5,N,B136k20,16,0.475,0.012744512638104053,SHRUNK,0.8866591233079892,0.12617199440586174,-0.21191058025416204,2,2
A,5,N,B136k40,16,0.3546875,0.047470824373413906,MODE,0.8773602622376382,0.11997722521503751,-0.20260029406138594,3,2
A,5,N,B136k40,16,0.3546875,0.047470824373413906,FIT,0.9452868205876893,0.1109261823127864,-0.18792368497430995,7,2
A,5,N,B136k40,16,0.3546875,0.047470824373413906,INCUMBENT,0.792478389511831,0.12166611594979226,-0.21574047601198498,1,1
A,5,N,B136k40,16,0.3546875,0.047470824373413906,ORACLE,1.0647789673171466,0.10419204552029634,-0.16300457963970144,15,3
A,5,N,B136k40,16,0.3546875,0.047470824373413906,SHRUNK,0.792478389511831,0.12166611594979226,-0.21574047601198498,1,1
A,5,N,B136k80,16,0.278125,0.10960885062994984,MODE,0.9200748756397291,0.13976415254087693,-0.20754011847727794,2,1
A,5,N,B136k80,16,0.278125,0.10960885062994984,FIT,0.981181685867392,0.13690004636492242,-0.20278396971444707,5,5
A,5,N,B136k80,16,0.278125,0.10960885062994984,INCUMBENT,0.8633371755777073,0.15783402466136223,-0.2262156629002121,0,0
A,5,N,B136k80,16,0.278125,0.10960885062994984,ORACLE,1.1280690901923287,0.10826688285407524,-0.16449553119149324,16,4
