panel,cost,dial,pick,s0,oos_argmax,dist_steps,ladder_len,OOS_Sharpe_pick,OOS_Sharpe_s0,OOS_CAGR_pick,OOS_CAGR_s0,OOS_MaxDD_pick,OOS_MaxDD_s0,margin,regret
u56,10.0,band,0.08,0.03,0.02,3,7,1.1725783987824188,1.2850846619485738,0.09057445172143797,0.09534815248934558,-0.1446691867564125,-0.12054946768671182,-0.11250626316615508,0.11536221757417398
u56,10.0,gross,1.00,0.75,0.50,4,5,1.2843753698428795,1.2850846619485738,0.1277802093489815,0.09534815248934558,-0.15910992922046197,-0.12054946768671182,-0.0007092921056943702,0.001268766601678184
u56,10.0,cadence,M,W,W,1,3,1.2327516249262327,1.2850846619485738,0.09638746588312741,0.09534815248934558,-0.14381694370256592,-0.12054946768671182,-0.052333037022341156,0.052333037022341156
u56,10.0,share,0.75,0.20,0.75,0,8,1.0694650295181325,0.8011695587303236,0.11576522266628086,0.08293019331277285,-0.16603011615233543,-0.14429667528897128,0.2682954707878089,0.0
u56,10.0,volcap,0.90,0.60,off,1,5,0.7968177083015525,0.8011695587303236,0.08253743168320615,0.08293019331277285,-0.14914973136976029,-0.14429667528897128,-0.004351850428771065,0.019481730207543735
u56,10.0,kexp,0.25,-0.50,1.00,3,11,1.037168697901524,0.8011695587303236,0.18618303798377256,0.08293019331277285,-0.20921392439599062,-0.14429667528897128,0.2359991391712004,0.09081295010390522
u56,25.0,band,0.12,0.03,0.03,3,7,1.156906922066175,1.2482558034007076,0.08860436849468667,0.09241429872042128,-0.12160756072003931,-0.12092635506895344,-0.09134888133453267,0.09134888133453267
u56,25.0,gross,1.00,0.75,0.50,4,5,1.2477460410371628,1.2482558034007076,0.12377402254866632,0.09241429872042128,-0.15958973197389015,-0.12092635506895344,-0.0005097623635448301,0.0006853872684140505
u56,25.0,cadence,M,W,W,1,3,1.2085031652491554,1.2482558034007076,0.09433394329274192,0.09241429872042128,-0.1440715944963803,-0.12092635506895344,-0.03975263815155228,0.03975263815155228
u56,25.0,share,0.75,0.20,0.75,0,8,0.9261357876755941,0.5039611920662631,0.09871544761094686,0.04920809397706938,-0.1676109472290529,-0.1604929798505138,0.422174595609331,0.0
u56,25.0,volcap,0.90,0.60,off,1,5,0.5002712676730255,0.5039611920662631,0.04885624657158649,0.04920809397706938,-0.1712189553687572,-0.1604929798505138,-0.0036899243932375647,0.02299646499123531
u56,25.0,kexp,0.25,-0.50,1.00,3,11,0.9068187140780252,0.5039611920662631,0.1586272013317629,0.04920809397706938,-0.21629973833296012,-0.1604929798505138,0.40285752201176206,0.0768392437959946
broad,10.0,band,0.08,0.03,0.02,3,7,1.1094642338971092,1.1185082795688426,0.08363493461181792,0.07983337481604336,-0.14813995230211774,-0.12240793860208021,-0.009044045671733336,0.0293331613434058
broad,10.0,gross,1.00,0.75,0.50,4,5,1.1174115114630112,1.1185082795688426,0.10658557013582604,0.07983337481604336,-0.1615773477730451,-0.12240793860208021,-0.0010967681058313694,0.0020476990591165034
broad,10.0,cadence,W,W,W,0,3,1.1185082795688426,1.1185082795688426,0.07983337481604336,0.07983337481604336,-0.12240793860208021,-0.12240793860208021,0.0,0.0
