fail_set,n_rows,row_share,n_legs,has_H1,has_H2,has_OOS,has_DD,has_CAGR
"H1,H2,OOS,DD,CAGR",206418,0.25279284795787155,5,True,True,True,True,True
CAGR,138393,0.1694850284734554,1,False,False,False,False,True
DD,123338,0.15104770069193557,1,False,False,False,True,False
"H1,H2,OOS,CAGR",90078,0.1103153511726165,4,True,True,True,False,True
"H2,OOS,DD",47475,0.0581409589124977,3,False,True,True,True,False
"H1,CAGR",44488,0.05448288531014635,2,True,False,False,False,True
"H1,H2,OOS,DD",35288,0.04321596962831425,4,True,True,True,True,False
"H2,OOS,CAGR",28183,0.034514726593595,3,False,True,True,False,True
"H2,OOS,DD,CAGR",18405,0.022539954687404322,4,False,True,True,True,True
"H1,DD",17212,0.021078929643010225,2,True,False,False,True,False
"H2,CAGR",15464,0.018938215663462127,2,False,True,False,False,True
"H2,DD",12630,0.01546751576755863,2,False,True,False,True,False
"H1,H2,CAGR",7157,0.008764925601616557,3,True,True,False,False,True
H1,6976,0.00854326128222399,1,True,False,False,False,False
"H1,OOS,DD",4047,0.004956218235258098,3,True,False,True,True,False
"H1,OOS,CAGR",2830,0.0034658012369113956,3,True,False,True,False,True
"H2,OOS",2827,0.00346212724266732,2,False,True,True,False,False
H2,2766,0.003387422693037781,1,False,True,False,False,False
"H1,DD,CAGR",2601,0.003185353009613618,3,True,False,False,True,True
"DD,CAGR",2533,0.0031020758067479026,2,False,False,False,True,True
"H2,DD,CAGR",1834,0.002246035147878268,3,False,True,False,True,True
"H1,H2,DD,CAGR",1664,0.0020378421407139797,4,True,True,False,True,True
"H1,H2,DD",1053,0.0012895719796705651,3,True,True,False,True,False
"H1,OOS,DD,CAGR",979,0.0011989467883166984,4,True,False,True,True,True
"OOS,DD",749,0.0009172738962708959,2,False,False,True,True,False
"H1,H2,OOS",410,0.0005021125466903435,3,True,True,True,False,False
"OOS,CAGR",274,0.00033555814095891247,2,False,False,True,False,True
"H1,OOS",213,0.00026085359132937356,2,True,False,True,False,False
OOS,108,0.00013226379278672465,1,False,False,True,False,False
"OOS,DD,CAGR",90,0.00011021982732227053,3,False,False,True,True,True
"H1,H2",67,8.205253811769028e-05,2,True,True,False,False,False
