panel,book,gross,cadence,book_pass4b,book_pass4a,book_CAGR,book_Sharpe,book_MaxDD,book_OOS_Sharpe,book_turnover,null_base4b,base_L_H1,book_L_H1,base_L_H2,book_L_H2,base_L_OOS,book_L_OOS,base_L_DD,book_L_DD,base_L_CAGR,book_L_CAGR,pct_OOS_Sharpe,pct_Sharpe,pct_CAGR,pct_MaxDD,n_unpassable,n_unique_null,degenerate
U56,TOP20,1.0,Q,False,False,0.17843331368504578,1.0153761729376534,-0.3500176472643126,1.0555258671482068,3.2103417089111295,0.0,0.99,True,0.705,True,0.81,True,0.0,False,1.0,True,91.5,68.0,100.0,1.0,1,200,False
U56,TOP20,1.0,W,False,False,0.1682349058218,1.08892561120615,-0.23978894875699963,1.1618833855358777,12.845350995782571,0.0,0.005,True,0.125,True,0.145,True,0.185,False,0.015,True,100.0,100.0,100.0,0.5,2,200,False
U56,TOP5,0.5,M,False,False,0.12360193823180854,1.0007112927281179,-0.19108238464740146,0.8141342436803186,5.1655283225104816,0.0,0.305,True,0.545,False,0.565,False,1.0,True,0.0,True,31.0,81.5,100.0,1.0,1,200,False
U56,TOP5,0.5,Q,False,False,0.1042476860983439,0.8404700153793562,-0.19906466500098097,0.5229714943869321,2.657236195553638,0.005,0.6,True,0.36,False,0.395,False,0.88,True,0.005,False,5.5,40.0,99.5,15.0,1,200,False
U56,TOP5,0.5,W,False,False,0.11103568235352679,0.9494243730566441,-0.1479112783200882,0.9935694982929265,11.824663779976385,0.0,0.0,False,0.01,True,0.01,True,0.945,True,0.0,True,99.5,100.0,100.0,56.49999999999999,4,200,False
U56,TOP5,0.65,M,False,False,0.16088235383355376,1.004485214787602,-0.24087620304712998,0.8192310592021042,6.694425130015984,0.045,0.255,True,0.53,False,0.575,False,0.89,False,0.1,True,32.0,88.5,100.0,1.5,0,200,False
U56,TOP5,0.65,Q,False,False,0.13471782672908894,0.8449922894018188,-0.25634124360162225,0.5298318371914525,3.4345636170951352,0.105,0.605,True,0.39,False,0.425,False,0.425,False,0.24,True,4.0,44.0,100.0,13.0,0,200,False
U56,TOP5,0.65,W,False,False,0.1438823696786684,0.9513207335878511,-0.1891177281435299,0.9959315334690176,15.335912510490095,0.0,0.0,False,0.015,True,0.01,True,0.52,True,0.0,True,100.0,100.0,100.0,65.0,4,200,False
U56,TOP5,0.75,M,False,False,0.18572920486078348,1.0069640288522175,-0.2724245337622352,0.8226106484111861,7.712100598045984,0.14,0.345,True,0.555,False,0.56,False,0.56,False,0.395,True,35.5,87.0,100.0,0.0,0,200,False
U56,TOP5,0.75,Q,False,False,0.1547774283031036,0.8478486953961897,-0.29381257949538286,0.5343157636444822,3.948750721575965,0.08,0.65,True,0.395,False,0.43,False,0.21,False,0.55,True,3.0,40.0,99.0,12.5,0,200,False
U56,TOP5,0.75,W,False,False,0.16557643737718708,0.9525252486523346,-0.21579832539452504,0.9974452066743947,17.67689277099836,0.0,0.0,False,0.02,True,0.02,True,0.26,False,0.0,True,99.5,100.0,100.0,61.5,4,200,False
U56,TOP5,1.0,M,False,False,0.24768046290471402,1.013064610821307,-0.34606700062524376,0.8310364741047207,10.256700032223582,0.015,0.39,True,0.59,False,0.61,False,0.05,False,0.935,True,28.999999999999996,84.5,100.0,1.0,0,200,False
U56,TOP5,1.0,Q,False,False,0.2039066640063043,0.8544567426383918,-0.38478757259184604,0.5452756000615002,5.2251987103525845,0.0,0.6,True,0.345,False,0.405,False,0.0,False,0.96,True,5.5,44.5,99.0,11.0,1,200,False
U56,TOP5,1.0,W,False,False,0.21888696666384577,0.9553204392887629,-0.27978347919800006,1.0010227804336451,23.554282880206824,0.0,0.0,False,0.02,True,0.015,True,0.005,False,0.005,True,100.0,100.0,100.0,63.5,5,200,False
