rung,n_arms,n_fail_any,n_pass4b,uniq_L1_H1,uniqrate_L1_H1,failrate_L1_H1,uniq_L2_H2,uniqrate_L2_H2,failrate_L2_H2,uniq_L3_OOS,uniqrate_L3_OOS,failrate_L3_OOS,uniq_L4_DDcap,uniqrate_L4_DDcap,failrate_L4_DDcap,uniq_L5_CAGRfloor,uniqrate_L5_CAGRfloor,failrate_L5_CAGRfloor
0.0,90,76,14,0,0.0,0.3333333333333333,1,0.013157894736842105,0.45555555555555555,0,0.0,0.3333333333333333,15,0.19736842105263158,0.4777777777777778,19,0.25,0.4888888888888889
10.0,90,83,7,2,0.024096385542168676,0.4666666666666667,1,0.012048192771084338,0.5333333333333333,0,0.0,0.5111111111111111,9,0.10843373493975904,0.4777777777777778,20,0.24096385542168675,0.5888888888888889
25.0,90,86,4,1,0.011627906976744186,0.7,0,0.0,0.7,0,0.0,0.6666666666666666,3,0.03488372093023256,0.4777777777777778,14,0.16279069767441862,0.6555555555555556
50.0,90,87,3,0,0.0,0.8,0,0.0,0.8,0,0.0,0.8,0,0.0,0.5444444444444444,14,0.16091954022988506,0.8777777777777778
100.0,90,90,0,0,0.0,0.8,0,0.0,0.9,0,0.0,0.8333333333333334,0,0.0,0.6666666666666666,9,0.1,0.9333333333333333
