beta,cell,rows,panel_vol,breadth_IS,breadth_full,rho,OOS_S_mean,OOS_S_sd
UNMATCHED,BSTK-LO,48,0.19774173197106545,0.7891159188034186,0.738768337408313,0.8151171567067033,0.5493946802519437,0.23991081605955356
UNMATCHED,BSTK-HI,48,0.32214491184632815,0.6956997863247864,0.6857885085574572,0.5837637722948998,0.930245791150356,0.1819598530658521
UNMATCHED,SMALL-LO,48,0.29079228594657996,0.6874866452991452,0.598232477587612,0.4129388896187425,-0.010860773342565806,0.176866106606952
UNMATCHED,SMALL-HI,48,0.5359965122047611,0.4505876068376069,0.41155766096169516,-0.07397927989912323,0.294832162859717,0.22888155381603614
0.25,BSTK-LO,48,0.19696665949272354,0.768883547008547,0.7261308068459659,0.8285679348701803,0.5876515375959301,0.19541044702335675
0.25,BSTK-HI,48,0.3083605769560945,0.7011217948717948,0.6887174001629992,0.5877990057439428,0.912518496741937,0.1079397645459899
0.25,SMALL-LO,48,0.29032349350989334,0.6989850427350427,0.6036522004889976,0.4949886364159519,0.02072609218559888,0.18192382480730968
0.25,SMALL-HI,48,0.4390433841601278,0.6220619658119658,0.52259576202119,0.21521245061563127,0.14822436226241453,0.16832706864149577
0.20,BSTK-LO,48,0.19387774935368676,0.749332264957265,0.7239914425427875,0.8420187130336573,0.6130830218383578,0.24399895439232583
0.20,BSTK-HI,48,0.29649725097054586,0.7011351495726496,0.6941167481662592,0.5797285388458567,0.8687664903551046,0.1610984420719133
0.20,SMALL-LO,48,0.2927244962242674,0.7035523504273504,0.6032090464547677,0.3497202322504008,0.06937433934209565,0.22456061359103277
0.20,SMALL-HI,48,0.4345109599771276,0.6411725427350428,0.5450947432762835,0.7330674099094938,0.13655521167211473,0.19026713598945863
0.15,BSTK-LO,48,0.19393583722401986,0.734815705128205,0.7197381825590871,0.8823710475240882,0.5278582836223932,0.24302471922660748
0.15,BSTK-HI,48,0.296852656971213,0.7072783119658119,0.693872249388753,0.3308891428215331,0.8520630923147529,0.14293154643678163
0.15,SMALL-LO,48,0.2896231571567822,0.6966346153846154,0.5986654441727791,0.1694798048598096,0.09535164495665094,0.17773050968674112
0.15,SMALL-HI,48,0.440992341138912,0.6609241452991452,0.5567186226568867,0.3793119442100501,0.2742770895735948,0.1545059268408691
