panel,window,cost,n_pass4b,B1_DD,B1_CAGR,B2_all,B3_5of5,B1c_DD,B2c_all,n_pass4a
U56,FULL,10,5,4,3,2,3,4,3,0
U56,IS,10,1,0,0,0,0,1,0,0
U56,OOS,10,6,5,5,4,4,5,4,0
B136,FULL,10,4,3,1,0,0,3,0,0
B136,IS,10,4,3,1,0,0,4,4,2
B136,OOS,10,1,0,0,0,0,0,0,2
