K,basis,n_cells,n_defined,share_defined,share_SE_wider,share_SE_wider_noK2,share_SE_wider_vs_PUB,share_decidable,share_decidable_step,med_se_rel,med_R_SESE,med_n_distinct
2,J_LADDER,432,0,0.0,,,,,,,,
2,J_INT,432,0,0.0,,,,,,,,
2,J_D2,432,0,0.0,,,,,,,,
2,J_GROUP,432,216,0.5,0.5555555555555556,0.5972222222222222,0.5925925925925926,0.4444444444444444,,0.48310316670826453,,4.0
3,J_LADDER,432,432,1.0,0.22916666666666663,0.3310185185185185,0.30787037037037035,0.7708333333333334,0.5648148148148148,0.19019595017594437,1.6245155382355878,2.0
3,J_INT,432,0,0.0,,,,,,,,
3,J_D2,432,0,0.0,,,,,,,,
3,J_GROUP,432,216,0.5,0.5,0.5462962962962963,0.5833333333333333,0.5,0.32407407407407407,0.4263078423585792,,4.0
4,J_LADDER,432,432,1.0,0.2314814814814815,0.33564814814814814,0.39583333333333337,0.7685185185185185,0.33101851851851855,0.25876028231980963,0.9450954935362111,3.0
4,J_INT,432,432,1.0,0.03703703703703709,0.04398148148148151,0.1875,0.9629629629629629,0.6226851851851852,0.1055745815002365,0.7365142321019393,2.0
4,J_D2,432,432,1.0,0.2870370370370371,0.3564814814814815,0.36342592592592593,0.7129629629629629,0.4074074074074074,0.20849928367679033,1.374896342722713,3.0
4,J_GROUP,432,216,0.5,0.4907407407407407,0.5555555555555556,0.5648148148148149,0.5092592592592593,0.27314814814814814,0.3759069629479076,,4.0
5,J_LADDER,432,432,1.0,0.2592592592592593,0.375,0.4814814814814815,0.7407407407407407,0.08333333333333333,0.4219099586757852,0.8052994489911227,4.0
5,J_INT,432,432,1.0,0.02546296296296291,0.05787037037037035,0.3379629629629629,0.9745370370370371,0.2037037037037037,0.2150036977056643,0.8312275508999669,3.0
5,J_D2,432,432,1.0,0.2870370370370371,0.37037037037037035,0.4305555555555556,0.7129629629629629,0.27546296296296297,0.31723286331725764,1.051904324474204,6.0
5,J_GROUP,432,216,0.5,0.46759259259259256,0.5231481481481481,0.5231481481481481,0.5324074074074074,0.3148148148148148,0.34194279185719145,,4.0
6,J_LADDER,432,432,1.0,0.23379629629629628,0.31018518518518523,0.4004629629629629,0.7662037037037037,0.08333333333333333,0.3847368152713966,0.8116284934968935,5.0
6,J_INT,432,432,1.0,0.02083333333333337,0.03472222222222221,0.26388888888888884,0.9791666666666666,0.3148148148148148,0.21174139712574575,0.7901081402940414,4.0
6,J_D2,432,432,1.0,0.26157407407407407,0.33564814814814814,0.4305555555555556,0.7384259259259259,0.046296296296296294,0.4342584987347452,0.8347426338369501,10.0
6,J_GROUP,432,216,0.5,0.44907407407407407,0.5,0.4814814814814815,0.5509259259259259,0.25925925925925924,0.365654619352086,,4.0
7,J_LADDER,432,432,1.0,0.25,0.3379629629629629,0.41435185185185186,0.75,0.018518518518518517,0.3604147007146134,0.6879054076627114,5.0
7,J_INT,432,432,1.0,0.02777777777777779,0.05787037037037035,0.32407407407407407,0.9722222222222222,0.05555555555555555,0.2114042763824649,0.8121172990853915,4.0
7,J_D2,432,432,1.0,0.2407407407407407,0.3032407407407407,0.39814814814814814,0.7592592592592593,0.046296296296296294,0.35848581486396164,0.6358151942736078,12.0
7,J_GROUP,432,216,0.5,0.4629629629629629,0.5092592592592593,0.47685185185185186,0.5370370370370371,0.1712962962962963,0.29417521578430106,,4.0
8,J_LADDER,432,432,1.0,0.20370370370370372,0.26388888888888884,0.40509259259259256,0.7962962962962963,0.013888888888888888,0.3068017477670284,0.7801078809434494,6.0
8,J_INT,432,432,1.0,0.03472222222222221,0.05555555555555558,0.2847222222222222,0.9652777777777778,0.041666666666666664,0.20171628090711868,0.65817600566276,5.0
8,J_D2,432,432,1.0,0.21990740740740744,0.27083333333333337,0.43981481481481477,0.7800925925925926,0.011574074074074073,0.3348119002279776,0.7630199038755509,15.0
8,J_GROUP,432,216,0.5,0.42592592592592593,0.5092592592592593,0.49537037037037035,0.5740740740740741,0.18055555555555555,0.2730395945720394,,4.0
