panel,cost_bps,gstar,mono,n_cagr_bind,above,n_cagr_fail,spygross_gstar,spygross_mono,spygross_n_cagr_bind,spygross_above,spygross_n_cagr_fail,spycost_gstar,spycost_mono,spycost_n_cagr_bind,spycost_above,spycost_n_cagr_fail
U56,0.0,0.6,True,17,L_DD,13,,True,0,L_DD,0,0.6,True,17,L_DD,13
U56,2.0,0.6,True,17,L_DD,13,,True,0,L_DD,0,0.6,True,17,L_DD,13
U56,5.0,0.6,True,17,L_DD,13,,True,0,L_DD,0,0.6,True,17,L_DD,13
U56,7.5,0.6,True,17,L_DD,13,,True,0,L_DD,0,0.6,True,17,L_DD,13
U56,10.0,0.6,True,17,L_DD,13,,True,0,L_DD,0,0.6,True,17,L_DD,13
U56,15.0,0.6,True,17,L_DD,13,,True,0,L_DD,0,0.6,True,17,L_DD,13
U56,25.0,0.625,True,18,L_DD,14,,True,0,L_DD,0,0.625,True,18,L_DD,14
U56,50.0,0.625,True,18,L_DD+L_H1,15,,True,0,L_DD,0,0.625,True,18,L_DD+L_H1,15
B136,0.0,0.525,True,14,L_DD+L_H2,12,,True,0,L_DD,0,0.525,True,14,L_DD+L_H2,12
B136,2.0,0.525,True,14,L_DD+L_H2,12,,True,0,L_DD,0,0.525,True,14,L_DD+L_H2,12
B136,5.0,0.525,True,14,L_DD+L_H2,12,,True,0,L_DD,0,0.525,True,14,L_DD+L_H2,12
B136,7.5,0.525,True,14,L_DD+L_H2,12,,True,0,L_DD,0,0.525,True,14,L_DD+L_H2,12
B136,10.0,0.525,True,14,L_DD+L_H2,12,,True,0,L_DD,0,0.525,True,14,L_DD+L_H2,12
B136,15.0,0.525,True,14,L_DD+L_H2,13,,True,0,L_DD,0,0.525,True,14,L_DD+L_H2,13
B136,25.0,0.525,True,14,L_DD+L_H2,13,,True,0,L_DD,0,0.525,True,14,L_DD+L_H2,13
B136,50.0,0.525,True,14,L_DD+L_H2,14,,True,0,L_DD,0,0.525,True,14,L_DD+L_H2,14
