| 2026-09-23 | 2539 BAND U56 g0.75 cap0.020 @10bps | 11.6% | 1.27 | -14.8% | 1.30 / 1.25 | OOS 12.8%/1.33/-14.8% | KILL (SPY-only 4b, fails EWBH) | 2026-09-23_band-cross-sectional-null_C.py |
| 2026-09-23 | 2539 ANTI_ALL U56 g0.75 cap0.020 @10bps | 7.1% | 0.65 | -26.5% | 0.70 / 0.63 | OOS 7.7%/0.67/-26.5% | KILL | 2026-09-23_band-cross-sectional-null_C.py |
| 2026-09-23 | 2539 ALL U56 g0.75 cap0.020 @10bps | 11.3% | 1.23 | -17.0% | 1.28 / 1.19 | OOS 12.3%/1.28/-17.0% | KILL (SPY-only 4b, fails EWBH) | 2026-09-23_band-cross-sectional-null_C.py |
| 2026-09-23 | 2539 RAND-null median U56 g0.75 cap0.020 @10bps (K=16) | 9.6% | 1.04 | -17.6% | 1.06 / 1.04 | OOS 10.9%/1.12/-17.6% | NULL | 2026-09-23_band-cross-sectional-null_C.py |
| 2026-09-23 | 2539 RAND_STICKY-null median U56 g0.75 cap0.020 @10bps (K=16) | 11.3% | 1.22 | -16.5% | 1.30 / 1.17 | OOS 12.2%/1.26/-16.5% | NULL | 2026-09-23_band-cross-sectional-null_C.py |
| 2026-09-23 | 2539 BAND B136 g0.75 cap0.020 @10bps | 11.8% | 1.12 | -17.1% | 1.26 / 0.99 | OOS 11.7%/1.09/-17.1% | KILL (SPY-only 4b, fails EWBH) | 2026-09-23_band-cross-sectional-null_C.py |
| 2026-09-23 | 2539 ANTI_ALL B136 g0.75 cap0.020 @10bps | 12.5% | 0.97 | -25.3% | 1.13 / 0.84 | OOS 11.6%/0.88/-25.3% | KILL | 2026-09-23_band-cross-sectional-null_C.py |
| 2026-09-23 | 2539 ALL B136 g0.75 cap0.020 @10bps | 13.3% | 1.16 | -20.3% | 1.32 / 1.02 | OOS 12.9%/1.11/-20.3% | KILL | 2026-09-23_band-cross-sectional-null_C.py |
| 2026-09-23 | 2539 RAND-null median B136 g0.75 cap0.020 @10bps (K=16) | 11.0% | 0.98 | -20.6% | 1.13 / 0.84 | OOS 10.5%/0.93/-20.6% | NULL | 2026-09-23_band-cross-sectional-null_C.py |
| 2026-09-23 | 2539 RAND_STICKY-null median B136 g0.75 cap0.020 @10bps (K=16) | 12.9% | 1.12 | -20.4% | 1.28 / 0.99 | OOS 12.6%/1.08/-20.4% | NULL | 2026-09-23_band-cross-sectional-null_C.py |
