rule,conv,panel,n_pick,underfill_IS,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
ISARGMAX,FIXED,U56,5.0,0.0,0.18450685681430068,0.9938232266964573,-0.2157977985023969
ISARGMAX,FIXED,ETF36,20.0,0.20512820512820512,0.08073733344914702,0.9418936547049168,-0.15168285881703936
ISARGMAX,FIXED,ETF24,10.0,0.13782051282051283,0.07867828463148552,0.7347269751632187,-0.21484725241238667
ISARGMAX,FIXED,STK20,10.0,0.10576923076923077,0.21130645694099348,1.3635356506313179,-0.17267346083768687
ISARGMAX,FIXED,B136,30.0,0.003205128205128205,0.11536715176486134,0.9031992549593698,-0.20296607416739576
ISARGMAX,FIXED,BSTK100,10.0,0.0,0.12412953677451055,0.7727132689532417,-0.22426883407313536
ISARGMAX,FIXED,SMALL,20.0,0.003205128205128205,0.07232854473169592,0.487330838507868,-0.27432604586461007
SATARGMAX,FIXED,U56,5.0,0.0,0.18450685681430068,0.9938232266964573,-0.2157977985023969
SATARGMAX,FIXED,ETF36,20.0,0.20512820512820512,0.08073733344914702,0.9418936547049168,-0.15168285881703936
SATARGMAX,FIXED,ETF24,10.0,0.13782051282051283,0.07867828463148552,0.7347269751632187,-0.21484725241238667
SATARGMAX,FIXED,STK20,10.0,0.10576923076923077,0.21130645694099348,1.3635356506313179,-0.17267346083768687
SATARGMAX,FIXED,B136,30.0,0.003205128205128205,0.11536715176486134,0.9031992549593698,-0.20296607416739576
SATARGMAX,FIXED,BSTK100,10.0,0.0,0.12412953677451055,0.7727132689532417,-0.22426883407313536
SATARGMAX,FIXED,SMALL,20.0,0.003205128205128205,0.07232854473169592,0.487330838507868,-0.27432604586461007
WIDEST,FIXED,U56,60.0,1.0,0.0768181311175109,1.2549831331338466,-0.10003773138723338
WIDEST,FIXED,ETF36,60.0,1.0,0.03082733248320091,0.920287224739271,-0.06001488251317366
WIDEST,FIXED,ETF24,60.0,1.0,0.02704327200650214,0.8840008474882023,-0.056588223844061036
WIDEST,FIXED,STK20,60.0,1.0,0.04542842257845314,1.4444555552138598,-0.041386637700763784
WIDEST,FIXED,B136,60.0,0.10256410256410256,0.11175642933138774,1.0264095330336584,-0.19014144827419033
WIDEST,FIXED,BSTK100,60.0,0.1794871794871795,0.11778801306562459,1.1285294917837687,-0.17071744829757107
WIDEST,FIXED,SMALL,60.0,0.07692307692307693,0.051759269354500814,0.42585631324526907,-0.25686407798957067
NARROWEST,FIXED,U56,5.0,0.0,0.18450685681430068,0.9938232266964573,-0.2157977985023969
NARROWEST,FIXED,ETF36,5.0,0.009615384615384616,0.07283499487167422,0.5861845086605967,-0.2254226019006067
NARROWEST,FIXED,ETF24,5.0,0.09294871794871795,0.07610352647674401,0.6215308035376078,-0.23414432866141566
NARROWEST,FIXED,STK20,5.0,0.009615384615384616,0.20215526955453544,1.0920195203817564,-0.18447211091294824
NARROWEST,FIXED,B136,5.0,0.0,0.16050924299153935,0.8138426077132945,-0.23360448342667006
NARROWEST,FIXED,BSTK100,5.0,0.0,0.15457017418308383,0.8003694058368261,-0.22112603361760907
NARROWEST,FIXED,SMALL,5.0,0.0,0.07807794858812822,0.41812453465509947,-0.4019865108407552
NOTHING,FIXED,U56,20.0,0.08653846153846154,0.14360571273280298,1.167991233806965,-0.18308348697878107
NOTHING,FIXED,ETF36,20.0,0.08653846153846154,0.14360571273280298,1.167991233806965,-0.18308348697878107
NOTHING,FIXED,ETF24,20.0,0.08653846153846154,0.14360571273280298,1.167991233806965,-0.18308348697878107
NOTHING,FIXED,STK20,20.0,0.08653846153846154,0.14360571273280298,1.167991233806965,-0.18308348697878107
NOTHING,FIXED,B136,20.0,0.08653846153846154,0.14360571273280298,1.167991233806965,-0.18308348697878107
NOTHING,FIXED,BSTK100,20.0,0.08653846153846154,0.14360571273280298,1.167991233806965,-0.18308348697878107
NOTHING,FIXED,SMALL,20.0,0.08653846153846154,0.14360571273280298,1.167991233806965,-0.18308348697878107
RANDOM,FIXED,U56,,0.29754273504273504,0.1319098503562457,1.1487653506942543,-0.16327467391095188
RANDOM,FIXED,ETF36,,0.5128205128205128,0.0619987561703003,0.8422122269585706,-0.13831939376603816
RANDOM,FIXED,ETF24,,0.6287393162393162,0.05891072340688941,0.8158476682912466,-0.14226869948015594
RANDOM,FIXED,STK20,,0.6858974358974358,0.12646153097924484,1.3726536136857506,-0.11052236803108328
RANDOM,FIXED,B136,,0.026709401709401708,0.12630147728575947,0.8995811732977991,-0.20546902458808944
RANDOM,FIXED,BSTK100,,0.049679487179487176,0.1294837506058347,0.9415766637843302,-0.20070937686048607
RANDOM,FIXED,SMALL,,0.020833333333333332,0.0706952876622013,0.468849803010837,-0.2852420592225933
ISARGMAX,NORM,U56,20.0,0.08653846153846154,0.14453585654383216,1.1306969416161394,-0.1830834869787813
ISARGMAX,NORM,ETF36,20.0,0.20512820512820512,0.06984267029369451,0.7430861921157712,-0.22138180239728722
ISARGMAX,NORM,ETF24,10.0,0.13782051282051283,0.08071838718277258,0.6635051992781815,-0.3040951784521594
ISARGMAX,NORM,STK20,10.0,0.10576923076923077,0.24283134392990613,1.4104354275286253,-0.2013470007434297
ISARGMAX,NORM,B136,30.0,0.003205128205128205,0.11601647704030738,0.8951694506747754,-0.20296607416739587
ISARGMAX,NORM,BSTK100,30.0,0.038461538461538464,0.12648865351607386,0.9285625198662371,-0.26749225748891126
ISARGMAX,NORM,SMALL,20.0,0.003205128205128205,0.06952666704630439,0.46573138739537995,-0.33479416717597366
SATARGMAX,NORM,U56,20.0,0.08653846153846154,0.14453585654383216,1.1306969416161394,-0.1830834869787813
