panel,book,cadence,window,leg,S0,S10,S25,S50,slope_per_bp,intercept,r2,share_S0_over_S10,bucket
B136,BAND03_G075,D,FULL,CAGR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,ZERO
B136,BAND03_G075,D,FULL,Sharpe,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,ZERO
B136,BAND03_G075,D,FULL,MaxDD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,ZERO
B136,BAND03_G075,D,IS,CAGR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,ZERO
B136,BAND03_G075,D,IS,Sharpe,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,ZERO
B136,BAND03_G075,D,IS,MaxDD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,ZERO
B136,BAND03_G075,D,OOS,CAGR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,ZERO
B136,BAND03_G075,D,OOS,Sharpe,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,ZERO
B136,BAND03_G075,D,OOS,MaxDD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,ZERO
B136,BAND03_G075,M,FULL,CAGR,0.0029458195994562786,0.00291588981138613,0.0028711370986567175,0.002796926781482467,-2.9772812538898423e-06,0.0029457105493905576,0.9999967688419212,1.0102643755443972,PATH
B136,BAND03_G075,M,FULL,Sharpe,0.08591979716222209,0.08473744976508835,0.08295019097291079,0.07993708980829439,-0.00011970921685820811,0.08592995278536579,0.9999829243226807,1.0139530679812938,PATH
B136,BAND03_G075,M,FULL,MaxDD,0.05231869260864597,0.052144487903263315,0.051883180845190724,0.051447669081734815,-1.742047053821854e-05,0.05231869260864584,1.0,1.0033408076747408,PATH
B136,BAND03_G075,M,IS,CAGR,0.0029207330755538496,0.0029012021906584806,0.0028719861621231413,0.0028235063616002254,-1.9442089842882186e-06,0.002920671388400048,0.9999975752275789,1.0067319971556123,PATH
B136,BAND03_G075,M,IS,Sharpe,0.03289401886944776,0.032823043954196995,0.032708962186528856,0.03249857388741417,-7.939762465437948e-06,0.0328998696767875,0.9986939975221328,1.0021623501875636,PATH
