corpus,panel,series,cost_bps,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
A,U56,SPY,,0.15450717694493266,0.8820107671822842,-0.33717235283398284
A,U56,RULES v1,5.0,0.09078128460003998,0.8627148928624649,-0.13711142644765784
A,U56,RULES v1,10.0,0.07730300522922962,0.747063834691694,-0.1382779615448081
A,U56,RULES v1,15.0,0.06398708190793578,0.6311942008866751,-0.13944354806865555
A,U56,RULES v1,20.0,0.050831608907769166,0.5152062312932081,-0.14060818639143147
A,U56,RULES v1,25.0,0.037834702288707334,0.3992003076949502,-0.14177187688535975
A,B136,SPY,,0.1545044425578177,0.8820239235972316,-0.3371595330739301
A,B136,RULES v1,5.0,0.07600002707206621,0.7166675545043932,-0.19396901479225048
A,B136,RULES v1,10.0,0.05941502665859644,0.5762505378038234,-0.2119126361153264
A,B136,RULES v1,15.0,0.043079721657671044,0.4357922798881319,-0.2305109210720706
A,B136,RULES v1,20.0,0.026990441626883133,0.2954549455949994,-0.24867668081651084
A,B136,RULES v1,25.0,0.011143568780353386,0.1553992886560633,-0.26721084947028584
A,SMALL,SPY,,0.15450717694493266,0.8820107671822842,-0.33717235283398284
A,SMALL,RULES v1,5.0,0.21050156274660292,0.6437366652576989,-0.32138296206101824
A,SMALL,RULES v1,10.0,0.1931168821403053,0.6046128159097157,-0.3500898251599208
A,SMALL,RULES v1,15.0,0.17597575088895367,0.5654807404333511,-0.3775915589963469
A,SMALL,RULES v1,20.0,0.15907484217590384,0.5263441884344878,-0.4039383690392656
A,SMALL,RULES v1,25.0,0.1424108734725429,0.48720690691356155,-0.4291783852693777
B,U56,SPY,,0.15450717694493266,0.8820107671822842,-0.33717235283398284
B,U56,RULES v1,5.0,0.09078128460003998,0.8627148928624649,-0.13711142644765784
B,U56,RULES v1,10.0,0.07730300522922962,0.747063834691694,-0.1382779615448081
B,U56,RULES v1,15.0,0.06398708190793578,0.6311942008866751,-0.13944354806865555
B,U56,RULES v1,20.0,0.050831608907769166,0.5152062312932081,-0.14060818639143147
B,U56,RULES v1,25.0,0.037834702288707334,0.3992003076949502,-0.14177187688535975
B,SMALL,SPY,,0.15450717694493266,0.8820107671822842,-0.33717235283398284
B,SMALL,RULES v1,5.0,0.09488885277689896,0.7788157711998425,-0.2910530823585745
B,SMALL,RULES v1,10.0,0.07877950048613513,0.6617067723253529,-0.323701236248903
B,SMALL,RULES v1,15.0,0.06290151900636065,0.5444863774067046,-0.35485624100512403
B,SMALL,RULES v1,20.0,0.047251665914677776,0.4272520928369741,-0.3845859124905531
B,SMALL,RULES v1,25.0,0.03182674310426048,0.31010111943204,-0.4129550079404656
