k,origin,n,gate_sd,gate_over_gap,gate_range,conc_sd,conc_over_gap,conc_range
20,U56,12,0.09847105964458383,1.00705719561657,0.32234844812715413,4.136250564991505,0.400253507399984,15.743223352336907
20,B136,12,0.0619350415760881,0.6334056879770926,0.18313953329197719,4.871447529909431,0.4713964807799894,12.933219593413876
20,SMALL,12,0.15875784304076784,1.623606253165419,0.5504913598679744,10.078082201080603,0.9752280925602357,30.81270598841032
20,POOL,12,0.2055146941178328,2.1017855628172426,0.7257787366214745,8.965254393805205,0.8675428288182103,31.998716040654216
36,U56,12,0.055128715008480135,0.5637978237948081,0.1658528629045477,3.2054454977121627,0.31018207990052354,11.907463760273664
36,B136,12,0.04682273223650269,0.4788530720334491,0.17147764698056367,3.61756049496538,0.35006130639101873,11.935982205760705
36,SMALL,12,0.12703856013549975,1.2992151863398793,0.4023397986597978,12.171298087338887,1.1777827944710384,44.21834124363723
36,POOL,12,0.10176602800471182,1.0407546251798592,0.3001855868281282,8.543240071361357,0.8267056720557971,31.684859429478017
50,U56,12,0.013087565360775972,0.13384568945680625,0.0420077477618751,1.214514237476927,0.11752517786319253,4.553989057331108
50,B136,12,0.061853633448265465,0.6325731322881282,0.20500123242625545,2.828250528233456,0.2736819677493651,8.902453298712263
50,SMALL,12,0.08866281006618416,0.9067488578167963,0.24912881162854894,13.952900569755274,1.3501835306389989,49.466416217792116
50,POOL,12,0.09568345517036649,0.9785485438926426,0.3272348619963354,6.060996251966696,0.5865058148847445,17.943913356865274
