conv,panel,cost,n,CEILING,REACHABLE,TRADED,frac_ceiling,frac_reachable,frac_traded,median_g
VM_FULL,ALL,ALL,213,81,0,132,0.38028169014084506,0.0,0.6197183098591549,0.9409475933636837
VM_FULL,ALL,10.0,83,20,0,63,0.24096385542168675,0.0,0.7590361445783133,0.9056368526574335
VM_FULL,ALL,25.0,130,61,0,69,0.46923076923076923,0.0,0.5307692307692308,0.9740222856019645
VM_FULL,u56,ALL,41,39,0,2,0.9512195121951219,0.0,0.04878048780487805,1.2775785316914239
VM_FULL,u56,10.0,12,12,0,0,1.0,0.0,0.0,1.2924724040223916
VM_FULL,u56,25.0,29,27,0,2,0.9310344827586207,0.0,0.06896551724137931,1.2637790159566862
VM_FULL,broad,ALL,46,42,0,4,0.9130434782608695,0.0,0.08695652173913043,1.2284686929083923
VM_FULL,broad,10.0,8,8,0,0,1.0,0.0,0.0,1.2514970752319643
VM_FULL,broad,25.0,38,34,0,4,0.8947368421052632,0.0,0.10526315789473684,1.1912748139643625
VM_FULL,small,ALL,126,0,0,126,0.0,0.0,1.0,0.8553710753852866
VM_FULL,small,10.0,63,0,0,63,0.0,0.0,1.0,0.8554360090354504
VM_FULL,small,25.0,63,0,0,63,0.0,0.0,1.0,0.854600092648078
VM_IS,ALL,ALL,213,81,0,132,0.38028169014084506,0.0,0.6197183098591549,0.9065064047855631
VM_IS,ALL,10.0,83,20,0,63,0.24096385542168675,0.0,0.7590361445783133,0.870627198866697
VM_IS,ALL,25.0,130,61,0,69,0.46923076923076923,0.0,0.5307692307692308,0.9553092202229911
VM_IS,u56,ALL,41,39,0,2,0.9512195121951219,0.0,0.04878048780487805,1.2995062980990237
VM_IS,u56,10.0,12,12,0,0,1.0,0.0,0.0,1.3163979815837226
VM_IS,u56,25.0,29,27,0,2,0.9310344827586207,0.0,0.06896551724137931,1.2683296577261902
VM_IS,broad,ALL,46,42,0,4,0.9130434782608695,0.0,0.08695652173913043,1.18751604110565
VM_IS,broad,10.0,8,8,0,0,1.0,0.0,0.0,1.2644083871524656
VM_IS,broad,25.0,38,34,0,4,0.8947368421052632,0.0,0.10526315789473684,1.159586551856822
VM_IS,small,ALL,126,0,0,126,0.0,0.0,1.0,0.8254056283917077
VM_IS,small,10.0,63,0,0,63,0.0,0.0,1.0,0.8258449616849243
VM_IS,small,25.0,63,0,0,63,0.0,0.0,1.0,0.8249662950984912
CF_FULL,ALL,ALL,213,141,9,63,0.6619718309859155,0.04225352112676056,0.29577464788732394,0.9
CF_FULL,ALL,10.0,83,65,8,10,0.7831325301204819,0.0963855421686747,0.12048192771084337,1.1
CF_FULL,ALL,25.0,130,76,1,53,0.5846153846153846,0.007692307692307693,0.4076923076923077,0.85
CF_FULL,u56,ALL,41,10,8,23,0.24390243902439024,0.1951219512195122,0.5609756097560976,0.85
CF_FULL,u56,10.0,12,4,7,1,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.8500000000000001
CF_FULL,u56,25.0,29,6,1,22,0.20689655172413793,0.034482758620689655,0.7586206896551724,0.85
CF_FULL,broad,ALL,46,10,1,35,0.21739130434782608,0.021739130434782608,0.7608695652173914,0.85
CF_FULL,broad,10.0,8,3,1,4,0.375,0.125,0.5,0.925
CF_FULL,broad,25.0,38,7,0,31,0.18421052631578946,0.0,0.8157894736842105,0.85
CF_FULL,small,ALL,126,121,0,5,0.9603174603174603,0.0,0.03968253968253968,1.5
CF_FULL,small,10.0,63,58,0,5,0.9206349206349206,0.0,0.07936507936507936,1.5
CF_FULL,small,25.0,63,63,0,0,1.0,0.0,0.0,
CF_IS,ALL,ALL,213,140,5,68,0.6572769953051644,0.023474178403755867,0.3192488262910798,0.95
CF_IS,ALL,10.0,83,58,5,20,0.6987951807228916,0.060240963855421686,0.24096385542168675,1.0
CF_IS,ALL,25.0,130,82,0,48,0.6307692307692307,0.0,0.36923076923076925,0.9
CF_IS,u56,ALL,41,20,4,17,0.4878048780487805,0.0975609756097561,0.4146341463414634,1.0
CF_IS,u56,10.0,12,4,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.925
CF_IS,u56,25.0,29,16,0,13,0.5517241379310345,0.0,0.4482758620689655,1.0
CF_IS,broad,ALL,46,6,1,39,0.13043478260869565,0.021739130434782608,0.8478260869565217,0.85
CF_IS,broad,10.0,8,2,1,5,0.25,0.125,0.625,0.825
CF_IS,broad,25.0,38,4,0,34,0.10526315789473684,0.0,0.8947368421052632,0.85
CF_IS,small,ALL,126,114,0,12,0.9047619047619048,0.0,0.09523809523809523,1.25
CF_IS,small,10.0,63,52,0,11,0.8253968253968254,0.0,0.1746031746031746,1.25
CF_IS,small,25.0,63,62,0,1,0.9841269841269841,0.0,0.015873015873015872,1.75
