shape,eps,draws,n,flip4a,rate4a,flip4b,rate4b,max_abs_dSharpe,max_abs_dCAGR,max_abs_dMaxDD
IID,0.0001,6,192,0,0.0,0,0.0,0.009665501741414118,0.002401047363702835,0.0001244640122947116
IID,0.0001,12,384,0,0.0,0,0.0,0.010954622360543231,0.0036358929062803025,0.002778596208237505
IID,0.0001,24,768,0,0.0,0,0.0,0.010954622360543231,0.0036358929062803025,0.004881055343298968
IID,0.0003,6,192,0,0.0,0,0.0,0.013053332629199055,0.003975144616289006,0.008298906576340803
IID,0.0003,12,384,0,0.0,0,0.0,0.01723727040697931,0.005123616917773077,0.010319310494785183
IID,0.0003,24,768,0,0.0,0,0.0,0.025999524831830767,0.008134550783299277,0.016106048412258933
IID,0.001,6,192,0,0.0,1,0.005208333333333333,0.029167609453244814,0.00974030410054394,0.028382459749499933
IID,0.001,12,384,0,0.0,2,0.005208333333333333,0.029167609453244814,0.00974030410054394,0.028382459749499933
IID,0.001,24,768,0,0.0,3,0.00390625,0.029183792892692684,0.00977500606160775,0.028382459749499933
IID,0.003,6,192,0,0.0,5,0.026041666666666668,0.04661403958919241,0.01421067017529154,0.014248756730925849
IID,0.003,12,384,0,0.0,6,0.015625,0.051726703367254934,0.016153458305152357,0.015801117684947075
IID,0.003,24,768,0,0.0,15,0.01953125,0.0832634922559976,0.02594397623078204,0.04062267134016273
BLOCK,0.0003,6,192,0,0.0,0,0.0,0.011517650853369976,0.0028973904339788525,0.010325639082965798
BLOCK,0.0003,12,384,0,0.0,0,0.0,0.011517650853369976,0.0034620240494083188,0.012758096216515802
BLOCK,0.0003,24,768,0,0.0,0,0.0,0.017340282346268943,0.004919554842355955,0.012758096216515802
