k,q,draw,k_real,Ebar,breadth,S2
20,0.0,0,20,13.6690734055355,0.683453670276775,1.0
20,0.0,1,20,13.580024067388688,0.6790012033694344,1.0
20,0.0,2,20,13.421179302045728,0.6710589651022864,
20,0.0,3,20,13.339350180505415,0.6669675090252707,
20,0.0,4,20,13.463297232250302,0.6731648616125151,
20,0.0,5,20,13.9338146811071,0.696690734055355,1.0
20,0.25,0,20,11.322503008423586,0.5661251504211793,
20,0.25,1,20,11.37424789410349,0.5687123947051745,
20,0.25,2,20,11.37785800240674,0.568892900120337,
20,0.25,3,20,12.748495788206979,0.637424789410349,1.0
20,0.25,4,20,9.59927797833935,0.4799638989169675,
20,0.25,5,20,12.257521058965102,0.6128760529482551,
20,0.5,0,20,10.972322503008424,0.5486161251504212,
20,0.5,1,20,9.181708784596871,0.4590854392298436,
20,0.5,2,20,10.30806257521059,0.5154031287605295,
20,0.5,3,20,10.765342960288809,0.5382671480144404,
20,0.5,4,20,10.799037304452467,0.5399518652226234,
20,0.5,5,20,11.226233453670277,0.5613116726835139,
20,0.75,0,20,7.172081829121541,0.358604091456077,
20,0.75,1,20,8.734055354993982,0.43670276774969913,
20,0.75,2,20,8.429602888086643,0.4214801444043322,
20,0.75,3,20,8.128760529482552,0.4064380264741276,
20,0.75,4,20,7.96028880866426,0.398014440433213,
20,0.75,5,20,9.598074608904934,0.4799037304452467,
20,1.0,0,20,5.981949458483754,0.2990974729241877,
20,1.0,1,20,8.267148014440433,0.41335740072202165,
20,1.0,2,20,6.897713598074609,0.3448856799037304,
20,1.0,3,20,7.511432009626955,0.37557160048134774,
20,1.0,4,20,6.703971119133574,0.3351985559566787,
20,1.0,5,20,7.326113116726835,0.3663056558363417,
40,0.0,0,40,26.29362214199759,0.6573405535499398,0.8875542691751085
40,0.0,1,40,27.169675090252706,0.6792418772563177,0.8820863309352517
40,0.0,2,40,26.027677496991576,0.6506919374247894,0.8688321167883213
40,0.0,3,40,28.042117930204572,0.7010529482551143,0.8925394548063128
40,0.0,4,40,25.634175691937426,0.6408543922984357,0.901018922852984
40,0.0,5,40,28.37424789410349,0.7093561973525873,0.891313559322034
40,0.25,0,40,24.645006016847173,0.6161251504211793,0.8868740515933233
40,0.25,1,40,23.212996389891696,0.5803249097472925,0.9096031746031745
40,0.25,2,40,22.99037304452467,0.5747593261131168,0.9166666666666666
40,0.25,3,40,22.8086642599278,0.5702166064981949,0.9129807692307693
40,0.25,4,40,23.835138387484957,0.5958784596871239,0.9141185647425898
40,0.25,5,40,22.927797833935017,0.5731949458483754,0.9002479338842977
40,0.5,0,40,20.85439229843562,0.5213598074608905,0.9198863636363637
40,0.5,1,40,20.735258724428398,0.51838146811071,0.9330374753451676
40,0.5,2,40,18.554753309265944,0.4638688327316486,0.9268637532133674
40,0.5,3,40,18.23826714801444,0.455956678700361,0.953183023872679
40,0.5,4,40,20.63898916967509,0.5159747292418773,0.9375475285171102
40,0.5,5,40,19.872442839951866,0.4968110709987966,0.9222916666666666
40,0.75,0,40,15.336943441636583,0.3834235860409146,0.9496894409937888
40,0.75,1,40,18.452466907340554,0.46131167268351386,0.9380487804878049
40,0.75,2,40,17.1985559566787,0.4299638989169675,0.9515243902439026
40,0.75,3,40,16.762936221419977,0.41907340553549943,0.9579166666666665
40,0.75,4,40,18.552346570397113,0.46380866425992784,0.9344387755102039
40,0.75,5,40,18.47412755716005,0.46185318892900123,0.944458762886598
40,1.0,0,40,12.768953068592058,0.31922382671480143,0.9779411764705882
40,1.0,1,40,11.155234657039712,0.2788808664259928,0.9722222222222222
40,1.0,2,40,13.077015643802648,0.3269253910950662,0.9703125000000001
40,1.0,3,40,13.528279181708784,0.3382069795427196,0.9753246753246753
40,1.0,4,40,14.216606498194945,0.35541516245487365,0.9729323308270678
40,1.0,5,40,14.196149217809868,0.3549037304452467,0.9704545454545457
80,0.0,0,80,55.955475330926596,0.6994434416365825,0.7297348484848486
80,0.0,1,80,53.65583634175692,0.6706979542719614,0.7297979797979798
80,0.0,2,80,53.9410348977136,0.67426293622142,0.7372272143774069
80,0.0,3,80,54.770156438026476,0.6846269554753309,0.7363578680203046
80,0.0,4,80,53.79903730445247,0.6724879663056559,0.7242098609355246
80,0.0,5,80,55.4416365824308,0.6930204572803851,0.7301282051282051
80,0.25,0,80,46.12996389891697,0.5766245487364621,0.7405038759689923
80,0.25,1,80,45.20938628158845,0.5651173285198556,0.7370298313878081
80,0.25,2,80,48.10589651022864,0.601323706377858,0.711670918367347
80,0.25,3,80,46.293622141997595,0.57867027677497,0.7285343709468224
80,0.25,4,80,45.569193742478944,0.5696149217809868,0.73296488946684
80,0.25,5,80,47.18170878459687,0.5897713598074609,0.7132731958762887
80,0.5,0,80,40.623345367027675,0.5077918170878459,0.7394319682959049
80,0.5,1,80,39.9410348977136,0.49926293622142,0.6992084432717678
80,0.5,2,80,38.683513838748496,0.4835439229843562,0.7469839142091153
80,0.5,3,80,41.28279181708785,0.5160348977135981,0.7067065073041169
80,0.5,4,80,40.08904933814681,0.5011131167268351,0.7263852242744063
