panel,restate,rung,gross,family,level,depth,cadence,on_share,mean_mult,arm_MaxDD,ctrl_MaxDD,dMaxDD,arm_Calmar,ctrl_Calmar,dCalmar,BIND,switch_in_episode,struct,CAGR,Sharpe,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,ctrl_Sharpe,ctrl_CAGR,ctrl_OOS_Sharpe,p4a,p4b,fail4b
U56,round2,0,0.75,BREADTH,0.3,0.25,D,0.07025444719657735,0.9824363882008557,-0.1456273635120866,-0.1576804126500646,0.012053049137978,0.7703538062161244,0.7185580078390309,0.05179579837709347,0.25,0.25,False,0.11218459377075507,1.1591244347133662,1.1571251394070021,1.1631446898438669,1.052209863158498,0.12307606064958443,1.2446074891271064,-0.14562736351208672,1.133778334920555,0.11330252318906675,1.1895778164174544,False,True,-
U56,round2,0,0.75,BREADTH,0.3,0.25,W,0.07363206485025896,0.9815919837874353,-0.15768041265006483,-0.1576804126500646,-2.220446049250313e-16,0.7165908354795565,0.7185580078390309,-0.0019671723594744117,0.0,0.0,True,0.11299233863967117,1.1600398669759358,1.1851403034162937,1.1397835243879957,1.082724880123485,0.12160128115173152,1.2216463192001676,-0.1576804126500646,1.133778334920555,0.11330252318906675,1.1895778164174544,False,True,-
U56,round2,0,0.75,BREADTH,0.3,0.5,D,0.07025444719657735,0.9648727764017113,-0.1335743143741086,-0.1576804126500646,0.024106098275956,0.8307337019765761,0.7185580078390309,0.11217569413754525,0.5,0.5,False,0.11096468466898624,1.1751471079209317,1.1418761068412524,1.2074217212768192,1.033180290282951,0.12401007225846383,1.2899108335486493,-0.13357431437410827,1.133778334920555,0.11330252318906675,1.1895778164174544,False,True,-
U56,round2,0,0.75,BREADTH,0.3,0.5,W,0.07363206485025896,0.9631839675748706,-0.15768041265006472,-0.1576804126500646,-1.1102230246251565e-16,0.7140895256222993,0.7185580078390309,-0.004468482216731573,0.0,0.0,True,0.11259793106921312,1.1786619129654352,1.1999436084538215,1.1612115315132625,1.0963262321475467,0.12108672012763289,1.2446689552883377,-0.15768041265006472,1.133778334920555,0.11330252318906675,1.1895778164174544,False,True,-
U56,round2,0,0.75,BREADTH,0.3,1.0,D,0.07025444719657735,0.9297455528034226,-0.13690319426711173,-0.1576804126500646,0.020777218382952878,0.7904940755830738,0.7185580078390309,0.07193606774404293,1.0,1.0,False,0.10822116399655046,1.1716273064535314,1.0850373949687644,1.2536483118021846,0.9699723960646777,0.12549255546973748,1.3364783291111195,-0.10946821609815227,1.133778334920555,0.11330252318906675,1.1895778164174544,False,True,-
U56,round2,0,0.75,BREADTH,0.3,1.0,W,0.07363206485025896,0.926367935149741,-0.15768041265006472,-0.1576804126500646,-1.1102230246251565e-16,0.7074878754608795,0.7185580078390309,-0.011070132378151354,0.0,0.0,True,0.11155698014758908,1.1874490985823114,1.207813221446698,1.1702991293802978,1.1028912981892185,0.11975049189515108,1.255629468830014,-0.1576804126500645,1.133778334920555,0.11330252318906675,1.1895778164174544,False,True,-
U56,round2,0,0.75,BREADTH,0.4,0.25,D,0.1231704571042558,0.969207385723936,-0.14972357901029043,-0.1576804126500646,0.007956833639774175,0.7425253789123625,0.7185580078390309,0.023967371073331578,0.25,0.75,False,0.11117355723673095,1.1714729504487893,1.1853419699047323,1.1611951512357783,1.0792724944992518,0.12076096828769578,1.2450034364230993,-0.14972357901029032,1.133778334920555,0.11330252318906675,1.1895778164174544,False,True,-
U56,round2,0,0.75,BREADTH,0.4,0.25,W,0.12384598063499212,0.969038504841252,-0.1576804126500646,-0.1576804126500646,0.0,0.6992088756869251,0.7185580078390309,-0.019349132152105764,0.0,0.0,True,0.11025154404690207,1.1512603953320648,1.1586725194201601,1.14769819781051,1.0510848771713523,0.12122408173273413,1.230352393573428,-0.15768041265006483,1.133778334920555,0.11330252318906675,1.1895778164174544,False,True,-
U56,round2,0,0.75,BREADTH,0.4,0.5,D,0.1231704571042558,0.9384147714478721,-0.14188231996776113,-0.1576804126500646,0.015798092682303477,0.7674438723572886,0.7185580078390309,0.048885864518257716,0.5,1.5,False,0.10888671705509445,1.1958556378109935,1.1934912489526222,1.199726565293216,1.0826838858305536,0.11932384831533027,1.2868780928001649,-0.14188231996776124,1.133778334920555,0.11330252318906675,1.1895778164174544,False,True,-
U56,round2,0,0.75,BREADTH,0.4,0.5,W,0.12384598063499212,0.938077009682504,-0.1576804126500646,-0.1576804126500646,0.0,0.6790840910791447,0.7185580078390309,-0.03947391675988621,0.0,0.0,True,0.1070782597054536,1.156374333198356,1.1390466697322772,1.1749401508465673,1.0249976972987396,0.12029999882267983,1.259892152462139,-0.15768041265006483,1.133778334920555,0.11330252318906675,1.1895778164174544,False,True,-
U56,round2,0,0.75,BREADTH,0.4,1.0,D,0.1231704571042558,0.8768295428957442,-0.1407555071221116,-0.1576804126500646,0.016924905527953005,0.7377690389833419,0.7185580078390309,0.019211031144310997,1.0,3.0,False,0.10384505522109322,1.184977840689835,1.15846969275281,1.2108386567294425,1.040383395672524,0.11590060092521925,1.3023542941502033,-0.14075550712211204,1.133778334920555,0.11330252318906675,1.1895778164174544,False,False,CAGR
U56,round2,0,0.75,BREADTH,0.4,1.0,W,0.12384598063499212,0.8761540193650079,-0.1576804126500646,-0.1576804126500646,0.0,0.6365368218913544,0.7185580078390309,-0.08202118594767649,0.0,0.0,True,0.10036938874278944,1.1190035119996031,1.0505303654825997,1.1833548073993017,0.9254868616298185,0.11804861069552919,1.2711769174121597,-0.15768041265006494,1.133778334920555,0.11330252318906675,1.1895778164174544,False,False,CAGR
U56,round2,0,0.75,BREADTH,0.5,0.25,D,0.16730466111236209,0.9581738347219095,-0.14799196693007965,-0.1576804126500646,0.00968844571998495,0.7327340817283431,0.7185580078390309,0.01417607388931219,0.25,0.75,False,0.10843875799168323,1.1623002795877313,1.1728314021179613,1.1553281474288637,1.06305431137165,0.11869355770574352,1.2410991657558512,-0.14799196693007943,1.133778334920555,0.11330252318906675,1.1895778164174544,False,True,-
U56,round2,0,0.75,BREADTH,0.5,0.25,W,0.1729340238684981,0.9567664940328755,-0.16030612625382357,-0.1576804126500646,-0.0026257136037589612,0.6769858380661626,0.7185580078390309,-0.04157216977286826,0.25,0.5,False,0.10852497722908483,1.1557460414252845,1.1762430678514588,1.1401066025866469,1.0673569161006167,0.11813309184650556,1.2257327461028167,-0.1603061262538239,1.133778334920555,0.11330252318906675,1.1895778164174544,False,True,-
U56,round2,0,0.75,BREADTH,0.5,0.5,D,0.16730466111236209,0.916347669443819,-0.1384594245217443,-0.1576804126500646,0.019220988128320293,0.7467219928216062,0.7185580078390309,0.02816398498257533,0.5,1.5,False,0.10339069740380968,1.1731553686086242,1.162456207651156,1.1849758923454627,1.043922416080903,0.11515903912148384,1.276189966770688,-0.13845942452174442,1.133778334920555,0.11330252318906675,1.1895778164174544,False,False,CAGR
U56,round2,0,0.75,BREADTH,0.5,0.5,W,0.1729340238684981,0.913532988065751,-0.1629899934562189,-0.1576804126500646,-0.00530958080615429,0.635510987618727,0.7185580078390309,-0.08304702022030386,0.5,1.0,False,0.10358193171333152,1.1608316372969527,1.1707423030409454,1.154377623237365,1.0540977796217803,0.11406849251911289,1.2453886525590265,-0.162989993456219,1.133778334920555,0.11330252318906675,1.1895778164174544,False,False,CAGR
U56,round2,0,0.75,BREADTH,0.5,1.0,D,0.16730466111236209,0.8326953388876379,-0.13770548189522036,-0.1576804126500646,0.019974930754844245,0.6735699846127282,0.7185580078390309,-0.04498802322630269,1.0,3.0,False,0.09275427932125191,1.1128326383066438,1.0641924397995162,1.1592166258842023,0.9307298048477426,0.10745663950767526,1.2587477441896862,-0.11999040208208112,1.133778334920555,0.11330252318906675,1.1895778164174544,False,False,CAGR
