kind,key,stamp,arm,point,boot_mean,p5,p95,p_pos,p_sign_differs
rho,CAP,LATE,MA-RS,-0.12486032743536682,-0.10079804422867682,-0.4668300617992491,0.27049321307798396,0.345,
rho,CAP,LATE,MA-DG,-0.1987623599849584,-0.1559016201789069,-0.5754644926265292,0.2720791559130443,0.301,
rho,CAP,EARLY,MA-RS,0.4804297392980664,0.430236954006845,0.03279431420733698,0.7925229429080723,0.964,
rho,CAP,EARLY,MA-DG,0.6557664421519246,0.5525598309906904,0.08541173399951286,0.8745672113681559,0.981,
rho,CAP,DYN,MA-RS,0.6770588525443504,0.5279439370966214,0.09311212815263749,0.8005536980247072,0.972,
rho,CAP,DYN,MA-DG,0.37565247057652973,0.29108892932491026,-0.24413868502257208,0.6896931204015827,0.829,
rho,ADV,LATE,MA-RS,0.1592268442710099,0.141241996306241,-0.23315561061356482,0.5383517937352764,0.708,
rho,ADV,LATE,MA-DG,-0.07378123103814588,-0.04389853905767774,-0.4619876361892184,0.4100512128523509,0.423,
rho,ADV,EARLY,MA-RS,0.26634247081025986,0.23173751671238438,-0.07571192184089372,0.5102205168518905,0.898,
rho,ADV,EARLY,MA-DG,0.4364792308371741,0.30467918668917243,-0.24171608217858334,0.6950626139974788,0.838,
rho,ADV,DYN,MA-RS,0.3351251038195572,0.2802800577058455,-0.09518168262528325,0.5311155794457275,0.916,
rho,ADV,DYN,MA-DG,0.11261630849856785,0.09117263926731085,-0.38420651376856785,0.5066592908689592,0.643,
gap,CAP,EARLY,MA-RS,,0.5310349982355218,0.05639648584527253,1.0026357516114974,0.971,0.627
gap,CAP,DYN,MA-RS,,0.628741981325298,0.2269754114854808,1.050579975828469,0.988,0.627
gap,ADV,LATE,MA-RS,,0.24204004053491787,-0.018568243493933847,0.5387610349792712,0.922,0.377
gap,ADV,EARLY,MA-RS,,0.3325355609410612,0.018154645078467424,0.6826028684767723,0.959,0.567
gap,ADV,DYN,MA-RS,,0.38107810193452235,-0.016248170485750647,0.7275022417731758,0.942,0.579
gap,CAP,EARLY,MA-DG,,0.7084614511695974,0.27811648769414227,1.1178772243437758,0.993,0.682
gap,CAP,DYN,MA-DG,,0.44699054950381717,-0.004295913663702705,0.9304702817393522,0.947,0.542
gap,ADV,LATE,MA-DG,,0.11200308112122917,-0.14480116488335767,0.40116262775577755,0.741,0.188
gap,ADV,EARLY,MA-DG,,0.46058080686807934,0.003691082408551965,0.9418350864480923,0.953,0.551
gap,ADV,DYN,MA-DG,,0.24707425944621775,-0.1807631278587634,0.6946580917089497,0.82,0.4
