ctrl,est,k,q,book,char,n,value,t,raw_rho,controls,is284cell
REC,RANKPART,20,0.25,CAND10,breadth,60,-0.04360787509854743,-0.32371259730687213,-0.12825784940261184,disp+corr+evol,False
REC,RANKPART,20,0.25,CAND10,disp,60,-0.08015464162504872,-0.5963615608376166,0.25984995832175606,breadth+corr+evol,False
REC,RANKPART,20,0.25,CAND10,corr,60,-0.39334636863425326,-3.1729011641888762,-0.4593498193942764,breadth+disp+evol,False
REC,RANKPART,20,0.25,CAND10,evol,60,0.07942816262246682,0.5909219827802936,0.221561544873576,breadth+disp+corr,False
REC,RANKPART,20,0.25,CAND20,breadth,60,0.009563824505407293,0.07093046479119151,-0.0755209780494581,disp+corr+evol,False
REC,RANKPART,20,0.25,CAND20,disp,60,-0.05456307128567442,-0.4052542634347286,0.2510697415948873,breadth+corr+evol,False
REC,RANKPART,20,0.25,CAND20,corr,60,-0.38705423887207474,-3.113116891094,-0.4494581828285635,breadth+disp+evol,False
REC,RANKPART,20,0.25,CAND20,evol,60,0.042437684888584105,0.31501008211826326,0.1896082245068073,breadth+disp+corr,False
REC,RANKPART,20,0.25,EWall,breadth,60,-0.0037046047996857146,-0.02747427304115367,-0.08824673520422335,disp+corr+evol,False
REC,RANKPART,20,0.25,EWall,disp,60,-0.04802697737581755,-0.3565890868860676,0.2597943873298137,breadth+corr+evol,False
REC,RANKPART,20,0.25,EWall,corr,60,-0.38021969439823816,-3.048758030422879,-0.4495137538205056,breadth+disp+evol,False
REC,RANKPART,20,0.25,EWall,evol,60,0.04496718829045779,0.33382326789273514,0.19905529313698245,breadth+disp+corr,False
REC,RANKPART,20,0.5,CAND10,breadth,60,0.15605775327336568,1.1717111582319568,0.10997652094032909,disp+corr+evol,False
REC,RANKPART,20,0.5,CAND10,disp,60,-0.18097132869706486,-1.3646519186925712,0.25884968046679624,breadth+corr+evol,False
REC,RANKPART,20,0.5,CAND10,corr,60,-0.214653268382101,-1.6299037855794118,-0.2550708530147262,breadth+disp+evol,False
REC,RANKPART,20,0.5,CAND10,evol,60,0.32728017620770733,2.5686363739411524,0.3579883300916922,breadth+disp+corr,False
REC,RANKPART,20,0.5,CAND20,breadth,60,0.12051680748170131,0.9003388770942992,0.0795231942726685,disp+corr+evol,False
REC,RANKPART,20,0.5,CAND20,disp,60,-0.1903102323274802,-1.4376530008973185,0.2272853570436232,breadth+corr+evol,False
REC,RANKPART,20,0.5,CAND20,corr,60,-0.26074926043797003,-2.00306104589786,-0.28357877188107805,breadth+disp+evol,False
