panel,stat,k,n_subsets,n_fire,share_fire,floor_min,floor_max,bar,count_determines
U56,S_IS,1,9,9,1.0,0.997642180194771,1.2465742147599201,0.8988613338604721,True
U56,S_IS,2,36,36,1.0,0.997642180194771,1.1747438889478332,0.8988613338604721,True
U56,S_IS,3,84,84,1.0,0.997642180194771,1.132155700171334,0.8988613338604721,True
U56,S_IS,4,126,126,1.0,0.997642180194771,1.1190446826095897,0.8988613338604721,True
U56,S_IS,5,126,126,1.0,0.997642180194771,1.1178208341203901,0.8988613338604721,True
U56,S_IS,6,84,84,1.0,0.997642180194771,1.1157639886864141,0.8988613338604721,True
U56,S_IS,7,36,36,1.0,0.997642180194771,1.042652644255919,0.8988613338604721,True
U56,S_IS,8,9,9,1.0,0.997642180194771,1.038486159652789,0.8988613338604721,True
U56,S_IS,9,1,1,1.0,0.997642180194771,0.997642180194771,0.8988613338604721,True
U56,S_OOS,1,9,9,1.0,1.0530445140025766,1.1968670347321877,0.8747033226162612,True
U56,S_OOS,2,36,36,1.0,1.0530445140025766,1.1837077949969443,0.8747033226162612,True
U56,S_OOS,3,84,84,1.0,1.0530445140025766,1.1831862943616596,0.8747033226162612,True
U56,S_OOS,4,126,126,1.0,1.0530445140025766,1.1656218174069388,0.8747033226162612,True
U56,S_OOS,5,126,126,1.0,1.0530445140025766,1.1306277492224373,0.8747033226162612,True
U56,S_OOS,6,84,84,1.0,1.0530445140025766,1.10786771047321,0.8747033226162612,True
U56,S_OOS,7,36,36,1.0,1.0530445140025766,1.0898384157754941,0.8747033226162612,True
U56,S_OOS,8,9,9,1.0,1.0530445140025766,1.0720361956217832,0.8747033226162612,True
U56,S_OOS,9,1,1,1.0,1.0530445140025766,1.0530445140025766,0.8747033226162612,True
U56,S_FULL,1,9,9,1.0,1.063993658862333,1.1670107370849376,0.8849225790643692,True
U56,S_FULL,2,36,36,1.0,1.063993658862333,1.152200994598872,0.8849225790643692,True
U56,S_FULL,3,84,84,1.0,1.063993658862333,1.1231704270134937,0.8849225790643692,True
U56,S_FULL,4,126,126,1.0,1.063993658862333,1.1203636367540135,0.8849225790643692,True
U56,S_FULL,5,126,126,1.0,1.063993658862333,1.111739117873682,0.8849225790643692,True
U56,S_FULL,6,84,84,1.0,1.063993658862333,1.108346743835367,0.8849225790643692,True
U56,S_FULL,7,36,36,1.0,1.063993658862333,1.1070370093353132,0.8849225790643692,True
U56,S_FULL,8,9,9,1.0,1.063993658862333,1.1032824164736832,0.8849225790643692,True
U56,S_FULL,9,1,1,1.0,1.063993658862333,1.063993658862333,0.8849225790643692,True
U56,S_DD,1,9,4,0.4444444444444444,-0.2553328701844375,-0.18461776158756316,-0.20230360625077404,False
U56,S_DD,2,36,6,0.16666666666666666,-0.2553328701844375,-0.19127563591226449,-0.20230360625077404,False
