panel,N,control,delta,lifted_rung,n_rungs,obs_argmax,modal_rung,modal_share,p_obs_argmax,cset_size,cset_lo,cset_hi,cset_span_days,obs_spread,obs_gap_top2,se_gap,se_gap_unpaired,pairing_gain,gap_over_se,resolved
U56,5,CTRL_CORR,0.0,63,16,76,126,0.1375,0.0495,14,21,126,105,6.661338147750939e-15,6.661338147750939e-16,0.1212458357021616,0.2664899300761675,2.1979305807318252,5.494075824685977e-15,False
U56,5,CTRL_CORR,0.05,63,16,63,63,0.152,0.152,13,21,126,105,0.050000000000003375,0.049999999999996714,0.12074174056028035,0.27089222937552415,2.2435673704760046,0.41410700034619924,False
U56,5,CTRL_CORR,0.1,63,16,63,63,0.302,0.302,13,21,126,105,0.10000000000000342,0.09999999999999676,0.12141440223352107,0.2719232503004258,2.2396292803667985,0.8236255185580278,False
U56,5,CTRL_CORR,0.2,63,16,63,63,0.698,0.698,8,21,126,105,0.20000000000000395,0.1999999999999973,0.1229260873033954,0.27405318798978645,2.2294143904002444,1.6269939472357469,False
U56,5,CTRL_CORR,0.3,63,16,63,63,0.9335,0.9335,1,63,63,0,0.3000000000000036,0.29999999999999694,0.12465273985433759,0.27627189937497243,2.216332346146653,2.4066859689611366,True
U56,5,CTRL_CORR,0.6,63,16,63,63,1.0,1.0,1,63,63,0,0.6000000000000039,0.5999999999999972,0.1310322626471868,0.2834394123190324,2.16312690167163,4.579024950637827,True
U56,5,CTRL_CORR,1.0,63,16,63,63,1.0,1.0,1,63,63,0,1.000000000000004,0.9999999999999973,0.14197870496916,0.2941097056537081,2.0715057636114746,7.043309771118231,True
U56,5,CTRL_INDEP,0.0,63,16,76,76,0.3695,0.3695,7,21,126,105,0.6031073578521916,0.11851607180737478,0.28511725953566325,0.30836930821138475,1.0815525819572949,0.41567484199444077,False
U56,5,CTRL_INDEP,0.05,63,16,76,76,0.366,0.366,7,21,126,105,0.6031073578521916,0.11851607180737478,0.28511725953566325,0.30836930821138475,1.0815525819572949,0.41567484199444077,False
U56,5,CTRL_INDEP,0.1,63,16,76,76,0.3585,0.3585,7,21,126,105,0.6031073578521916,0.11851607180737478,0.28511725953566325,0.30836930821138475,1.0815525819572949,0.41567484199444077,False
U56,5,CTRL_INDEP,0.2,63,16,76,76,0.335,0.335,7,21,126,105,0.6031073578521916,0.11851607180737478,0.28511725953566325,0.30836930821138475,1.0815525819572949,0.41567484199444077,False
U56,5,CTRL_INDEP,0.3,63,16,76,76,0.31,0.31,6,21,115,94,0.6031073578521916,0.050625508084363835,0.3140365286143174,0.3195063362212853,1.017417743187722,0.16120897880176013,False
U56,5,CTRL_INDEP,0.6,63,16,63,63,0.613,0.613,5,21,115,94,0.839215316198134,0.23610795834594245,0.32112680116928566,0.3272237305065483,1.018986049482829,0.7352483738081875,False
