leg,basis,pair,char,k,n,slope,icept,R2,sd_resid,spearman
sym_ladder,FULL,BS,momac,12,3,-0.24412573520687847,-1.691040049568649,0.3987634221875693,0.05276018594936959,-0.5
sym_ladder,FULL,BS,momac,24,3,0.15381363946345755,-2.3616068750750077,0.8705292910071762,0.010440387803358436,1.0
sym_ladder,FULL,BS,tpers,12,3,-0.44941872891068707,-2.062084821122291,0.6955840146655414,0.052353762247311114,-0.5
sym_ladder,FULL,BS,tpers,24,3,-0.4866903716536506,-1.9815229495660154,0.33196226264931417,0.12157567609159967,-0.5
sym_ladder,FULL,BS,tpers,36,3,-0.025752767271843217,-2.8187758505953977,0.0023649257131832524,0.09314055144847082,-0.5
sym_ladder,FULL,SS,momac,12,6,0.024723128775126595,-2.4187553062002976,0.011361981647745156,0.07840503225739416,-0.08571428571428573
sym_ladder,FULL,SS,momac,24,6,-0.16243977204067342,-2.1282849919104003,0.5160124897846834,0.05348453651391878,-0.7714285714285715
sym_ladder,FULL,SS,momac,36,6,-0.3416351951611474,-1.7534690687331516,0.2045989011816025,0.22867854260134113,-0.4285714285714286
sym_ladder,FULL,SS,momac,48,5,0.008581943973194289,-2.5333623441099506,0.0052729231277763855,0.0341571734260761,0.09999999999999999
sym_ladder,FULL,SS,tpers,12,6,-0.2388367498279398,-2.579779171192783,0.7084756754940522,0.05187314114585573,-0.8285714285714287
sym_ladder,FULL,SS,tpers,24,6,-0.20780658536422328,-2.699358960948414,0.4997207262599461,0.07039930117653988,-0.8285714285714287
sym_ladder,FULL,SS,tpers,36,6,-0.09608482064621986,-2.956974955422742,0.19885314048941205,0.06529968583544037,-0.3714285714285715
sym_ladder,FULL,SS,tpers,48,5,-0.46294556876273096,-2.1655468362073855,0.9495393091535983,0.03086819107575848,-0.9999999999999999
sym_ladder,SUB,BS,momac,12,3,0.005220275039315194,-2.178546193089761,0.00035623039563148495,0.04867189368977109,0.5
sym_ladder,SUB,BS,momac,24,3,0.0872090117719281,-2.269612253969553,0.3942446402574459,0.019026320687826156,0.5
sym_ladder,SUB,BS,tpers,12,3,-0.2043471481182627,-2.564356087371539,0.5115678928771659,0.035160645728427246,-0.5
sym_ladder,SUB,BS,tpers,24,3,-0.055385387885278886,-2.7894694958230395,0.02817297236780858,0.05728107399148486,-0.5
sym_ladder,SUB,BS,tpers,36,3,-0.2452285749972897,-2.441339206566036,0.3795107939399749,0.055215870377845463,-0.5
sym_ladder,SUB,SS,momac,12,6,-0.042777850582996574,-2.2884961610392773,0.02142039684667363,0.09829969663028021,-0.028571428571428574
sym_ladder,SUB,SS,momac,24,6,-0.2063580834397592,-2.083008125187354,0.4129298820925533,0.08365217014098751,-0.48571428571428577
sym_ladder,SUB,SS,momac,36,6,-0.3126333865430456,-1.8523297039686952,0.19037974390694612,0.2179327876678352,-0.2571428571428572
sym_ladder,SUB,SS,momac,48,5,0.19189244244391818,-2.9678900397217243,0.40735521968251365,0.06707156804356283,0.7
sym_ladder,SUB,SS,tpers,12,6,-0.13254677423434943,-2.7743570950819816,0.7874075954468429,0.023318988210465883,-0.8857142857142858
sym_ladder,SUB,SS,tpers,24,6,-0.262943858307728,-2.584080876890037,0.7936296978059244,0.045398775974273595,-0.942857142857143
sym_ladder,SUB,SS,tpers,36,6,-0.15175325798914382,-2.8319384086823423,0.2830471725317939,0.08177496595541908,-0.5428571428571429
sym_ladder,SUB,SS,tpers,48,5,-0.3805243332370075,-2.37416481594828,0.8817484404005674,0.04030645924109841,-0.9999999999999999
