COST_BPS,picks,move_rate,DELTA,SE,t
0.0,168,0.6130952380952381,0.015715061843931687,0.030347030698002785,0.5178451229815356
10.0,168,0.5833333333333334,0.021301217528903207,0.028246482629319364,0.7541192936635909
25.0,168,0.5416666666666666,0.01593847320931079,0.025884361821278134,0.6157568542489091
50.0,168,0.5595238095238095,0.005232343490479867,0.02541331438046506,0.20588985018427636
