panel,family,rung,path,comparand,passes,shipped,margin_Sharpe,boot21_SE,boot21_margin_over_SE,boot21_P_margin_le_0,boot63_SE,boot63_margin_over_SE,boot63_P_margin_le_0
U56,F1_n_RULESv1,5.0,4a,RULESv2,False,True,-0.5457744032200378,0.16650057779543664,-3.277912968509807,1.0,0.15752473488869917,-3.4646901872627223,1.0
U56,F1_n_RULESv1,5.0,4b,SPY,False,True,-0.2298601748347937,0.20803222669505445,-1.1049258015765793,0.87,0.18087425316612893,-1.2708286050180526,0.8975
U56,F2_gross_RULESv2,0.75,4a,RULESv2,False,True,0.0,0.0,,1.0,0.0,,1.0
U56,F2_gross_RULESv2,0.75,4b,SPY,False,True,0.3159142283852441,0.1359309669409541,2.324078431094155,0.015,0.11305796497727398,2.794267776257486,0.005
U56,F2_gross_RULESv2,1.0,4b,SPY,True,False,0.31574338646676225,0.1357287798699513,2.3262817714068613,0.015,0.11292570021063211,2.7960277056314817,0.005
U56,F3_band_RULESv2,0.03,4a,RULESv2,False,True,0.0,0.0,,1.0,0.0,,1.0
U56,F3_band_RULESv2,0.03,4b,SPY,False,True,0.3159142283852441,0.1359309669409541,2.324078431094155,0.015,0.11305796497727398,2.794267776257486,0.005
B136,F1_n_RULESv1,5.0,4a,RULESv2,False,True,-0.4678281121156087,0.18170578195844103,-2.57464626096823,0.995,0.1842921708508617,-2.538513220370052,0.9975
B136,F1_n_RULESv1,5.0,4b,SPY,False,True,-0.2549831044564612,0.21640793365262948,-1.1782521100439471,0.8975,0.19636075481211307,-1.2985441245652203,0.91
B136,F2_gross_RULESv2,0.75,4a,RULESv2,False,True,0.0,0.0,,1.0,0.0,,1.0
B136,F2_gross_RULESv2,0.75,4b,SPY,False,True,0.2128450076591475,0.12509067265016796,1.7015258064395875,0.06,0.10153262718963967,2.0963212865712793,0.025
B136,F2_gross_RULESv2,1.0,4b,SPY,True,False,0.2127550944267229,0.12495522356886946,1.7026506643754855,0.06,0.10142110872080694,2.0977397812954037,0.025
B136,F3_band_RULESv2,0.02254,4a,RULESv2,True,False,0.013441264931743468,0.008509465233899427,1.5795663490341407,0.045,0.008070027725809186,1.6655785318749579,0.055
B136,F3_band_RULESv2,0.02581,4a,RULESv2,True,False,0.009758016287706894,0.005908827934578975,1.651430096754406,0.0625,0.0060004113215454844,1.6262245644176256,0.07
B136,F3_band_RULESv2,0.03,4a,RULESv2,False,True,0.0,0.0,,1.0,0.0,,1.0
B136,F3_band_RULESv2,0.03,4b,SPY,False,True,0.2128450076591475,0.12509067265016796,1.7015258064395875,0.06,0.10153262718963967,2.0963212865712793,0.025
