panel,arm,dial,bps,turn,names,keep4a,keep4b,first_fail,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe
U56,NT,0.0,0,10.996244092602641,19.10745663437711,False,True,,0.14034814475179003,1.1550935984443078,-0.1822003619415382,1.164554484570374,1.1544363444434362,0.1573376597525562,1.218588771085467,-0.1822003619415381,1.0729399129541783
U56,NT,0.0,10,10.996244092602641,19.10745663437711,False,True,,0.12788458697149974,1.0635392242670008,-0.18308348697878107,1.0681688586356108,1.0663899991214876,0.14453585654383216,1.1306969416161394,-0.1830834869787813,0.9759401521429143
U56,NT,0.0,25,10.996244092602641,19.10745663437711,False,False,H1,0.10943762843851523,0.9258519118821691,-0.18440712200737264,0.9231772688851755,0.9340026251423675,0.12559120208679553,0.9985108040321351,-0.18440712200737253,0.8300711586462184
U56,NT,5.0,0,7.220757136573593,19.10745663437711,False,True,,0.1381841856672017,1.1477134977355425,-0.1739532759905844,1.1470054882953757,1.1549090482747453,0.15679624821425509,1.2268123830655235,-0.1739532759905843,1.0442640022704732
U56,NT,5.0,10,7.220757136573593,19.10745663437711,False,True,,0.1300002019705473,1.0871063829380787,-0.17464298149901003,1.084848958572603,1.0952681771851724,0.1483805461580472,1.1685471078893237,-0.17464298149901014,0.980218894755016
U56,NT,5.0,25,7.220757136573593,19.10745663437711,False,True,,0.11783033164185008,0.9959483833510898,-0.17567729897322004,0.9913759200340995,1.0055522078959525,0.13586712151161695,1.080879380358537,-0.17567729897321993,0.8839360694673849
U56,NT,10.0,0,6.12613758511125,19.10745663437711,False,True,,0.13673129081573898,1.140067254207861,-0.17416867992295015,1.157905805689082,1.1318669359795404,0.15418199339320315,1.2094880004127646,-0.17416867992295004,1.0497172984753476
U56,NT,10.0,10,6.12613758511125,19.10745663437711,False,True,,0.12979127396372325,1.0883768963614435,-0.17479942803909532,1.1057372822445188,1.0802543413806316,0.14693040292862292,1.1590821206977804,-0.1747994280390952,0.9960351187328537
U56,NT,10.0,25,6.12613758511125,19.10745663437711,False,True,,0.11945706198317252,1.010642314055549,-0.17574533213089027,1.0273094708744694,1.0026193427216383,0.13613431920535457,1.0832452245089053,-0.17574533213089039,0.9153551896554168
U56,NT,20.0,0,5.264804894861113,19.10745663437711,False,True,,0.13463436239588944,1.1575211897145463,-0.17157929921234194,1.1888390169317393,1.1402662370232735,0.1530784402420149,1.2320736365982308,-0.17157929921234194,1.0600753031273011
U56,NT,20.0,10,5.264804894861113,19.10745663437711,False,True,,0.12867784657519143,1.1115921870079182,-0.17221713376542136,1.1438000672369368,1.0932334843689966,0.14674506044827407,1.1867336821065984,-0.17221713376542125,1.0130794596101396
U56,NT,20.0,25,5.264804894861113,19.10745663437711,False,True,,0.11979844698374054,1.0425033399521662,-0.17317352452166968,1.07606223172976,1.0224784238646272,0.13730649650448368,1.1185047413519618,-0.17317352452166956,0.9424247252444827
U56,NT,40.0,0,5.06915854563749,19.10745663437711,False,True,,0.1330404862180845,1.1723569275954435,-0.15206343884380946,1.2277578494771597,1.1355047444394462,0.14943832860238904,1.2337251993210463,-0.15206343884380924,1.0933164841717637
U56,NT,40.0,10,5.06915854563749,19.10745663437711,False,True,,0.12731247324373518,1.1269451298783497,-0.1527216330530876,1.182843064461443,1.089298014715053,0.14338786227144307,1.189189679341302,-0.15272163305308772,1.0464303068697058
U56,NT,40.0,25,5.06915854563749,19.10745663437711,False,True,,0.11877153563144871,1.0586227460186752,-0.16162928918746022,1.1152880869607122,1.019769366199501,0.13436821287152223,1.1221528370792788,-0.1616292891874591,0.9759400735824648
U56,MAB,0.0,0,10.996244092602641,19.10745663437711,False,True,,0.14034814475179003,1.1550935984443078,-0.1822003619415382,1.164554484570374,1.1544363444434362,0.1573376597525562,1.218588771085467,-0.1822003619415381,1.0729399129541783
