cost_bps,book,gross,joint4b
0.0,CAP2,0.4,False
0.0,CAP2,0.55,False
0.0,CAP2,0.7,True
0.0,CAP2,0.75,True
0.0,CAP2,0.85,True
0.0,CAP2,1.0,False
0.0,CAND,0.4,False
0.0,CAND,0.55,False
0.0,CAND,0.7,True
0.0,CAND,0.75,True
0.0,CAND,0.85,False
0.0,CAND,1.0,False
10.0,CAP2,0.4,False
10.0,CAP2,0.55,False
10.0,CAP2,0.7,True
10.0,CAP2,0.75,True
10.0,CAP2,0.85,True
10.0,CAP2,1.0,False
10.0,CAND,0.4,False
10.0,CAND,0.55,False
10.0,CAND,0.7,True
10.0,CAND,0.75,True
10.0,CAND,0.85,False
10.0,CAND,1.0,False
25.0,CAP2,0.4,False
25.0,CAP2,0.55,False
25.0,CAP2,0.7,False
25.0,CAP2,0.75,True
25.0,CAP2,0.85,True
25.0,CAP2,1.0,False
25.0,CAND,0.4,False
25.0,CAND,0.55,False
25.0,CAND,0.7,False
25.0,CAND,0.75,True
25.0,CAND,0.85,False
25.0,CAND,1.0,False
50.0,CAP2,0.4,False
50.0,CAP2,0.55,False
50.0,CAP2,0.7,False
50.0,CAP2,0.75,False
50.0,CAP2,0.85,False
50.0,CAP2,1.0,False
50.0,CAND,0.4,False
50.0,CAND,0.55,False
50.0,CAND,0.7,False
50.0,CAND,0.75,False
50.0,CAND,0.85,False
50.0,CAND,1.0,False
