file,line,gap,K,how,verdict,x_min,K_req,resolved,text
LEADERBOARD.md,28,0.004,21,OF,True,0.051331069757168474,3458.2783231700746,False,"et**, its OOS CAGR **14.38% < SPY's 15.27%**, and its OOS Sharpe beats the live book by **0.004** against a 21-offset calendar spread of **0.222**. Memo: `2026-09-15_u56-top20-g065"
LEADERBOARD.md,57,0.0415,360,WORD,True,0.012397631177267651,32.12800300230582,True,"0 picks, all reported**) | OOS CAGR pp K_CAGR 12.99 vs K_Sharpe 11.56 | OOS Sharpe gap **+0.0415 (S0, t 3.34)** / +0.0131 (S1) / +0.0169 (S2) | OOS MaxDD K_CAGR **−24.50 pp**, the"
LEADERBOARD.md,89,0.1439,6,OF,True,0.09603163816395895,2.6721346415437526,True,"IN EVERY ARM: the IS pick beats its own cap-OFF control OOS in 0/6**, mean OOS regret **+0.1439**. The IS pick IS the cap-OFF book in 3/6 arms and the OOS-best clause is the cap-O"
LEADERBOARD.md,95,0.0546,36,WORD,True,0.0392047521108805,18.560712330341612,True,CHOOSER 10.85% (u56@10bps) | pooled OOS Sharpe **CHOOSER 0.8214 / ABSTAIN@0.013 0.7668 (-0.0546) / INCUMBENT 0.7138 (-0.1077) / LADDER-MEAN 0.7666 / ORACLE 0.8520** | CHOOSER u56@
LEADERBOARD.md,95,0.1077,36,WORD,True,0.0392047521108805,4.770331043600186,True,pooled OOS Sharpe **CHOOSER 0.8214 / ABSTAIN@0.013 0.7668 (-0.0546) / INCUMBENT 0.7138 (-0.1077) / LADDER-MEAN 0.7666 / ORACLE 0.8520** | CHOOSER u56@10bps -15.13% | per-cell d vs
LEADERBOARD.md,103,0.0547,21,OF,True,0.051331069757168474,18.492910698114432,True,"dCAGR @10 bps n=20 g=1.00: U56 +2.18 pp / B136 +2.12 pp / SMALL484 +10.21 pp | dSharpe **+0.0547 / +0.0342 / +0.2657**, positive in **21 of 21** (panel x rung), mean +0.1294 | **dM"
LEADERBOARD.md,103,0.0342,21,OF,True,0.051331069757168474,47.30725109497042,False,"bps n=20 g=1.00: U56 +2.18 pp / B136 +2.12 pp / SMALL484 +10.21 pp | dSharpe **+0.0547 / +0.0342 / +0.2657**, positive in **21 of 21** (panel x rung), mean +0.1294 | **dMaxDD worse"
LEADERBOARD.md,103,0.2657,21,OF,True,0.051331069757168474,0.7837847628220781,True,"=1.00: U56 +2.18 pp / B136 +2.12 pp / SMALL484 +10.21 pp | dSharpe **+0.0547 / +0.0342 / +0.2657**, positive in **21 of 21** (panel x rung), mean +0.1294 | **dMaxDD worse in 21 of"
LEADERBOARD.md,143,0.0216,135,OF,True,0.020245246935684035,118.59665031447443,True,"e 0/8.** Chooser beats own anchor 54-60/135, SPY 81/135, RULES v2 **3/135**; mean regret +0.0216 / +0.0157. CADENCE's lone closure clears by 0.53 pp. **CONC is the best closer and"
LEADERBOARD.md,143,0.0157,135,OF,True,0.020245246935684035,224.48153341198915,False,"hooser beats own anchor 54-60/135, SPY 81/135, RULES v2 **3/135**; mean regret +0.0216 / +0.0157. CADENCE's lone closure clears by 0.53 pp. **CONC is the best closer and the WORST"
LEADERBOARD.md,143,0.041,135,OF,True,0.020245246935684035,32.91639094034574,True,by 0.53 pp. **CONC is the best closer and the WORST OOS Sharpe with the largest regret (+0.041/+0.050).** | PARK | 2026-09-07_is-the-CAGR-floor-only-ever-closable-by-the-GROSS-dia
LEADERBOARD.md,143,0.05,135,OF,True,0.020245246935684035,22.13298126828848,True,3 pp. **CONC is the best closer and the WORST OOS Sharpe with the largest regret (+0.041/+0.050).** | PARK | 2026-09-07_is-the-CAGR-floor-only-ever-closable-by-the-GROSS-dial_C.py
LEADERBOARD.md,207,0.085,12,OF,False,0.06790462255418822,7.658471027089438,True,"OS 1.0389; SPY OOS 0.882 | **Chooser loses 12 of 12**: mean OOS Sharpe 0.9539 vs 1.0389 (-0.0850), mean regret 0.0867. It NEVER picks the live t=0.50 (picks t=0.00 x9, t=0.25 x3)."
LEADERBOARD.md,1711,0.489,18,OF,False,0.055443892144682434,0.23139938847161565,True,"ment selector | n/a | n/a | n/a | n/a | SPY OOS 0.882 | **Stier WORSE**: mean OOS regret +0.489 vs S1 +0.337, rank-1 4/18 vs 8/18, dOOS Sharpe +0.007. Also: no rule tier beats the"
