panel,conv,chooser,c,G,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,base_OOS_CAGR,base_OOS_Sharpe,base_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,beats_base_OOS,beats_spy_OOS,pass4a_FULL,pass4b_FULL,pass4b_OOS
U56,MIXED,C_SHARPE,0.1,1.0,1.145713283345327,0.121440386476652,1.1937557203452116,-0.1629533796687963,0.09455179369762767,1.276620821629499,-0.12054956914840886,0.1525745335844091,0.8736611364726746,-0.33717289200673783,False,True,False,True,True
U56,MIXED,C_4B,0.1,1.0,1.145713283345327,0.121440386476652,1.1937557203452116,-0.1629533796687963,0.09455179369762767,1.276620821629499,-0.12054956914840886,0.1525745335844091,0.8736611364726746,-0.33717289200673783,False,True,False,True,True
U56,SAME,C_SHARPE,0.1,1.0,1.1773674904728626,0.1959510873120789,1.2523114585011623,-0.2381073865518778,0.09455179369762767,1.276620821629499,-0.12054956914840886,0.1525745335844091,0.8736611364726746,-0.33717289200673783,False,True,False,False,False
U56,SAME,C_4B,0.1,0.75,1.1767254148500268,0.14600680423965273,1.252730623735468,-0.18249736950846251,0.09455179369762767,1.276620821629499,-0.12054956914840886,0.1525745335844091,0.8736611364726746,-0.33717289200673783,False,True,False,True,True
B136,MIXED,C_SHARPE,0.1,1.0,1.1470125468393566,0.1101778207657702,1.087314814735454,-0.19196215352765655,0.0784728360555127,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,True,False,True,True
B136,MIXED,C_4B,0.1,1.0,1.1470125468393566,0.1101778207657702,1.087314814735454,-0.19196215352765655,0.0784728360555127,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,True,False,True,True
B136,SAME,C_SHARPE,0.1,1.0,1.1587334145869244,0.17514599930528796,1.130120388669439,-0.264018542076904,0.0784728360555127,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,True,False,False,False
B136,SAME,C_4B,0.1,0.75,1.1571394887728628,0.13102835035429639,1.1311842134138133,-0.20291441234525587,0.0784728360555127,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,True,False,False,False
SMALL,MIXED,C_SHARPE,0.08,1.0,0.9658483413856638,0.06068639322429714,0.6600082344215992,-0.18997575525279498,0.044142357735165394,0.647208982462138,-0.12480015905893527,0.1525745335844091,0.8736611364726746,-0.33717289200673783,True,False,False,False,False
SMALL,MIXED,C_4B,0.08,1.0,0.9658483413856638,0.06068639322429714,0.6600082344215992,-0.18997575525279498,0.044142357735165394,0.647208982462138,-0.12480015905893527,0.1525745335844091,0.8736611364726746,-0.33717289200673783,True,False,False,False,False
SMALL,SAME,C_SHARPE,0.1,1.0,0.9216648271328244,0.13624565343731598,0.7492450250624898,-0.4453125536195792,0.044142357735165394,0.647208982462138,-0.12480015905893527,0.1525745335844091,0.8736611364726746,-0.33717289200673783,True,False,False,False,False
SMALL,SAME,C_4B,0.1,1.0,0.9216648271328244,0.13624565343731598,0.7492450250624898,-0.4453125536195792,0.044142357735165394,0.647208982462138,-0.12480015905893527,0.1525745335844091,0.8736611364726746,-0.33717289200673783,True,False,False,False,False
