fam,tol,N,COPY,ROUND,UNIT,WINDOW,BOOK,copy_sh,round_sh,unit_sh,win_sh,book_sh,d_p50,d_p90,d_max,tolname
M1_CORE,0.0,292278,144629,147368,0,281,0,0.4948336857375512,0.5042049008136089,0.0,0.0009614134488398032,0.0,6.938893903907228e-18,7.979727989493313e-17,0.004792525958236871,EXACT
M1_CORE,1e-06,292278,290410,1589,0,279,0,0.9936088244753283,0.005436604876179528,0.0,0.000954570648492189,0.0,6.938893903907228e-18,7.979727989493313e-17,0.004792525958236871,1e-06
M1_CORE,0.0001,292278,290846,1213,0,219,0,0.9951005549511082,0.004150158410828047,0.0,0.0007492866380637612,0.0,6.938893903907228e-18,7.979727989493313e-17,0.004792525958236871,1e-04
M1_CORE,0.001,292278,291905,373,0,0,0,0.9987238177351699,0.001276182264830059,0.0,0.0,0.0,6.938893903907228e-18,7.979727989493313e-17,0.004792525958236871,1e-03
M1_CORE,0.01,292278,292278,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,7.979727989493313e-17,0.004792525958236871,1e-02
M1_CORE,0.05,292278,292278,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,7.979727989493313e-17,0.004792525958236871,5e-02
M2_SHAPE,0.0,486426,299131,187012,0,283,0,0.614956848523722,0.384461356917599,0.0,0.0005817945586790179,0.0,0.0,8.326672684688674e-17,0.005002139363110114,EXACT
M2_SHAPE,1e-06,486426,483310,2835,0,281,0,0.9935940924210466,0.00582822464259723,0.0,0.000577682936356198,0.0,0.0,8.326672684688674e-17,0.005002139363110114,1e-06
M2_SHAPE,0.0001,486426,483782,2423,0,221,0,0.9945644352892321,0.004981230444096327,0.0,0.00045433426667160063,0.0,0.0,8.326672684688674e-17,0.005002139363110114,1e-04
M2_SHAPE,0.001,486426,485210,1214,0,2,0,0.9975001336277255,0.0024957547499516886,0.0,4.111622322819915e-06,0.0,0.0,8.326672684688674e-17,0.005002139363110114,1e-03
M2_SHAPE,0.01,486426,486426,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17,0.005002139363110114,1e-02
M2_SHAPE,0.05,486426,486426,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17,0.005002139363110114,5e-02
M3_ALL,0.0,1399337,612236,757790,23,27561,1727,0.4375186248916451,0.5415350269449032,1.643635521679195e-05,0.01969575591869578,0.0012341558895391175,2.7755575615628914e-17,8.326672684688674e-17,0.7450798188926763,EXACT
M3_ALL,1e-06,1399337,1367626,2925,22,27037,1727,0.9773385539008831,0.00209027560909202,1.5721731076931432e-05,0.01932129286940887,0.0012341558895391175,2.7755575615628914e-17,8.326672684688674e-17,0.7450798188926763,1e-06
M3_ALL,0.0001,1399337,1378075,2513,7,17015,1727,0.9848056615382856,0.001795850463469486,5.002368979023637e-06,0.012159329739726742,0.0012341558895391175,2.7755575615628914e-17,8.326672684688674e-17,0.7450798188926763,1e-04
M3_ALL,0.001,1399337,1390026,1274,1,6309,1727,0.9933461346337586,0.0009104311541823021,7.146241398605196e-07,0.004508563698380019,0.0012341558895391175,2.7755575615628914e-17,8.326672684688674e-17,0.7450798188926763,1e-03
M3_ALL,0.01,1399337,1396498,0,0,1119,1720,0.997971182066936,0.0,0.0,0.0007996644125039215,0.001229153520560094,2.7755575615628914e-17,8.326672684688674e-17,0.7450798188926763,1e-02
M3_ALL,0.05,1399337,1397829,0,0,49,1459,0.9989223467970904,0.0,0.0,3.501658285316546e-05,0.0010426366200564981,2.7755575615628914e-17,8.326672684688674e-17,0.7450798188926763,5e-02
