panel,cost,picks,n_switch,switch_notional,switch_drag_yr,stitch_oos_Sharpe,anchor_oos_Sharpe,anchor_minus_stitch,stitch_oos_CAGR,anchor_oos_CAGR,stitch_oos_MaxDD,anchor_oos_MaxDD,keep4a,keep4b,fail4a,fail4b,full_CAGR,full_Sharpe,full_MaxDD,h1_CAGR,h1_Sharpe,h1_MaxDD,h2_CAGR,h2_Sharpe,h2_MaxDD,oos_CAGR,oos_Sharpe,oos_MaxDD,is__CAGR,is__Sharpe,is__MaxDD
U56,0,189/189/189/189/189/21/252/252,2,0.5928127443919604,0.0,1.084398482033315,1.2038511937053087,0.11945271167199367,0.16425920706436048,0.17631062068556358,-0.21744333665823123,-0.19077302784114747,False,False,"H2,DD",DD,0.16039572436284066,1.1489557410488243,-0.21744333665823112,0.16247615021203243,1.3437692070101241,-0.12962628391943476,0.15831995468197602,1.0223279898128417,-0.2174433366582308,0.16425920706436048,1.084398482033315,-0.21744333665823123,0.1557159788141047,1.2655463664132176,-0.12962628391943476
U56,10,189/189/189/189/189/252/252/252,1,0.597149215917169,6.167278787341254e-05,1.0950934998269406,1.1831862943616596,0.08809279453471897,0.16540584080024523,0.17284600189211563,-0.21753419701251098,-0.19127563591226437,False,False,"H2,DD",DD,0.1598272997287633,1.1483347713612688,-0.21753419701251098,0.15983720928198664,1.324435170368833,-0.13018459317414732,0.1598173947158832,1.0346076372036326,-0.21753419701251098,0.16540584080024523,1.0950934998269406,-0.21753419701251098,0.15308117086274597,1.2465742147599201,-0.13018459317414732
U56,25,189/189/189/189/189/252/252/252,1,0.597149215917169,0.00015418196968353134,1.070440444604628,1.1521503455864581,0.08170990098183006,0.16111384318795352,0.16766715361260642,-0.2176704731471516,-0.19202940727590978,False,False,"H2,DD",DD,0.1556941667708469,1.1222936385323945,-0.21767047314715093,0.15588908833624604,1.2953567875970002,-0.13102154865338367,0.1554993656981678,1.0104531260251737,-0.21767047314715127,0.16111384318795352,1.070440444604628,-0.2176704731471516,0.14913928390796616,1.218047750067805,-0.13102154865338367
U56,50,189/189/189/189/189/252/252/252,1,0.597149215917169,0.0003083639393670627,1.0292591752068991,1.1003319859675023,0.07107281076060312,0.15399292214079363,0.1590837413859867,-0.2178975616502744,-0.19351324617376375,False,False,"H2,DD",DD,0.14883572290597513,1.0787745145247891,-0.21789756165027396,0.14933623999482037,1.2467011867200888,-0.13241511954804042,0.1483356486897902,0.9701155218009062,-0.21789756165027385,0.15399292214079363,1.0292591752068991,-0.2178975616502744,0.1425969168034973,1.1703353318229586,-0.13241511954804042
U56,75,189/189/189/189/189/252/252/252,1,0.597149215917169,0.000462545909050594,0.987975068388949,1.0484170848566574,0.060442016467708415,0.14691232650381858,0.15055998900765544,-0.21812460217410123,-0.1950534449219835,False,False,"H1,H2,DD",DD,0.14201475239154604,1.0351250468061364,-0.21812460217410123,0.14281744073588465,1.197829990854502,-0.1338069981716803,0.14121298837767915,0.9296900427845711,-0.21812460217410112,0.14691232650381858,0.987975068388949,-0.21812460217410123,0.13608871153937985,1.1224349224771788,-0.1338069981716803
U56,100,189/189/189/189/189/252/252/252,1,0.597149215917169,0.0006167278787341254,0.9466034520380491,0.996426667363904,0.049823215325854875,0.1398718437934896,0.1420955039408991,-0.21835159472513366,-0.1965912581323982,False,False,"H1,H2,DD",DD,0.13523106510225635,0.9913640496161087,-0.21835159472513366,0.13633252684305397,1.1487711190152576,-0.13585955527963134,0.13413116556423965,0.8891908606541654,-0.21835159472513344,0.1398718437934896,0.9466034520380491,-0.21835159472513366,0.12961450290152232,1.0743726005248808,-0.13585955527963134
U56,150,189/189/189/189/189/252/252/252,1,0.597149215917169,0.000925091818101188,0.8636592701472228,0.8923034063760862,0.028644136228863415,0.12591037245247017,0.12534277781480685,-0.2188054359348176,-0.19965973981147922,False,False,"H1,H2,DD","H2,OOS,DD",0.12177478419801124,0.9035831667399562,-0.2188054359348176,0.12346370394915707,1.0502032080478199,-0.14044001329564182,0.12008916111988133,0.8080282552998472,-0.21880543593481772,0.12591037245247017,0.8636592701472228,-0.2188054359348176,0.11676741836547477,0.9778674460205026,-0.14044001329564182
U56,200,189/189/189/252/189/252/252/252,3,1.11380874005644,0.002300654118805106,0.7517958715895025,0.7881299103557775,0.036334038766275056,0.10622022235631645,0.10882247139032541,-0.23814690121532567,-0.20271871492487192,False,False,"H1,H2,DD","H1,H2,OOS,DD,CAGR",0.10524220787765959,0.7991198157542788,-0.23814690121532567,0.11072847617521098,0.9512244163920849,-0.14499892071364218,0.09978548673109078,0.6952922721996223,-0.23814690121532667,0.10622022235631645,0.7517958715895025,-0.23814690121532567,0.10405435630782667,0.8810311495601515,-0.14499892071364218
B135,0,21/63/21/126/21/21/252/63,6,3.2568577622869936,0.0,0.9415072243264646,1.045556511607742,0.10404928728127749,0.15193882083741928,0.1668575647910664,-0.2629778914001374,-0.20618991248114182,False,False,"H2,DD",DD,0.16558427807702025,1.0762642512494645,-0.2629778914001374,0.1946572649242313,1.378660040790566,-0.13181974114612194,0.13723141595715815,0.8453635507666655,-0.26297789140013705,0.15193882083741928,0.9415072243264646,-0.2629778914001374,0.1823638180532423,1.2808604721795522,-0.13181974114612194
B135,10,63/63/63/126/21/126/252/252,4,2.156640001690587,0.00022310068983006072,0.8450415592942763,1.024015074035567,0.17897351474129064,0.13366370952957474,0.1628665539757932,-0.28694818362899377,-0.20740302267849475,False,False,"H2,DD","H2,OOS,DD",0.15343290579864033,1.002054294648103,-0.28694818362899366,0.19435296507010813,1.3529497231567988,-0.1368621328392492,0.11393229691099149,0.723729147630287,-0.2869481836289941,0.13366370952957474,0.8450415592942763,-0.28694818362899377,0.17789152924358187,1.2313543403376166,-0.1368621328392492
B135,25,63/63/63/189/126/126/252/252,3,1.6472662204220012,0.0004260171259712072,0.8432673855609876,0.9916117967870755,0.14834441122608788,0.13621435697950135,0.15690248943154983,-0.28712882242199966,-0.2092213718253032,False,False,"H2,DD","H2,OOS,DD",0.15143100241732177,0.9790931832064831,-0.2871288224219998,0.1867044278267298,1.3066441131119846,-0.1374708425311989,0.11722121070309877,0.7279621158171306,-0.28712882242199944,0.13621435697950135,0.8432673855609876,-0.28712882242199966,0.17017427778069116,1.1848667890375197,-0.1374708425311989
B135,50,63/63/126/189/189/252/252/252,3,2.454120116219758,0.0012693724739067712,0.786947614815801,0.9373930878875496,0.1504454730717486,0.11799934843713222,0.14702198842498881,-0.2323568301454636,-0.2122484451285752,False,False,"H1,H2,DD","H2,OOS,DD",0.13563425100070114,0.921354897129185,-0.2323568301454637,0.17405426867869034,1.2288496985267479,-0.1384845993079975,0.09848794702339436,0.6629762983312855,-0.2323568301454636,0.11799934843713222,0.786947614815801,-0.2323568301454636,0.15741277454157654,1.1068261994571096,-0.1384845993079975
B135,75,63/189/126/189/189/252/252/252,4,3.564923608754554,0.0027658890067923264,0.7208600318092575,0.8829565176531677,0.16209648584391023,0.10577507206084413,0.13721556759721065,-0.23384795638808975,-0.2152711344965994,False,False,"H1,H2,DD","H2,OOS,DD",0.12322535043313398,0.8507795510615606,-0.23384795638809064,0.16152495863191985,1.1504056756049001,-0.13949740747126416,0.08620500695240807,0.5963013285256861,-0.23384795638808964,0.10577507206084413,0.7208600318092575,-0.23384795638808975,0.1447760433576475,1.028208063117373,-0.13949740747126416
B135,100,252/189/126/189/189/252/252/252,4,3.125816225727584,0.0032336029921319837,0.6694255317068861,0.8283585740293613,0.15893304232247518,0.09719673243061888,0.1274827356946291,-0.23533637333307333,-0.2182894420345205,False,False,"H1,H2,DD","H2,OOS,DD",0.1141299597169354,0.7995699393316164,-0.23533637333307322,0.15153759020148216,1.1034647146058396,-0.17152371035920866,0.07795353477058176,0.5473459951669429,-0.235336373333073,0.09719673243061888,0.6694255317068861,-0.23533637333307333,0.13503417522004724,0.981805968125071,-0.17152371035920866
B135,150,252/189/252/189/189/252/252/252,4,2.966425746291986,0.004603074433901358,0.6185174039542423,0.7189045655099924,0.10038716155575012,0.09415574810032079,0.10823588816029872,-0.25030876674327684,-0.22431292003813064,False,False,"H1,H2,DD","H2,OOS,DD",0.1073480385782426,0.731901970296836,-0.25030876674327673,0.1396130109730649,1.0242606691250489,-0.1729409297077763,0.07601046714448456,0.5100781079605233,-0.2503087667432762,0.09415574810032079,0.6185174039542423,-0.25030876674327684,0.12357408185342389,0.9063388932067609,-0.1729409297077763
