panel,k_bps,seed,cost_bps,chooser,pick_cap,pick_gross,full4b,full4a,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,pick_turn,committed_OOS_CAGR,committed_OOS_Sharpe,committed_OOS_MaxDD,base_OOS_CAGR,base_OOS_Sharpe,base_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD
U56,0,0,0.0,C_ISSHARPE,0.020,0.75,True,False,0.13168913356431755,1.3693466954314064,-0.14765004422980454,3.506382942083226,0.13168913356431755,1.3693466954314064,-0.14765004422980454,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274
U56,0,0,0.0,C_ISCALMAR,INF,0.75,True,False,0.14353853330986377,1.2803390722324455,-0.17274816551070737,4.394572810632718,0.13168913356431755,1.3693466954314064,-0.14765004422980454,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274
U56,0,0,10.0,C_ISSHARPE,0.020,0.75,True,False,0.12773946456006335,1.3318413815124672,-0.14809080759214632,3.506382942083226,0.12773946456006335,1.3318413815124672,-0.14809080759214632,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274
U56,0,0,10.0,C_ISCALMAR,INF,0.75,True,False,0.13852464950781207,1.2397071765466101,-0.17392304314971785,4.394572810632718,0.12773946456006335,1.3318413815124672,-0.14809080759214632,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274
U56,0,0,25.0,C_ISSHARPE,0.020,0.75,True,False,0.12183969460699817,1.275468963789105,-0.14875179387181792,3.506382942083226,0.12183969460699817,1.275468963789105,-0.14875179387181792,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274
U56,0,0,25.0,C_ISCALMAR,INF,0.75,True,False,0.13104300062203,1.1786655678511138,-0.1756836938565105,4.394572810632718,0.12183969460699817,1.275468963789105,-0.14875179387181792,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274
U56,0,0,50.0,C_ISSHARPE,0.020,0.75,False,False,0.1120723488705766,1.181260845927782,-0.14985301432639275,3.506382942083226,0.1120723488705766,1.181260845927782,-0.14985301432639275,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274
U56,0,0,50.0,C_ISCALMAR,INF,0.75,False,False,0.11867736655768191,1.0767540132346374,-0.17861367175230713,4.394572810632718,0.1120723488705766,1.181260845927782,-0.14985301432639275,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274
U56,10,0,0.0,C_ISSHARPE,0.020,0.75,True,False,0.13069527550588877,1.3639302048876851,-0.14765004422980466,3.5073512421585957,0.13069527550588877,1.3639302048876851,-0.14765004422980466,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274
U56,10,0,0.0,C_ISCALMAR,INF,0.75,True,False,0.14102608017580942,1.273820241550873,-0.17274816551070749,4.361898103196103,0.13069527550588877,1.3639302048876851,-0.14765004422980466,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274
U56,10,0,10.0,C_ISSHARPE,0.020,0.75,True,False,0.1267498636305615,1.32631989428713,-0.14809080759214654,3.5073512421585957,0.1267498636305615,1.32631989428713,-0.14809080759214654,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274
