sample,n,pass5,pass2,changed,rate
FRESH-real (84),84,7,9,2,0.023809523809523808
FRESH-control (12),12,0,0,0,0.0
CORPUS-pooled (6184),6184,322,465,143,0.023124191461836998
CORPUS-distinct (4114),4114,274,368,94,0.022848808945065628
