panel,book,cadence,cost_bps,DDC_pp
B136,BAND03,D,0.0,0.0
B136,BAND03,D,10.0,0.0
B136,BAND03,D,25.0,0.0
B136,BAND03,M,0.0,-1.4216307056598931
B136,BAND03,M,10.0,-1.4262987944504757
B136,BAND03,M,25.0,-1.4332860512663248
B136,BAND03,Q,0.0,1.5492502369088945
B136,BAND03,Q,10.0,1.539642797867724
B136,BAND03,Q,25.0,1.5252336914703069
B136,BAND03,W,0.0,0.8291197356094182
B136,BAND03,W,10.0,0.8127996349427957
B136,BAND03,W,25.0,0.788353106732731
B136,BAND06,D,0.0,0.0
B136,BAND06,D,10.0,0.0
B136,BAND06,D,25.0,0.0
B136,BAND06,M,0.0,0.19280424827523568
B136,BAND06,M,10.0,0.18213357438285893
B136,BAND06,M,25.0,0.16613939176818304
B136,BAND06,Q,0.0,1.6149807793750304
B136,BAND06,Q,10.0,1.6064032379077497
B136,BAND06,Q,25.0,1.5935385707039895
B136,BAND06,W,0.0,0.3197056243982255
B136,BAND06,W,10.0,0.30121390499207035
B136,BAND06,W,25.0,0.2735020655599274
B136,EWELIG,D,0.0,0.0
B136,EWELIG,D,10.0,0.0
B136,EWELIG,D,25.0,0.0
B136,EWELIG,M,0.0,0.6962192323954675
B136,EWELIG,M,10.0,0.6986199455959463
B136,EWELIG,M,25.0,0.702321272092099
B136,EWELIG,Q,0.0,1.3596724404657201
B136,EWELIG,Q,10.0,1.3361336273597035
B136,EWELIG,Q,25.0,1.3008381382135559
B136,EWELIG,W,0.0,0.2409366972650817
B136,EWELIG,W,10.0,0.42281459428896717
B136,EWELIG,W,25.0,0.5009178799709191
B136,TOP10,D,0.0,0.0
B136,TOP10,D,10.0,0.0
B136,TOP10,D,25.0,0.0
B136,TOP10,M,0.0,3.1983175287364385
B136,TOP10,M,10.0,3.1869775129108047
B136,TOP10,M,25.0,3.16585775983218
B136,TOP10,Q,0.0,1.9422819787765055
B136,TOP10,Q,10.0,1.9143744023403575
B136,TOP10,Q,25.0,1.8725320097294662
B136,TOP10,W,0.0,0.38559005881695363
B136,TOP10,W,10.0,0.35526576819124855
B136,TOP10,W,25.0,0.2731360903558633
B136,TOP20,D,0.0,0.0
B136,TOP20,D,10.0,0.0
B136,TOP20,D,25.0,0.0
B136,TOP20,M,0.0,2.2765073043094164
B136,TOP20,M,10.0,2.2580535473518792
B136,TOP20,M,25.0,2.2304489805824557
B136,TOP20,Q,0.0,1.0650462175102349
B136,TOP20,Q,10.0,1.0390799554363617
B136,TOP20,Q,25.0,1.0001468834825
B136,TOP20,W,0.0,0.1858571728451719
B136,TOP20,W,10.0,0.15311754654058207
B136,TOP20,W,25.0,0.10415605044706844
B136,TOP30,D,0.0,0.0
B136,TOP30,D,10.0,0.0
B136,TOP30,D,25.0,0.0
B136,TOP30,M,0.0,1.787059715450845
B136,TOP30,M,10.0,1.769156870489974
B136,TOP30,M,25.0,1.742364414416564
B136,TOP30,Q,0.0,1.614616790974277
B136,TOP30,Q,10.0,1.592015403928837
B136,TOP30,Q,25.0,1.558125717696568
B136,TOP30,W,0.0,1.456681884274691
B136,TOP30,W,10.0,1.445939094039761
B136,TOP30,W,25.0,1.4299092651618661
B136,TOP40,D,0.0,0.0
B136,TOP40,D,10.0,0.0
B136,TOP40,D,25.0,0.0
B136,TOP40,M,0.0,0.842867998358876
B136,TOP40,M,10.0,0.8384249028846713
B136,TOP40,M,25.0,0.8318164234634939
B136,TOP40,Q,0.0,2.063927028138024
B136,TOP40,Q,10.0,2.0424736963059242
B136,TOP40,Q,25.0,2.010304856144285
B136,TOP40,W,0.0,1.4465448824697913
B136,TOP40,W,10.0,1.4356274220041043
B136,TOP40,W,25.0,1.4193286827992702
B136,TOP5,D,0.0,0.0
B136,TOP5,D,10.0,0.0
B136,TOP5,D,25.0,0.0
B136,TOP5,M,0.0,5.675366385104008
B136,TOP5,M,10.0,5.663585692384321
B136,TOP5,M,25.0,5.646045792042365
B136,TOP5,Q,0.0,1.3499844285121632
B136,TOP5,Q,10.0,1.3237187270787043
B136,TOP5,Q,25.0,1.2843370336752202
B136,TOP5,W,0.0,-0.14179227992893173
B136,TOP5,W,10.0,0.27423781514004375
B136,TOP5,W,25.0,0.8425225265363046
B136,TOP60,D,0.0,0.0
B136,TOP60,D,10.0,0.0
B136,TOP60,D,25.0,0.0
B136,TOP60,M,0.0,-2.3418858651983787
B136,TOP60,M,10.0,-2.3409426529222177
B136,TOP60,M,25.0,-2.3394789525733706
B136,TOP60,Q,0.0,2.357734791755828
B136,TOP60,Q,10.0,2.339000238797051
B136,TOP60,Q,25.0,2.310906787376954
B136,TOP60,W,0.0,2.572609487097388
B136,TOP60,W,10.0,2.567250543004973
B136,TOP60,W,25.0,2.559269409313636
U56,BAND03,D,0.0,0.0
U56,BAND03,D,10.0,0.0
U56,BAND03,D,25.0,0.0
U56,BAND03,M,0.0,-1.2998557689027468
U56,BAND03,M,10.0,-1.303842225471874
U56,BAND03,M,25.0,-1.3098128082351446
U56,BAND03,Q,0.0,1.5030172158601807
U56,BAND03,Q,10.0,1.4939906561155292
U56,BAND03,Q,25.0,1.480452588329928
U56,BAND03,W,0.0,0.6980095061281055
U56,BAND03,W,10.0,0.6828778455428619
U56,BAND03,W,25.0,0.6602059772999436
U56,BAND06,D,0.0,0.0
U56,BAND06,D,10.0,0.0
U56,BAND06,D,25.0,0.0
U56,BAND06,M,0.0,0.4167117668626319
U56,BAND06,M,10.0,0.405526119195565
U56,BAND06,M,25.0,0.38875569078740124
U56,BAND06,Q,0.0,1.4039301751195832
U56,BAND06,Q,10.0,1.3960638012462057
U56,BAND06,Q,25.0,1.3842655879600207
U56,BAND06,W,0.0,0.05877112442677079
U56,BAND06,W,10.0,0.0398774037675409
U56,BAND06,W,25.0,0.011556704968507248
U56,EWELIG,D,0.0,0.0
U56,EWELIG,D,10.0,0.0
U56,EWELIG,D,25.0,0.0
U56,EWELIG,M,0.0,-0.6371133840725629
U56,EWELIG,M,10.0,-0.6225252288390659
U56,EWELIG,M,25.0,-0.6118439189784053
U56,EWELIG,Q,0.0,2.0870210521700794
U56,EWELIG,Q,10.0,2.063543639030252
U56,EWELIG,Q,25.0,2.028339716029437
U56,EWELIG,W,0.0,0.5880808935517345
U56,EWELIG,W,10.0,0.11887018688382378
U56,EWELIG,W,25.0,-0.49667182713166724
U56,TOP10,D,0.0,0.0
U56,TOP10,D,10.0,0.0
U56,TOP10,D,25.0,0.0
