convention,kind,book
CONST,dd_dn,u56-v2band-gross100
CONST,dd_dn,u56-band008-gross100
CONST,dd_dn,u56-top20-band-m20
CONST,dd_dn,u56-marsrespread-gross075
CONST,dd_dn,u56-quantile50-respread-M
CONST,dd_dn,b136-r620-gross065-W
CONST,dd_dn,U56-band0.03-g1.00
CONST,dd_dn,U56-band0.08-g1.00
CONST,dd_dn,B136-band0.08-g1.00
CONST,dd_dn,B136-qroll-q0.12-w252-d1.00
CONST,cg_up,U56-band0.03-g0.50
CONST,cg_up,U56-band0.03-g0.75
CONST,cg_up,U56-band0.08-g0.50
CONST,cg_up,U56-band0.08-g0.75
CONST,cg_up,B136-band0.03-g0.50
CONST,cg_up,B136-band0.03-g0.75
CONST,cg_up,B136-band0.03-g1.00
CONST,cg_up,B136-band0.08-g0.50
CONST,cg_up,B136-band0.08-g0.75
PATH,dd_dn,u56-v2band-gross100
PATH,dd_dn,u56-band008-gross100
PATH,dd_dn,u56-top20-band-m20
PATH,dd_dn,u56-marsrespread-gross075
PATH,dd_dn,u56-quantile50-respread-M
PATH,dd_dn,b136-r620-gross065-W
PATH,dd_dn,b136-qroll-q012-w1008-d050-g100
PATH,dd_dn,u56-k8-qroll-q017-w1008-d100-g100
PATH,dd_dn,U56-band0.03-g1.00
PATH,dd_dn,U56-band0.08-g1.00
PATH,dd_dn,U56-qroll-q0.12-w252-d0.50
PATH,dd_dn,U56-qroll-q0.12-w1008-d0.50
PATH,dd_dn,U56-qroll-q0.12-w1008-d1.00
PATH,dd_dn,U56-qroll-q0.17-w252-d0.50
PATH,dd_dn,U56-qroll-q0.17-w1008-d0.50
PATH,dd_dn,U56-qroll-q0.17-w1008-d1.00
PATH,dd_dn,B136-band0.08-g1.00
PATH,dd_dn,B136-qroll-q0.12-w252-d0.50
PATH,dd_dn,B136-qroll-q0.12-w252-d1.00
PATH,dd_dn,B136-qroll-q0.12-w1008-d0.50
PATH,dd_dn,B136-qroll-q0.12-w1008-d1.00
PATH,dd_dn,B136-qroll-q0.17-w252-d0.50
PATH,dd_dn,B136-qroll-q0.17-w504-d0.50
PATH,dd_dn,B136-qroll-q0.17-w504-d1.00
PATH,dd_dn,B136-qroll-q0.17-w1008-d0.50
PATH,dd_dn,B136-qroll-q0.17-w1008-d1.00
PATH,cg_up,U56-band0.03-g0.50
PATH,cg_up,U56-band0.03-g0.75
PATH,cg_up,U56-band0.08-g0.50
PATH,cg_up,U56-band0.08-g0.75
PATH,cg_up,B136-band0.03-g0.50
PATH,cg_up,B136-band0.03-g0.75
PATH,cg_up,B136-band0.03-g1.00
PATH,cg_up,B136-band0.08-g0.50
PATH,cg_up,B136-band0.08-g0.75
