panel,family,con,pick_level,pick_cad,isSharpe,oCAGR,oSharpe,oMaxDD,regret,best_level,best_cad,spy_oSharpe,d_vs_SPY,p4a,f4b
SMALL439,QUANTILE,RESPREAD,0.8,Q,0.7262496219569461,0.09186693152643799,0.6169033768661532,-0.35072630041994146,-0.06108141312395554,0.2,M,0.8820107671822842,-0.26510739031613106,False,"H1,H2,OOS,DD,CAGR"
SMALL439,QUANTILE,DEGROSS,0.8,Q,0.7288904889119845,0.07585537286673993,0.62247468874787,-0.28164619150257,-0.0541362181722721,0.2,M,0.8820107671822842,-0.2595360784344142,False,"H1,H2,OOS,DD,CAGR"
SMALL439,MA-THRESH,RESPREAD,0.3,M,0.8874006931164304,0.24022985785064388,1.1041600612175628,-0.3077804460589927,0.0,0.3,M,0.8820107671822842,0.2221492940352786,False,DD
SMALL439,MA-THRESH,DEGROSS,-0.4,Q,0.7368408498827737,0.07975352536349556,0.5874263980687731,-0.3246766886644833,-0.2473557405029818,0.3,M,0.8820107671822842,-0.29458436911351116,False,"H1,H2,OOS,DD,CAGR"
U56,QUANTILE,RESPREAD,0.5,M,1.266552105358663,0.16066673329984993,1.2236553101549084,-0.1980354258535867,-0.025602510229018494,0.6,M,0.8820107671822842,0.34164454297262414,False,-
U56,QUANTILE,DEGROSS,0.5,M,1.2604987916015193,0.0803610222141069,1.2241334487067286,-0.10323054145609467,-0.0205250351764521,0.6,M,0.8820107671822842,0.34212268152444436,False,CAGR
U56,MA-THRESH,RESPREAD,0.2,Q,1.408761674974984,0.21332672322297652,0.9369868313542219,-0.32510634748275236,-0.2646036069923713,0.0,M,0.8820107671822842,0.05497606417193768,False,DD
U56,MA-THRESH,DEGROSS,0.3,Q,1.2402205204650303,0.010383257296099568,0.5633651872372603,-0.03380058941006947,-0.7181727925295849,0.0,M,0.8820107671822842,-0.31864557994502396,False,"H2,OOS,CAGR"
B136,QUANTILE,RESPREAD,0.9,Q,1.170016089073704,0.13852930233666005,1.1261503071799828,-0.24650540532220688,-0.020607677202106434,0.95,Q,0.8820239235972316,0.24412638358275118,False,DD
B136,QUANTILE,DEGROSS,0.9,Q,1.1707637493305465,0.12496337696997828,1.1284481246686338,-0.22334553438842186,-0.019356805570828417,0.95,Q,0.8820239235972316,0.24642420107140217,False,DD
B136,MA-THRESH,RESPREAD,0.2,Q,1.4584969655039113,0.21106474661139196,1.0664525071109843,-0.2952507655794452,-0.07441284497376555,-0.25,Q,0.8820239235972316,0.1844285835137527,False,DD
B136,MA-THRESH,DEGROSS,-0.25,Q,1.2156044088420448,0.13580129917386707,1.1384051662705015,-0.24163593668050243,-0.016368472246311327,0.0,M,0.8820239235972316,0.2563812426732699,False,DD
