basis,legal,floor,kept,obs_4b,null_4b_mean,pct_beaten_4b,obs_4a,null_4a_mean,obs_medS,null_medS_mean,pct_beaten_S,obs_medDD,null_medDD_mean,pct_beaten_DD
S_IS4B,True,0.1,13,0,0.496,0.2815,0,0.0,1.0166,0.9051,0.912,-0.2383,-0.3073,0.998
S_IS4B,True,0.25,10,0,0.52,0.3048,0,0.0,1.0166,0.9281,0.8665,-0.2383,-0.2994,0.9925
S_IS4B,True,0.4,8,3,0.602,0.9577,0,0.0,1.059,0.9463,0.9505,-0.2135,-0.2947,0.995
S_IS4B,True,0.5,6,3,0.626,0.9542,0,0.0,1.059,0.9653,0.953,-0.2135,-0.2851,0.9885
S_IS4B,True,0.75,3,0,0.0,0.5,0,0.0,1.0274,0.9377,0.9845,-0.2247,-0.3003,0.958
S_IS4B,True,0.9,0,0,0.0,0.5,0,0.0,,,0.0,,,0.0
S_ISLEG4,True,0.1,48,0,0.0,0.5,0,0.0,0.8312,0.8312,0.0,-0.3414,-0.3496,0.565
S_ISLEG4,True,0.25,47,0,0.0,0.5,0,0.0,0.8312,0.8312,0.0,-0.3414,-0.3506,0.64
S_ISLEG4,True,0.4,47,0,0.0,0.5,0,0.0,0.8312,0.8312,0.0,-0.3414,-0.3506,0.64
S_ISLEG4,True,0.5,44,0,0.0,0.5,0,0.0,0.8312,0.817,0.106,-0.3414,-0.3512,0.758
S_ISLEG4,True,0.75,29,1,0.388,0.806,0,0.0,0.7123,0.7812,0.3695,-0.2989,-0.3439,0.889
S_ISLEG4,True,0.9,18,1,0.494,0.7545,0,0.0,0.9695,0.9504,0.297,-0.3461,-0.3089,0.016
S_FULL4B,False,0.1,11,0,0.451,0.2855,0,0.0,1.0328,0.9097,0.9525,-0.2271,-0.2987,0.991
S_FULL4B,False,0.25,5,3,0.664,0.9505,0,0.0,1.0852,1.0029,0.81,-0.205,-0.2805,0.9375
S_FULL4B,False,0.4,3,3,0.639,0.9495,0,0.0,1.1287,0.9758,0.8945,-0.2051,-0.2723,0.952
S_FULL4B,False,0.5,1,3,0.909,0.8485,0,0.0,1.2152,1.1279,0.3965,-0.1701,-0.2317,0.786
S_FULL4B,False,0.75,1,3,0.909,0.8485,0,0.0,1.2152,1.1279,0.3965,-0.1701,-0.2317,0.786
S_FULL4B,False,0.9,0,0,0.0,0.5,0,0.0,,,0.0,,,0.0
