metric,default,pool,cells,noop,helps,hurts,win_rate,mean_d,median_d,sd,se,t,sign_p
OOS_Sharpe,D_NONE,P_ALL,72,72,0,0,,0.0,0.0,0.0,0.0,,
OOS_Sharpe,D_NONE,P_S1,72,72,0,0,,0.0,0.0,0.0,0.0,,
OOS_Sharpe,K_CAGR,P_ALL,72,26,33,13,0.717391304347826,0.010018472619379517,0.0,0.02677539936359896,0.0031555110764964656,3.174912835515359,0.004533861582189047
OOS_Sharpe,K_CAGR,P_S1,72,48,20,4,0.8333333333333334,0.00395628487599768,0.0,0.014292435798905974,0.0016843797121799643,2.3488081976939523,0.001543879508972168
OOS_Sharpe,K_Calmar,P_ALL,72,10,17,45,0.27419354838709675,-0.020042001622153985,-0.012986707418927212,0.05880086537308211,0.006929748440823936,-2.892168711938268,0.0004970915863810334
OOS_Sharpe,K_Calmar,P_S1,72,43,14,15,0.4827586206896552,-0.0019396539816748705,0.0,0.025805017456192215,0.003041150471985125,-0.6378026998475851,1.0
OOS_Sharpe,K_MaxDD,P_ALL,72,0,17,55,0.2361111111111111,-0.07402095736016584,-0.03740987986264205,0.12611504580644622,0.0148628006832317,-4.980283254667926,8.14003082672391e-06
OOS_Sharpe,K_MaxDD,P_S1,72,40,12,20,0.375,-0.0033819053377738472,0.0,0.026875657959953256,0.0031673266653888606,-1.0677475660246247,0.21532714972272515
OOS_Sharpe,K_Random,P_ALL,72,8,20,44,0.3125,-0.01961397269816037,-0.009919062351359309,0.0640875707403742,0.007552792643381862,-2.5969166140615716,0.0036899642765400487
OOS_Sharpe,K_Random,P_S1,72,43,10,19,0.3448275862068966,-0.0060864182257754995,0.0,0.023110771227880415,0.002723630508947533,-2.234671041384177,0.13604594767093658
OOS_Sharpe,K_Sharpe,P_ALL,72,17,18,37,0.32727272727272727,-0.024143621233467177,-0.0008538471708221529,0.061293906068156316,0.007223556104367435,-3.3423456376104976,0.014453833533827731
OOS_Sharpe,K_Sharpe,P_S1,72,47,13,12,0.52,-0.004450006304831924,0.0,0.02560492683924899,0.003017569566636399,-1.4746988284986655,1.0
OOS_CAGR,D_NONE,P_ALL,72,72,0,0,,0.0,0.0,0.0,0.0,,
OOS_CAGR,D_NONE,P_S1,72,72,0,0,,0.0,0.0,0.0,0.0,,
OOS_CAGR,K_CAGR,P_ALL,72,26,25,21,0.5434782608695652,0.0020651910096929995,0.0,0.006742447659689619,0.0007946050769936496,2.5990156235932336,0.6587380770236564
OOS_CAGR,K_CAGR,P_S1,72,48,12,12,0.5,0.0002463549277934265,0.0,0.006562903716299437,0.0007734456203449543,0.318516158490306,1.0
