state,kind,prior_reduction,reversed_reduction,prior_median,reversed_median,reversed_larger,control_restored
BREADTH,YEARBLOCK,0.6698685006219796,-3.1503267503070393,0.023944526508897418,0.053060973319468546,False,False
BREADTH,EPISODEFIX,0.9440738230158936,-1.2009350239864434,0.004056340669885139,0.028138448274461506,False,False
BREADTH,BLOCKPOST,0.0183020277623898,-0.084992747501806,0.07120281816264426,0.013871382830942441,False,False
VOL20,YEARBLOCK,1.5212703288026899,-1.4876769102685192,-0.01056272706722422,0.008598894348869901,False,False
VOL20,EPISODEFIX,2.3762693365005045,-1.0561546303498228,-0.02788794329774172,0.0009901386008045743,False,False
VOL20,BLOCKPOST,-0.0743125662707621,0.05515371887584899,0.021769262118701158,-0.018604849151941272,True,True
DISP,YEARBLOCK,0.95696994115211,-0.5295944905178331,0.0013146744381477837,-0.01634416935200056,False,True
DISP,EPISODEFIX,1.2488787956398781,-0.47867710206635944,-0.0076038611051260085,-0.018113286428729933,False,False
DISP,BLOCKPOST,0.031770113247097415,-0.026994074959345065,0.02958181133017862,-0.03380694591964023,False,True
CORR,YEARBLOCK,0.5501645009723624,-0.667929279349249,0.024908971557151702,0.0568163530615344,False,False
CORR,EPISODEFIX,1.112543013384078,-0.522718238271013,-0.0062319019405978615,0.051869883279822226,False,False
CORR,BLOCKPOST,0.05478150250154758,0.13636654148702376,0.05234006813685477,0.029418815355151992,True,False
