panel,band,gross,year,days,ret_gated,ret_ungated,ret_spy,drag,mdd_gated,mdd_ungated,mdd_spy,saved,prot,dragup
U56,0.0,0.75,2009,245,0.15727105981299538,0.2985779192309095,0.311326674643605,0.1413068594179141,-0.04290344495938281,-0.12567837526965275,-0.22062001264433284,0.08277493031026995,0.46195297902728916,-0.588009185691649
U56,0.0,0.75,2010,252,0.06287956121934224,0.13897138479544457,0.15056049757720413,0.07609182357610234,-0.07279413827766368,-0.08857203572351857,-0.15699672946360121,0.015777897445854894,0.19422150080121459,-0.26697260107141685
U56,0.0,0.75,2011,252,-0.015292782221279944,0.010726676499743126,0.018950727479971397,0.02601945872102307,-0.08704605247374708,-0.11950127597719817,-0.1860549410823611,0.03245522350345109,0.43188070402343076,-0.4663001230811205
U56,0.0,0.75,2012,250,0.04500860442924659,0.10635790596937156,0.15990261325886523,0.06134930154012497,-0.05533120033642669,-0.07816942079776068,-0.09686993917041309,0.02283822046133399,0.16176246954532614,-0.22087439344961332
U56,0.0,0.75,2013,252,0.1861893418447047,0.21138058133607474,0.32307752311103055,0.025191239491370032,-0.030981433001190717,-0.042982359366666834,-0.055506230383220334,0.012000926365476117,0.06708452566301924,-0.08895415024017925
U56,0.0,0.75,2014,252,0.05882847366097854,0.07780356498896812,0.13463860143720674,0.01897509132798958,-0.03729593157749311,-0.055732248837893406,-0.07273459578593888,0.018436317260400292,0.08642024939590298,-0.10521038872775972
U56,0.0,0.75,2015,252,0.02594853755559856,0.04808579606066332,0.012342478840705384,0.02213725850506476,-0.042491969360605175,-0.08029104748469995,-0.1191019700822602,0.037799078124094776,0.2410793090378693,-0.26576506284163126
U56,0.0,0.75,2016,252,0.06017541387850711,0.13768465368747917,0.11997888578785987,0.07750923980897206,-0.029922527947393918,-0.0685313339064818,-0.09187558352333847,0.03860880595908789,0.18342943585867683,-0.25658844103452566
U56,0.0,0.75,2017,251,0.14234631498310657,0.16778386984289084,0.2170543806410543,0.025437554859784273,-0.013911985602669041,-0.014975282046984284,-0.026100845721388266,0.0010632964443152426,0.02115940327598279,-0.04330081592082463
U56,0.0,0.75,2018,251,-0.00456517365477993,0.0005286313684633726,-0.04569032063713252,0.005093805023243303,-0.06645587550484255,-0.12651979357657972,-0.19348903043170607,0.060063918071737166,0.21953890897405412,-0.22809362434733693
U56,0.0,0.75,2019,252,0.09685633845307384,0.21633027116325287,0.3122390642970696,0.11947393271017903,-0.03264925066840807,-0.04974317943860751,-0.06618301614875133,0.01709392877019944,0.12706793145858372,-0.23255283759240386
U56,0.0,0.75,2020,253,0.13572441913087885,0.21473408187740972,0.18331625405896101,0.07900966274653087,-0.12011678146600113,-0.22525861233760036,-0.33717256724185285,0.10514183087159923,0.4475709555132351,-0.5320106805525888
U56,0.0,0.75,2021,252,0.1704586130233421,0.19572794400238447,0.28728776191274874,0.02526933097904238,-0.03007153302524268,-0.03928023480490117,-0.05114148312928224,0.00920870177965849,0.05828245832691452,-0.08050693710316455
U56,0.0,0.75,2022,251,-0.053740782873943016,-0.11991981249327965,-0.18175382241045157,-0.06617902961933664,-0.06228625989181269,-0.16535186763162568,-0.24496367979338685,0.10306560773981299,0.8583411779054861,-0.7989020616129239
U56,0.0,0.75,2023,250,0.11233627398843704,0.2345221604969887,0.26175789735711263,0.12218588650855167,-0.04922061965575786,-0.06181299686505404,-0.09974319330420534,0.01259237720929618,0.13085629506535623,-0.23726125037874868
U56,0.0,0.75,2024,252,0.16225120971307772,0.19988519691635398,0.24886474347330556,0.037633987203276265,-0.05384531792137881,-0.05723393990748693,-0.08405641913245021,0.00338862198610812,0.033441838723340285,-0.06596393746562845
U56,0.0,0.75,2025,250,0.08142586553009301,0.16731164935193132,0.1771905467755066,0.08588578382183831,-0.06736333386797477,-0.12090653806993301,-0.18755235013533944,0.05354320420195824,0.18863012034762675,-0.27012217757487855
U56,0.0,0.75,2026,181,0.05910974146651782,0.11125159020332065,0.1429795975673751,0.05214184873680283,-0.032620422986508024,-0.04845119665950681,-0.08884974479781771,0.015830773672998788,0.11105472610161984,-0.16034228644591084
U56,0.02,0.75,2009,245,0.15901738172459434,0.2985779192309095,0.311326674643605,0.13956053750631514,-0.0409863926474735,-0.12567837526965275,-0.22062001264433284,0.08469198262217925,0.47017427958660685,-0.5947872982293677
U56,0.02,0.75,2010,252,0.060160933266036,0.13897138479544457,0.15056049757720413,0.07881045152940858,-0.07161235836928959,-0.08857203572351857,-0.15699672946360121,0.016959677354228986,0.18934118590342397,-0.2645465070135145
U56,0.02,0.75,2011,252,-0.0014694145617633048,0.010726676499743126,0.018950727479971397,0.012196091061506431,-0.07565340998957881,-0.11950127597719817,-0.1860549410823611,0.04384786598761936,0.43367159334483396,-0.4540884506390667
U56,0.02,0.75,2012,250,0.04602735910929834,0.10635790596937156,0.15990261325886523,0.06033054686007322,-0.056249607578969796,-0.07816942079776068,-0.09686993917041309,0.021919813218790885,0.16278198803301097,-0.22092054014500961
U56,0.02,0.75,2013,252,0.19388808758760656,0.21138058133607474,0.32307752311103055,0.017492493748468174,-0.03182751211421331,-0.042982359366666834,-0.055506230383220334,0.011154847252453526,0.06622885801206137,-0.08157483383366083
U56,0.02,0.75,2014,252,0.05344217595076217,0.07780356498896812,0.13463860143720674,0.02436138903820595,-0.03791285800567179,-0.055732248837893406,-0.07273459578593888,0.017819390832221615,0.08355793787896756,-0.10742048892437789
U56,0.02,0.75,2015,252,0.036817831393307854,0.04808579606066332,0.012342478840705384,0.011267964667355468,-0.046055796276624594,-0.08029104748469995,-0.1191019700822602,0.03423525120807536,0.2399808234882803,-0.2540167977763199
U56,0.02,0.75,2016,252,0.055423241864324124,0.13768465368747917,0.11997888578785987,0.08226141182315505,-0.02870185902911826,-0.0685313339064818,-0.09187558352333847,0.039829474877363547,0.17608979621453172,-0.25367788937623503
U56,0.02,0.75,2017,251,0.13922759442335475,0.16778386984289084,0.2170543806410543,0.028556275419536092,-0.01441645771418476,-0.014975282046984284,-0.026100845721388266,0.0005588243327995235,0.02075259442269543,-0.045628505648748305
U56,0.02,0.75,2018,251,0.005288658579905237,0.0005286313684633726,-0.04569032063713252,-0.004760027211441864,-0.06396117910394916,-0.12651979357657972,-0.19348903043170607,0.06255861447263056,0.22149794724813499,-0.2201313981361529
U56,0.02,0.75,2019,252,0.10274104250639127,0.21633027116325287,0.3122390642970696,0.11358922865686161,-0.033420710286648725,-0.04974317943860751,-0.06618301614875133,0.016322469151958785,0.1308294008931567,-0.23093058778926914
U56,0.02,0.75,2020,253,0.1411249940418513,0.21473408187740972,0.18331625405896101,0.07360908783555842,-0.11858557243610912,-0.22525861233760036,-0.33717256724185285,0.10667303990149124,0.4438335932637307,-0.5233112593629865
U56,0.02,0.75,2021,252,0.1700128123237452,0.19572794400238447,0.28728776191274874,0.025715131678639258,-0.03166033236406096,-0.03928023480490117,-0.05114148312928224,0.007619902440840209,0.056905751939793414,-0.07945769854691098
U56,0.02,0.75,2022,251,-0.05166302655058408,-0.11991981249327965,-0.18175382241045157,-0.06825678594269557,-0.06103034244092609,-0.16535186763162568,-0.24496367979338685,0.1043215251906996,0.8586395530634017,-0.7969691444300964
U56,0.02,0.75,2023,250,0.11855602351075523,0.2345221604969887,0.26175789735711263,0.11596613698623348,-0.05075498444119031,-0.06181299686505404,-0.09974319330420534,0.011058012423863728,0.12438158602337487,-0.22511443299533576
U56,0.02,0.75,2024,252,0.16217489542883823,0.19988519691635398,0.24886474347330556,0.03771030148751575,-0.05454913990107324,-0.05723393990748693,-0.08405641913245021,0.00268480000641369,0.030533275172366856,-0.06306731661332403
U56,0.02,0.75,2025,250,0.07948741231620726,0.16731164935193132,0.1771905467755066,0.08782423703572406,-0.07027645829866869,-0.12090653806993301,-0.18755235013533944,0.050630079771264325,0.18450688064475823,-0.2676981301387266
