panel,N,g_own,J_own,g_frozen20,J_at_g20,cost_g20_pp,J_at_065,cost_065_pp,rungs_from_065
U56,5,0.4,-0.5239807732279916,0.65,-7.971526935839821,-7.447546162611829,-7.971526935839821,-7.447546162611829,-5
U56,10,0.5,0.36433556313084925,0.65,-3.0575670866815536,-3.4219026498124028,-3.0575670866815536,-3.4219026498124028,-3
U56,15,0.6,1.4374581421831039,0.65,0.6355794569015055,-0.8018786852815983,0.6355794569015055,-0.8018786852815983,-1
U56,20,0.65,1.0988212896004739,0.65,1.0988212896004739,0.0,1.0988212896004739,0.0,0
U56,25,0.65,0.4743066575230964,0.65,0.4743066575230964,0.0,0.4743066575230964,0.0,0
U56,30,0.65,0.4992833356769172,0.65,0.4992833356769172,0.0,0.4992833356769172,0.0,0
B136,5,0.35,0.006231703652850862,0.6,-8.65792732464443,-8.66415902829728,-10.314308468046137,-10.320540171698989,-6
B136,10,0.45,1.3265671434690844,0.6,-2.3883977822585307,-3.714964925727615,-3.5994610048227322,-4.926028148291817,-4
B136,15,0.55,1.0572182913696686,0.6,0.010024404827538302,-1.0471938865421304,-1.0274976793585884,-2.084715970728257,-2
B136,20,0.6,1.464474696429166,0.6,1.464474696429166,0.0,0.50735424684695,-0.957120449582216,-1
B136,25,0.6,2.2422191163802756,0.6,2.2422191163802756,0.0,1.3820779363503926,-0.860141180029883,-1
B136,30,0.65,1.752699645914249,0.6,1.7366557199068682,-0.016043926007380804,1.752699645914249,0.0,0
SMALL,5,0.3,-4.989453391123439,0.4,-9.296524441332759,-4.30707105020932,-20.7622815810004,-15.772828189876963,-7
SMALL,10,0.3,-4.083465488366506,0.4,-7.850117933702109,-3.7666524453356036,-18.114375248867205,-14.030909760500698,-7
SMALL,15,0.35,-3.9432923223037304,0.4,-5.937225517080185,-1.9939331947764543,-15.332188455578082,-11.388896133274352,-6
SMALL,20,0.4,-3.2814214167267544,0.4,-3.2814214167267544,0.0,-11.05135862948246,-7.769937212755705,-5
SMALL,25,0.4,-2.271435896770119,0.4,-2.271435896770119,0.0,-8.694265296284991,-6.422829399514872,-5
SMALL,30,0.45,-2.645246383020276,0.4,-3.092414267599425,-0.4471678845791489,-8.30387701031398,-5.658630627293705,-4
