stat,qmax,conv,cellset,p_nonempty,mean_k,raw,null,lift,ratio
C_cellcount_sweep,0.25,COND,large4,1.0,28.3408125,14.1185,4.862073691491206,9.256426308508793,2.9038021420176854
B1_bestcount_sweep,0.25,COND,large4,1.0,28.3408125,1.0,0.555702205882353,0.444297794117647,1.7995249783329252
C_cellcount_sweep,0.25,COND,all6,1.0,29.164083333333334,11.406,1.7722002242482247,9.633799775751775,6.4360673494658185
B1_bestcount_sweep,0.25,COND,all6,1.0,29.164083333333334,1.0,0.5718447712418299,0.42815522875817014,1.7487263157593964
C_cellcount_sweep,0.25,UNCOND,large4,1.0,28.3408125,14.1185,4.862073691491206,9.256426308508793,2.9038021420176854
B1_bestcount_sweep,0.25,UNCOND,large4,1.0,28.3408125,1.0,0.555702205882353,0.444297794117647,1.7995249783329252
C_cellcount_sweep,0.25,UNCOND,all6,1.0,29.164083333333334,11.406,1.7722002242482247,9.633799775751775,6.4360673494658185
B1_bestcount_sweep,0.25,UNCOND,all6,1.0,29.164083333333334,1.0,0.5718447712418299,0.42815522875817014,1.7487263157593964
C_cellcount_sweep,0.5,COND,large4,1.0,16.405125,3.69525,0.5438751008284899,3.1513748991715103,6.794298901293684
B1_bestcount_sweep,0.5,COND,large4,1.0,16.405125,1.0,0.3216691176470588,0.6783308823529413,3.1087846023727344
C_cellcount_sweep,0.5,COND,all6,1.0,17.2085,1.887,0.07400188215209791,1.812998117847902,25.49935143705672
B1_bestcount_sweep,0.5,COND,all6,1.0,17.2085,0.9784583333333333,0.33742156862745093,0.6410367647058823,2.8998096870732493
C_cellcount_sweep,0.5,UNCOND,large4,1.0,16.405125,3.69525,0.5438751008284899,3.1513748991715103,6.794298901293684
B1_bestcount_sweep,0.5,UNCOND,large4,1.0,16.405125,1.0,0.3216691176470588,0.6783308823529413,3.1087846023727344
C_cellcount_sweep,0.5,UNCOND,all6,1.0,17.2085,1.887,0.07400188215209791,1.812998117847902,25.49935143705672
B1_bestcount_sweep,0.5,UNCOND,all6,1.0,17.2085,0.9784583333333333,0.33742156862745093,0.6410367647058823,2.8998096870732493
C_cellcount_sweep,0.75,COND,large4,1.0,7.5828125,0.41975,0.03875178852779097,0.380998211472209,10.83175811869883
B1_bestcount_sweep,0.75,COND,large4,1.0,7.5828125,0.8019791666666666,0.1514436274509804,0.6505355392156862,5.29556231691725
C_cellcount_sweep,0.75,COND,all6,1.0,8.414875,0.06225,0.0015118763742309402,0.06073812362576906,41.17400143359292
B1_bestcount_sweep,0.75,COND,all6,1.0,8.414875,0.7034375,0.16714003267973856,0.5362974673202615,4.208671547575172
C_cellcount_sweep,0.75,UNCOND,large4,1.0,7.5828125,0.35575,0.02516163089611085,0.33058836910388917,14.138590676766787
B1_bestcount_sweep,0.75,UNCOND,large4,1.0,7.5828125,0.7860625,0.14868259803921569,0.6373799019607843,5.286849371522769
C_cellcount_sweep,0.75,UNCOND,all6,1.0,8.414875,0.0495,0.000974520758337192,0.04852547924166281,50.79419763665271
B1_bestcount_sweep,0.75,UNCOND,all6,1.0,8.414875,0.6939583333333332,0.16499754901960784,0.5289607843137254,4.205870556603633
C_cellcount_sweep,1.0,COND,large4,0.99725,3.032,0.3186262221108047,0.1693389605185207,0.149287261592284,1.881588390144608
B1_bestcount_sweep,1.0,COND,large4,0.99725,3.032,0.6488468287791427,0.07608627975298084,0.5727605490261618,8.527777030046245
C_cellcount_sweep,1.0,COND,all6,0.99975,3.503416666666667,0.0277569392348087,0.01004487646472541,0.01771206277008329,2.763293240318359
B1_bestcount_sweep,1.0,COND,all6,0.99975,3.503416666666667,0.5303242477285989,0.0837182334799386,0.44660601424866025,6.334632560727412
C_cellcount_sweep,1.0,UNCOND,large4,1.0,3.032,0.01575,0.0005623402763642943,0.015187659723635706,28.0079529459079
B1_bestcount_sweep,1.0,UNCOND,large4,1.0,3.032,0.49175,0.05945098039215686,0.43229901960784317,8.271520448548813
C_cellcount_sweep,1.0,UNCOND,all6,1.0,3.503416666666667,0.0,3.383661765671754e-06,-3.383661765671754e-06,0.0
B1_bestcount_sweep,1.0,UNCOND,all6,1.0,3.503416666666667,0.4298333333333333,0.06869444444444446,0.36113888888888884,6.257177517185602
