universe,cost_bps,book,full_4b,full_bad,n_years,n_surv,n_surv_rel,best_year,excess_best,surv_best,bad_best,worst_dSharpe,fails
u56,10,v1,False,"H1,H2,OOS,CAGR",18,0,0,2022,0.20757377009331124,False,"H1,H2,OOS,CAGR",-0.06502101399169491,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026"
u56,10,top20,True,-,18,18,18,2018,0.1049257514389541,True,-,-0.07667514803306208,
u56,10,frac085,True,-,18,18,18,2022,0.12254528455287461,True,-,-0.07367752530449756,
u56,10,ew-band3,True,-,18,17,18,2022,0.12992576514521847,False,CAGR,-0.0712301650892293,2022
u56,10,ew-band3-g085,True,-,18,17,18,2022,0.12209713587721505,True,-,-0.07122501876545595,2020
u56,10,EWall,False,CAGR,18,2,18,2022,0.08927148555889819,False,CAGR,-0.07180039525890769,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2021,2022,2023,2024,2025,2026"
u56,10,EWall+vol60dg,True,-,18,17,18,2022,0.08367594216393237,True,-,-0.06230695634809291,2020
u56,10,top20+50S4,True,-,18,18,18,2022,0.14714933056324164,True,-,-0.04675588568388811,
u56,10,top20+50S3,True,-,18,18,18,2022,0.1307840653185215,True,-,-0.05499766242014248,
broad,10,v1,False,"H1,H2,OOS,DD,CAGR",18,0,0,2022,0.14034324495015016,False,"H1,H2,OOS,CAGR",-0.07201828132462951,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026"
broad,10,top20,False,H2,18,4,4,2022,0.07251141658336835,False,"H2,OOS",-0.08333622360263793,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2022,2025,2026"
broad,10,frac085,True,-,18,17,18,2022,0.1123865555585627,True,-,-0.09189281869900401,2020
broad,10,ew-band3,True,-,18,17,18,2022,0.09740225966111538,True,-,-0.08992602151946572,2020
broad,10,ew-band3-g085,True,-,18,17,18,2022,0.08563628925017563,True,-,-0.08991150399547865,2020
broad,10,EWall,True,-,18,10,18,2022,0.09806318799105584,False,CAGR,-0.08931085463324817,"2011,2013,2014,2015,2017,2018,2020,2022"
broad,10,EWall+vol60dg,True,-,18,18,18,2022,0.11821869872538482,True,-,-0.07081817519011357,
broad,10,top20+50S4,True,-,18,17,17,2022,0.14903859791426521,False,OOS,-0.06470991884165733,2022
broad,10,top20+50S3,True,-,18,17,17,2022,0.13222263667587986,False,"H2,OOS",-0.06724984462144823,2022
u56,25,v1,False,"H1,H2,OOS,CAGR",18,0,0,2022,0.17592796823963675,False,"H1,H2,OOS,CAGR",-0.0679913420956415,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026"
u56,25,top20,False,H1,18,5,5,2018,0.0912600480934822,False,"H1,CAGR",-0.07730310340791613,"2009,2011,2013,2015,2018,2019,2020,2021,2022,2023,2024,2025,2026"
